"Year","Simulation","Pathway","RP_mean","RP_max","RP_min","Battery_Discharges_GWh","Shortages_TWh","CO2_tons"
2025,831,"A",0.14633977262542,0.484339645562316,0.0142455228675,47.4925513581483,0.02191723,34998714.6336825
2026,831,"A",0.144970348990917,0.505519485594597,0.0129087361585005,52.5482711054859,0.02338569,36028698.7698037
2027,831,"A",0.142703148867288,0.490991047417261,0.0170790287465213,81.3314820190347,0.02854414,37237975.942879
2028,831,"A",0.140792959070209,0.4872867791952,0.0124983789116103,122.89348211653,0.05068836,38455798.702217
2029,831,"A",0.13840892215677,0.480600458327686,0.0143919190371329,202.069774462358,0.06242205,39528491.3793019
2030,831,"A",0.135801911581059,0.472383423554684,0.0143050893261848,309.43298941085,0.1401433,40634087.8766422
2031,831,"A",0.134870186059838,0.492042913883405,0.0100515132426369,402.509979373728,0.31665786,41564200.2235655
2032,831,"A",0.133209240829028,0.476633001950046,0.0105922878772418,513.28335814213,0.62181544,42505286.4268568
2033,831,"A",0.132625130440377,0.470369487195789,0.0165341670215763,598.106519373269,1.09894452,43188928.4763558
2034,831,"A",0.131317113937076,0.477496938544554,0.0153524166682676,664.75786518914,1.78811416,43847834.3674344
2035,831,"A",0.12970272133024,0.42947516929418,0.0144218808840753,715.538952100622,2.66914725,44456193.2480968
2036,831,"A",0.128546647054757,0.415403562347785,0.0114884150474661,771.63189742278,3.86995531,44983715.8621129
2037,831,"A",0.127231450933094,0.433030312161156,0.0145458040829532,819.570469821407,4.98390976,45373003.9524462
2038,831,"A",0.125590354935481,0.442836028631495,0.015004110811297,870.362208323119,6.37121054,45691910.3664344
2039,831,"A",0.125642153301952,0.424048190908084,0.00930251696673199,912.13656203391,7.72376287,46000073.1235809
2040,831,"A",0.124259909238962,0.409356511576913,0.013100134200921,956.423961327017,9.35669318,46349705.9063357
2041,831,"A",0.124611798982081,0.415339394986132,0.011630675159767,968.059679088531,10.61045725,46411667.7239213
2042,831,"A",0.123594564438052,0.40713524150969,0.0109272137455393,987.880893083636,12.06934046,46585906.0564646
2043,831,"A",0.122867954777884,0.413419116209674,0.0141693887571118,986.314630050633,13.50071556,46682923.5690913
2044,831,"A",0.122201909461872,0.396780783620078,0.0099980738076147,987.224670445946,14.93536585,46887951.6016969
2045,831,"A",0.121339914474642,0.393441375879738,0.0137827889649093,968.861017741253,15.81416181,46898788.9461945
2046,831,"A",0.120890855622666,0.40764821185514,0.0133102864990126,953.568536274602,16.68370768,46945437.7888983
2047,831,"A",0.121524747195483,0.414821987867159,0.0109678636116357,940.166822737347,17.16066011,46983050.7074321
2048,831,"A",0.121268482832991,0.392316232523898,0.0110594344602476,955.861449362773,17.58003009,47114255.959388
2049,831,"A",0.121754221554328,0.391447434736601,0.0148566049520479,947.594185535068,17.28355903,46997125.107288
2050,831,"A",0.121548322682443,0.394884958377239,0.0132072984184911,943.928122947995,16.82857615,47011989.1275394
2025,831,"B1",0.172235275703516,0.531543227182363,0.0159945819207244,36.6532865588382,0.01675899,33358101.7621852
2026,831,"B1",0.197958587859613,0.602946627664752,0.0156815146239631,19.747553673825,0.00167738,27839537.790474
2027,831,"B1",0.22329326274702,0.623144147283942,0.0248521297420232,21.7802741617623,0.00354877,27314502.2778185
2028,831,"B1",0.250271649562488,0.676597671150533,0.0207894750318043,36.2726967311601,0.00031437,26571665.4967577
2029,831,"B1",0.275282095501543,0.70969681516847,0.0261810696033103,36.8761151018346,7.169e-05,26111882.8723648
2030,831,"B1",0.300803749472452,0.733529111087673,0.025400562158902,54.5093932131562,0.00857402,24661220.8011453
2031,831,"B1",0.326574019850386,0.748454305468147,0.0267120724978128,233.283986727004,0.0171521,16736378.7368823
2032,831,"B1",0.351266750181298,0.761933034208858,0.0234694632843707,349.233890442718,0.02176095,16356359.9886724
2033,831,"B1",0.378495031479574,0.78421654992552,0.0420589641707841,538.27477899565,0.04998204,15737585.8750112
2034,831,"B1",0.401018778671212,0.800060157071005,0.0461744705444408,733.474517159093,0.07025597,15374716.3513448
2035,831,"B1",0.422946107118055,0.820357608244451,0.0413020161501822,993.598711791499,0.10241894,15012676.264042
2036,831,"B1",0.444779120739376,0.821660187271027,0.0476942959178516,1212.6256693241,0.09381796,14816754.167024
2037,831,"B1",0.464996661512671,0.835575447223141,0.0423697448867141,1455.21438463516,0.14529927,14124599.3296031
2038,831,"B1",0.482858802045367,0.849670512388823,0.0616516076918903,1698.91155199803,0.16042879,13941128.1673968
2039,831,"B1",0.505655176707564,0.857626494159613,0.0627717520934681,2003.38608603854,0.20705689,13062124.5897569
2040,831,"B1",0.522670618519197,0.868533076843646,0.0474107368070175,2200.19879426401,0.19739901,12789454.5357033
2041,831,"B1",0.526125204718842,0.861515911761087,0.047133538101483,2894.69439233373,0.10665047,8465186.61853993
2042,831,"B1",0.539856661970762,0.867126434374134,0.0578364919660346,3013.46939371451,0.10860953,8397162.35671524
2043,831,"B1",0.555821036771969,0.87702634563991,0.051777403520924,3127.4093816298,0.12838217,7862781.73088031
2044,831,"B1",0.573441017972652,0.883675299633531,0.0603301821284422,3396.93854495054,0.10692887,7094508.30749599
2045,831,"B1",0.584515411257558,0.885995886416776,0.0629916996089077,3521.61365029965,0.08117414,6906900.22047412
2046,831,"B1",0.599986035897654,0.888233372330256,0.0854471214029546,3555.4234251485,0.09568572,6300222.64776879
2047,831,"B1",0.61466604571805,0.897065387960627,0.0938676362277911,3514.86580559966,0.06720818,5668047.01370648
2048,831,"B1",0.628717972032876,0.897804649778476,0.0778333681783167,3618.04964988651,0.05327244,5050272.88303923
2049,831,"B1",0.644476318355761,0.896863759795419,0.0770212073347577,3515.7474248019,0.06561871,4227343.20092214
2050,831,"B1",0.655202416561422,0.911492466925319,0.0908972268236325,3598.88043345031,0.04176829,3763828.05675945
2025,831,"B2",0.180871775136026,0.541344768735906,0.0162733624074377,34.8104536455146,0.01604407,32743569.0763722
2026,831,"B2",0.210395859084306,0.629078396365304,0.0170515571453564,31.3890736253784,0.00893338,31765443.308758
2027,831,"B2",0.239530130046864,0.644284521780129,0.0276072244598983,38.0637282907608,0.01281491,30867046.072491
2028,831,"B2",0.270464083304359,0.710562719519685,0.0240086405133121,57.1275203806414,0.00551062,29741411.6773327
2029,831,"B2",0.299200165437346,0.738879093231636,0.0277797188081291,57.7978918207319,0.00146079,28873205.1971939
2030,831,"B2",0.328591906919445,0.765212347135418,0.0278587484292958,60.8394682014363,0.01676581,27015375.3065439
2031,831,"B2",0.363072303549574,0.810982665422029,0.0307995375085486,358.341236928298,0.06975514,22171635.077664
2032,831,"B2",0.391971271664973,0.80595489769507,0.027053952493383,458.439880224144,0.08639186,21273520.3670672
2033,831,"B2",0.424086890320616,0.827495453161079,0.048809517724024,642.551402433948,0.13447289,20076215.909672
2034,831,"B2",0.450005838425999,0.85053426119153,0.0527488279178066,826.040763259091,0.16898525,19258483.0006307
2035,831,"B2",0.475648715625594,0.867610507011726,0.0440419157075788,1106.98793288738,0.21467298,18381532.224583
2036,831,"B2",0.500415813280999,0.86719505547074,0.0581247330229414,1215.1092438674,0.20949517,17751425.1154756
2037,831,"B2",0.522547976990863,0.888012460976706,0.0471350728438796,1421.33991247915,0.2728706,16783309.3266924
2038,831,"B2",0.542470755182884,0.889322405662801,0.0731745704375996,1567.24722575152,0.30251013,16294179.5926197
2039,831,"B2",0.567147332829347,0.89708824908824,0.0737827228041292,1788.99578199704,0.33241967,15099551.5861527
2040,831,"B2",0.58514876072131,0.90556453033815,0.0557691234200691,1919.31927060331,0.31748406,14667921.9155221
2041,831,"B2",0.606232614540288,0.914440330343251,0.0596650318682931,2018.54198541447,0.28758197,12887860.7312457
2042,831,"B2",0.620355077571746,0.917148077320247,0.0688821284643993,2116.46686778706,0.2784538,12609109.0638262
2043,831,"B2",0.636755598738461,0.934365510376264,0.0645037846212776,2162.88834412499,0.28617464,11907604.587023
2044,831,"B2",0.657421559955628,0.939323200148292,0.0739481787590711,2319.1047820458,0.24098179,10498712.0558115
2045,831,"B2",0.667890775791397,0.931352724812719,0.080106807574292,2443.71524848918,0.25182992,10160417.7718458
2046,831,"B2",0.68471607034703,0.931230284406973,0.108164653429099,2484.33528215031,0.2513444,9257344.22178529
2047,831,"B2",0.699466057528871,0.937750908475496,0.10185116898725,2424.53876959148,0.16618787,8394010.50280734
2048,831,"B2",0.712679911067584,0.938706885536123,0.0992852144303248,2373.75337857379,0.1461281,7798385.10989734
2049,831,"B2",0.728460405379861,0.945974233937545,0.0978940687459928,2301.06650984169,0.17022019,6765099.62263143
2050,831,"B2",0.73947216620425,0.954473679273791,0.117046823834911,2362.10552011752,0.11434023,6053914.67140475
2025,831,"B3",0.168271436335899,0.529668677669032,0.0158667214161463,37.5611251386488,0.01717794,33651404.7915991
2026,831,"B3",0.19233406191729,0.599957979343081,0.0154378324977339,20.0041856465721,0.00179915,28274853.5418998
2027,831,"B3",0.21612839964268,0.619157391073642,0.0242592031115982,21.3980795496255,0.00379688,27844160.6985837
2028,831,"B3",0.241383614471928,0.669878083730671,0.0199666343153624,37.4098503965289,0.00044563,27241114.0318403
2029,831,"B3",0.264923077421528,0.699853052782844,0.0259093225368222,39.027261991069,0.00028663,26884597.8792317
2030,831,"B3",0.289007777148954,0.726362793611467,0.0249319169744951,47.6514322844035,0.0099915,25495068.4073762
2031,831,"B3",0.313745246107462,0.743856131009136,0.0261961783029453,218.505849379482,0.01997248,17549757.2475156
2032,831,"B3",0.33735431521208,0.758867801373814,0.0227407361209779,310.71710996817,0.02712106,17217911.8540337
2033,831,"B3",0.363205504903496,0.780155327700568,0.0403875775521981,483.048847109053,0.0591209,16661487.0694749
2034,831,"B3",0.384744928553184,0.795577399416234,0.0452938974937234,639.485521341959,0.08413694,16371551.6406562
2035,831,"B3",0.405817216163484,0.816200678565716,0.0401474387585453,845.117173128396,0.11906543,16078538.7808028
2036,831,"B3",0.418737333378568,0.799816749809134,0.0435558432054876,1228.88820968148,0.06217527,13200251.7760278
2037,831,"B3",0.438165033279857,0.81435065565855,0.0394117381274807,1479.59608076117,0.10858258,12590604.3720811
2038,831,"B3",0.454700302964639,0.829540540441759,0.0578973056605337,1728.03587347459,0.11648763,12619909.1525701
2039,831,"B3",0.476295138769757,0.838448046426502,0.0577720580441595,2091.3963246513,0.16308096,11934225.8175009
2040,831,"B3",0.492480868950475,0.847053652456355,0.0439099916347982,2342.73500312727,0.15527477,11785172.9707886
2041,831,"B3",0.500391148735902,0.850692073837196,0.0440022150659756,3044.50292740383,0.09663657,8478184.84974587
2042,831,"B3",0.513921658019666,0.855954747622004,0.0555246985528956,3187.01423253259,0.10498353,8433598.96503776
2043,831,"B3",0.529604459369105,0.865357202454708,0.0488684687147157,3314.54811611742,0.11958988,7920781.86597011
