"Pathway","Statistic","Cost_Type","Cost_bUSD"
"A","max","Unmet Demand Penalty",34.8012931737599
"A","max","Air Emissions",0.980083139530477
"A","max","GHG Emissions",125.173306420138
"A","max","Fuel",6.33197641621872
"A","max","Imports",27.3004603413355
"A","max","Variable O&M",439.069697637909
"A","max","Fixed O&M",43.1603983842729
"A","max","CAPEX",0
"A","mean","Unmet Demand Penalty",34.7644864517557
"A","mean","Air Emissions",0.979635870124156
"A","mean","GHG Emissions",125.101675623482
"A","mean","Fuel",6.33143844297029
"A","mean","Imports",18.2132093466383
"A","mean","Variable O&M",433.16699923494
"A","mean","Fixed O&M",38.9791271989792
"A","mean","CAPEX",0
"A","min","Unmet Demand Penalty",34.7345488064839
"A","min","Air Emissions",0.978967858297562
"A","min","GHG Emissions",125.011476106411
"A","min","Fuel",6.33104380796093
"A","min","Imports",9.1283485750815
"A","min","Variable O&M",427.314538282456
"A","min","Fixed O&M",34.3569387874215
"A","min","CAPEX",0
"B1","max","Unmet Demand Penalty",1.95757833557119
"B1","max","Air Emissions",0.179848653422165
"B1","max","GHG Emissions",23.0875999365181
"B1","max","Fuel",3.49651089202774
"B1","max","Imports",36.4663834887471
"B1","max","Variable O&M",90.9798786134478
"B1","max","Fixed O&M",74.4448629779646
"B1","max","CAPEX",220.683272650893
"B1","mean","Unmet Demand Penalty",1.9403590103429
"B1","mean","Air Emissions",0.179362858002694
"B1","mean","GHG Emissions",23.0045830889831
"B1","mean","Fuel",3.49560558840112
"B1","mean","Imports",24.3105976825907
"B1","mean","Variable O&M",90.0301883424978
"B1","mean","Fixed O&M",64.5902408149451
"B1","mean","CAPEX",178.695876108454
"B1","min","Unmet Demand Penalty",1.92932459842862
"B1","min","Air Emissions",0.178764474270552
"B1","min","GHG Emissions",22.9221619274721
"B1","min","Fuel",3.49472680167919
"B1","min","Imports",12.1772840831611
"B1","min","Variable O&M",88.9840919505483
"B1","min","Fixed O&M",55.0319010704162
"B1","min","CAPEX",142.005111285255
"B2","max","Unmet Demand Penalty",3.42719568868418
"B2","max","Air Emissions",0.206727304192747
"B2","max","GHG Emissions",27.004300288419
"B2","max","Fuel",3.62007583839126
"B2","max","Imports",15.9550252505297
"B2","max","Variable O&M",103.943919829259
"B2","max","Fixed O&M",79.2177865922866
"B2","max","CAPEX",235.498907987261
"B2","mean","Unmet Demand Penalty",3.40397081742833
"B2","mean","Air Emissions",0.206353522662376
"B2","mean","GHG Emissions",26.9339937506026
"B2","mean","Fuel",3.61879169429171
"B2","mean","Imports",10.6301944941446
"B2","mean","Variable O&M",102.87877315038
"B2","mean","Fixed O&M",68.8566390308928
"B2","mean","CAPEX",190.063535895054
"B2","min","Unmet Demand Penalty",3.36859255381036
"B2","min","Air Emissions",0.205760715584855
"B2","min","GHG Emissions",26.8443369685888
"B2","min","Fuel",3.6171482119875
"B2","min","Imports",5.32107427310272
"B2","min","Variable O&M",101.728160723039
"B2","min","Fixed O&M",58.8805404294798
"B2","min","CAPEX",150.673211463598
"B3","max","Unmet Demand Penalty",1.87208212798965
"B3","max","Air Emissions",0.18462748048542
"B3","max","GHG Emissions",23.7139501748159
"B3","max","Fuel",3.5168683035895
"B3","max","Imports",44.546975723286
"B3","max","Variable O&M",93.4643177755542
"B3","max","Fixed O&M",72.20569000844
"B3","max","CAPEX",212.624697018986
"B3","mean","Unmet Demand Penalty",1.85194486416244
"B3","mean","Air Emissions",0.184223976020825
"B3","mean","GHG Emissions",23.6293652938406
"B3","mean","Fuel",3.51620718372422
"B3","mean","Imports",29.697599980052
"B3","mean","Variable O&M",92.487276229229
"B3","mean","Fixed O&M",62.591353395098
"B3","mean","CAPEX",172.432065147808
"B3","min","Unmet Demand Penalty",1.83612337367714
"B3","min","Air Emissions",0.183674716950594
"B3","min","GHG Emissions",23.5529163317232
"B3","min","Fuel",3.51528809357889
"B3","min","Imports",14.8762298234813
"B3","min","Variable O&M",91.4644000264081
"B3","min","Fixed O&M",53.2324596815593
"B3","min","CAPEX",137.191644148838
"B3-A","max","Unmet Demand Penalty",1.87208212798965
"B3-A","max","Air Emissions",0.18462748048542
"B3-A","max","GHG Emissions",24.1729017231967
"B3-A","max","Fuel",3.5168683035895
"B3-A","max","Imports",8.77851805356643
"B3-A","max","Variable O&M",93.4643177755542
"B3-A","max","Fixed O&M",84.3170798540792
"B3-A","max","CAPEX",275.589803800973
"B3-A","mean","Unmet Demand Penalty",1.85194486416244
"B3-A","mean","Air Emissions",0.184223976020825
"B3-A","mean","GHG Emissions",23.96682966765
"B3-A","mean","Fuel",3.51620718372422
"B3-A","mean","Imports",5.83991085392302
"B3-A","mean","Variable O&M",92.487276229229
"B3-A","mean","Fixed O&M",70.1800846965939
"B3-A","mean","CAPEX",217.197954929075
"B3-A","min","Unmet Demand Penalty",1.83612337367714
"B3-A","min","Air Emissions",0.183674716950594
"B3-A","min","GHG Emissions",23.7688935309612
