"Pathway","Cost_Type","Statistic","Cost_bUSD"
"A","Air Emissions","max",1.27241128542637
"A","Air Emissions","mean",1.27241128542637
"A","Air Emissions","min",1.27241128542637
"A","CAPEX","max",0
"A","CAPEX","mean",0
"A","CAPEX","min",0
"A","Fixed O&M","max",45.3961639178721
"A","Fixed O&M","mean",40.9961206995845
"A","Fixed O&M","min",36.1227073863503
"A","Fuel","max",47.2325084180951
"A","Fuel","mean",47.2325084180951
"A","Fuel","min",47.2325084180951
"A","GHG Emissions","max",226.09719813306
"A","GHG Emissions","mean",226.09719813306
"A","GHG Emissions","min",226.09719813306
"A","Imports","max",29.0532590305445
"A","Imports","mean",19.3849761396144
"A","Imports","min",9.71669324868425
"A","Total_Costs","max",758.540238257396
"A","Total_Costs","mean",744.130289869679
"A","Total_Costs","min",729.207905668756
"A","Unmet Demand Penalty","max",402.35619947797
"A","Unmet Demand Penalty","mean",402.35619947797
"A","Unmet Demand Penalty","min",402.35619947797
"A","Variable O&M","max",7.13249799442738
"A","Variable O&M","mean",6.79087571592813
"A","Variable O&M","min",6.41018771916963
"B1","Air Emissions","max",0.620379866301255
"B1","Air Emissions","mean",0.620379866301255
"B1","Air Emissions","min",0.620379866301255
"B1","CAPEX","max",218.885323042582
"B1","CAPEX","mean",176.978738743647
"B1","CAPEX","min",140.688409762391
"B1","Fixed O&M","max",79.3123798020009
"B1","Fixed O&M","mean",68.760682373771
"B1","Fixed O&M","min",58.5416196790217
"B1","Fuel","max",19.8736056230881
"B1","Fuel","mean",19.8736056230881
"B1","Fuel","min",19.8736056230881
"B1","GHG Emissions","max",71.7385421197377
"B1","GHG Emissions","mean",71.7385421197377
"B1","GHG Emissions","min",71.7385421197377
"B1","Imports","max",95.8960693303123
"B1","Imports","mean",64.017155135853
"B1","Imports","min",32.1382409413938
"B1","Total_Costs","max",494.460301665561
"B1","Total_Costs","mean",409.835233084534
"B1","Total_Costs","min",331.119943432791
"B1","Unmet Demand Penalty","max",4.60123507296311
"B1","Unmet Demand Penalty","mean",4.60123507296311
"B1","Unmet Demand Penalty","min",4.60123507296311
"B1","Variable O&M","max",3.53276680857511
"B1","Variable O&M","mean",3.24489414917245
"B1","Variable O&M","min",2.91791036789416
"B2","Air Emissions","max",0.709423691492975
"B2","Air Emissions","mean",0.709423691492975
"B2","Air Emissions","min",0.709423691492975
"B2","CAPEX","max",246.273662652562
"B2","CAPEX","mean",198.740395101936
"B2","CAPEX","min",157.608456568835
"B2","Fixed O&M","max",84.672672246202
"B2","Fixed O&M","mean",73.5395273305218
"B2","Fixed O&M","min",62.8361261150562
"B2","Fuel","max",23.1976670815255
"B2","Fuel","mean",23.1976670815255
"B2","Fuel","min",23.1976670815255
"B2","GHG Emissions","max",86.0109901300438
"B2","GHG Emissions","mean",86.0109901300438
"B2","GHG Emissions","min",86.0109901300438
"B2","Imports","max",37.0927519279604
"B2","Imports","mean",24.7424942064523
"B2","Imports","min",12.3922364849443
"B2","Total_Costs","max",491.995934021882
"B2","Total_Costs","mean",420.68829596883
"B2","Total_Costs","min",356.172627788517
"B2","Unmet Demand Penalty","max",10.2005320900382
"B2","Unmet Demand Penalty","mean",10.2005320900382
"B2","Unmet Demand Penalty","min",10.2005320900382
"B2","Variable O&M","max",3.8382342020569
"B2","Variable O&M","mean",3.54726633681972
"B2","Variable O&M","min",3.21719562658079
"B3(1)","Air Emissions","max",0.617116270865392
"B3(1)","Air Emissions","mean",0.617116270865392
"B3(1)","Air Emissions","min",0.617116270865392
