Simulation,Pathway,NPV,NPV_millions,mortality
1,B3,184581386.266611,184.581386266611,16.2287077691271
2,C2,210268867.073149,210.268867073149,18.4871945416353
3,B1,179671513.540763,179.671513540763,15.7970234521814
4,B3,184692463.921404,184.692463921404,16.238473904466
5,A,980428099.93285,980.42809993285,86.200897307536
6,B2,206788147.910416,206.788147910416,18.1811638239074
7,B1,179700477.365179,179.700477365179,15.7995700006272
8,B1,179911954.851757,179.911954851757,15.8181634590405
9,B2,206423033.048183,206.423033048183,18.1490623074913
10,C2,210573127.670579,210.573127670579,18.5139456481321
91,C2,209628094.880971,209.628094880971,18.4308567663928
92,C1,208268340.737174,208.268340737174,18.3113048815366
93,A,979312426.153785,979.312426153785,86.1028053813004
94,D,497323522.920525,497.323522920525,43.7255255442295
95,A,979549106.939561,979.549106939561,86.1236147564201
96,C2,209401567.193923,209.401567193923,18.4109400688911
11,C2,210116803.680272,210.116803680272,18.4738248708613
12,C1,208611731.53378,208.61173153378,18.3414963813484
13,A,980154117.693379,980.154117693379,86.1768083254981
14,A,980332343.373555,980.332343373555,86.1924782288347
15,B3,184587571.834388,184.587571834388,16.2292516147113
16,B2,206800066.115853,206.800066115853,18.1822116926935
17,D,497657490.754098,497.657490754098,43.7548885611889
18,C3,174454926.869058,174.454926869058,15.3383723261944
19,C1,208614575.561998,208.614575561998,18.3417464331211
20,C3,174525989.528589,174.525989528589,15.3446202754494
21,D,497905480.84808,497.90548084808,43.77669226982
22,C1,208370417.788348,208.370417788348,18.3202796685774
23,D,497664520.671079,497.664520671079,43.7555066433837
24,C3,174528336.469971,174.528336469971,15.3448266225065
25,D,498056793.962021,498.056793962021,43.7899959748005
26,D,497342530.947711,497.342530947711,43.7271967621389
27,C2,210255382.301336,210.255382301336,18.4860089376829
28,B2,206576809.355601,206.576809355601,18.1625825806097
29,C3,174034541.845952,174.034541845952,15.3014113637241
30,D,497401496.236829,497.401496236829,43.73238109012
31,C1,208840908.485308,208.840908485308,18.3616460066654
32,C2,210177315.066664,210.177315066664,18.4791451343306
33,B3,184648280.07353,184.64828007353,16.2345891858074
34,B3,184131154.10799,184.13115410799,16.1891225960048
35,A,980279088.972282,980.279088972282,86.187796011775
36,C2,210348756.689775,210.348756689775,18.4942185718923
37,C1,208591101.364916,208.591101364916,18.3396825419982
38,C3,174225306.746648,174.225306746648,15.3181837365436
39,B1,179506288.129834,179.506288129834,15.7824965545118
40,B1,179292933.759318,179.292933759318,15.7637380772872
41,B2,206511636.783658,206.511636783658,18.1568524978206
42,B1,179750755.842159,179.750755842159,15.8039905693882
43,C1,208679042.059495,208.679042059495,18.3474144366502
44,A,980353259.213084,980.353259213084,86.1943171848331
45,A,980130961.156874,980.130961156874,86.1747723636307
46,C3,174576412.238669,174.576412238669,15.3490535254286
47,B3,184364048.243862,184.364048243862,16.2095990424583
48,B2,206794007.225398,206.794007225398,18.1816789847938
49,C1,208900434.87742,208.90043487742,18.3668796677711
50,B3,183984011.505611,183.984011505611,16.1761855694568
51,C1,208504900.028007,208.504900028007,18.3321035746153
52,C2,210078043.452623,210.078043452623,18.470417006069
53,C2,209709042.504031,209.709042504031,18.4379738183655
54,B2,206474105.808969,206.474105808969,18.1535527110283
55,D,497720390.981355,497.720390981355,43.7604188555886
56,A,979709566.269741,979.709566269741,86.1377226122066
57,D,498041384.736882,498.041384736882,43.7886411696558
58,B2,206371782.342543,206.371782342543,18.1445562587416
59,B3,184471474.663562,184.471474663562,16.2190441550304
60,B1,179515339.068534,179.515339068534,15.7832923283554
61,B2,206312604.401725,206.312604401725,18.1393532340632
62,B1,179589150.593387,179.589150593387,15.7897819625003
63,C3,174202496.725084,174.202496725084,15.3161782408561
64,B3,184360222.636605,184.360222636605,16.2092626885959
65,A,980137448.893213,980.137448893213,86.175342776386
66,C1,208527859.860483,208.527859860483,18.3341222419318
67,C3,174299788.162393,174.299788162393,15.3247322686292
68,C2,210209372.74441,210.20937274441,18.4819636995956
69,C3,173922773.33521,173.92277333521,15.2915844871614
70,D,496928049.068277,496.928049068277,43.6907548140476
71,A,979845477.135734,979.845477135734,86.1496721254889
72,B1,179166669.022477,179.166669022477,15.752636668
73,D,496839536.002316,496.839536002316,43.6829725955354
74,C2,209822739.124628,209.822739124628,18.4479702176088
75,B3,183739365.041872,183.739365041872,16.1546758384537
76,C1,208482732.016047,208.482732016047,18.3301545254983
77,C3,173836397.498411,173.836397498411,15.283990177453
78,C1,208251516.255107,208.251516255107,18.3098256446083
79,A,979536181.476371,979.536181476371,86.1224783278281
80,C3,173671178.666142,173.671178666142,15.2694638581903
81,B2,206077887.880758,206.077887880758,18.1187165604288
82,B2,205833137.297236,205.833137297236,18.0971976750384
83,B2,206150618.134351,206.150618134351,18.1251111273752
84,B3,183980342.301553,183.980342301553,16.1758629668282
85,B1,179031550.374324,179.031550374324,15.7407568078506
86,B3,183925488.62446,183.92548862446,16.1710401387326
87,D,496704356.309392,496.704356309392,43.6710873682264
88,B1,178827394.10101,178.82739410101,15.7228070428941
89,B1,179147834.710504,179.147834710504,15.7509807234261
90,C3,173894903.607383,173.894903607383,15.2891341335388
