County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Suffolk,MA,1,B3,2192.4886414367,462.670496308339,39276.4766989821,2696.79695825199,8247.65647106414,2199.001103951,55075.0903699942,0.00528807336173652
Suffolk,MA,2,C2,2301.08323546011,484.920791923513,41330.6436256423,2837.83993321168,8679.01041544059,2314.00926453641,57947.5072662146,0.00556639632125483
Suffolk,MA,3,B1,2208.73047817492,462.760607335679,39761.7824498045,2730.11896629948,8349.56569135629,2226.17227538757,55739.1304683585,0.00534660666913442
Suffolk,MA,4,B3,2168.16674699727,457.92502481006,38859.4767311148,2668.16495407417,8160.09076322908,2175.65421882392,54489.4784390493,0.00523101297351125
Suffolk,MA,5,A,13615.9105560104,2940.06716954839,248916.902122223,17091.1039105022,52269.9913813501,13936.2944073091,348770.269546943,0.0473775345493589
Suffolk,MA,6,B2,2325.52447173973,490.420337676143,41941.4319181378,2879.77780920707,8807.26967992755,2348.20591969394,58792.6301363823,0.0056442730609844
Suffolk,MA,7,B1,2160.07716596226,455.1962851716,38647.7678916251,2653.62862591147,8115.63408262147,2163.80111969484,54196.1051709868,0.00520185096716238
Suffolk,MA,8,B1,2165.6844631507,457.331298167374,38769.2805336832,2661.97191306533,8141.15048869494,2170.60433771456,54366.0230344761,0.00521896930803439
Suffolk,MA,9,B2,2237.90738154819,472.283785632863,40184.4979499371,2759.14340970107,8438.3316022298,2249.83916024012,56342.0032892892,0.0054126724502853
Suffolk,MA,10,C2,2342.9024385676,497.138672842144,42175.7926511877,2895.86945909885,8856.48302539426,2361.32724711465,59129.5134942052,0.00568338971397586
Norfolk,MA,1,B3,146563.8991039,832592.306086482,9012206.66590387,0,3229589.74940023,186521.935275094,13407474.5557696,1.52170132294729
Norfolk,MA,2,C2,172374.539675131,869520.711147416,10865482.3533867,0,3915254.32281301,226016.841218165,16048648.7682404,1.79941486464831
Norfolk,MA,3,B1,142116.350005978,818696.582863348,8779225.36187637,0,3141919.3922919,181600.850689253,13063558.5377268,1.4894852060959
Norfolk,MA,4,B3,145292.954176916,832661.316359727,9012703.38166272,0,3230968.74399251,186552.379816979,13408178.7760088,1.52143862982704
Norfolk,MA,5,A,1058807.24372934,1801575.84638128,48686421.9177761,50347.0396172898,16661912.1908725,1004192.78340922,69263257.0217857,9.54288741982574
Norfolk,MA,6,B2,175647.564652639,854533.509278029,10943090.7726091,0,3934946.9941428,227541.259619786,16135760.1003024,1.84401179348531
Norfolk,MA,7,B1,140664.164112211,829875.657899905,8787197.85770957,0,3146031.41846463,181780.27100155,13085549.3691879,1.49164596298804
Norfolk,MA,8,B1,144620.670484952,829659.534843741,8785101.44216526,0,3144844.17013388,181742.480360391,13085968.2979882,1.49242253392091
Norfolk,MA,9,B2,177300.327811571,868864.12994927,10940970.5059133,0,3936199.69426665,227550.716824075,16150885.3747649,1.84473385453244
Norfolk,MA,10,C2,180531.087556549,864029.366260181,10857317.2204726,0,3910837.77917838,225787.091495925,16038502.5449637,1.79860192756531
Middlesex,MA,5,A,-1042919.0322507,999990.858246653,50451798.2860833,20286.897464721,22405193.0668724,1146485.63434797,73980835.7107643,9.87965625722283
Middlesex,MA,1,B3,11665.5957937525,42536.008836973,4503992.15374089,0,1759848.5155247,96940.3920754996,6414982.66597182,0.613661374800993
Middlesex,MA,2,C2,13586.4062815973,50948.5410883859,4806970.55497706,0,1878231.51253074,103461.4613855,6853198.47626329,0.656303006260657
Middlesex,MA,3,B1,11574.7469867188,40741.291665032,4429750.4529595,0,1730839.99542734,95342.471977854,6308248.95901644,0.603219276738811
Middlesex,MA,4,B3,11392.1144687787,42501.7312582927,4508448.64412216,0,1761589.80363406,97036.310076707,6420968.60355999,0.614224729027188
Middlesex,MA,6,B2,13355.6040343762,46792.5033757639,4661091.72916468,0,1821232.16033623,100321.680034411,6642793.67694546,0.635778287745765
Middlesex,MA,7,B1,10937.1801008961,40775.7410952967,4437605.16332099,0,1733909.07279198,95511.53059876,6318738.68790792,0.604237966306526
Middlesex,MA,8,B1,11223.9458878446,40723.6574091515,4432475.13371826,0,1731904.6121551,95401.1158679895,6311728.46503834,0.603608344615342
