County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Essex,MA,94,D,6454.78674471541,21952.7038881736,833147.202291953,0,313154.144065795,18156.8268223026,1192865.66381294,0.136843003180387
Essex,MA,17,D,6462.25064139314,21978.0885709057,834110.599671478,0,313516.25520408,18177.8221990295,1194245.01628689,0.137001239552432
Essex,MA,21,D,6469.91405278058,22004.1518023672,835099.749276256,0,313888.04580361,18199.378795542,1195661.23973056,0.137163705683435
Essex,MA,23,D,6452.76442797936,21945.8259970471,832886.173136781,0,313056.031317605,18151.138198308,1192491.93307772,0.136800129588046
Essex,MA,25,D,6451.20394274747,21940.5187930182,832684.754568425,0,312980.324336655,18146.748671398,1192203.55031224,0.136767046932647
Essex,MA,26,D,6450.05755701552,21936.6199397314,832536.785610952,0,312924.707403539,18143.5239750556,1191991.69448629,0.136742743284429
Essex,MA,30,D,6458.1917891133,21964.2844305446,833586.70607821,0,313319.339881877,18166.4049546097,1193494.92713435,0.136915190925668
Essex,MA,55,D,6455.08491714666,21953.7179714191,833185.688695413,0,313168.609908927,18157.6655587957,1192920.7670517,0.136849324506338
Essex,MA,57,D,6426.18041826594,21855.413886395,829454.86019115,0,311766.307406206,18076.3593900067,1187579.12129202,0.136236542304742
Essex,MA,70,D,6456.14995989772,21957.3401775534,833323.158363035,0,313220.280485243,18160.6614434862,1193117.59042922,0.136871903664153
Essex,MA,73,D,6444.04710140866,21916.178404265,831760.990147616,0,312633.109995994,18126.6170181114,1190880.9426674,0.136615320206293
Essex,MA,87,D,6443.2141560202,21913.3455603321,831653.478288975,0,312592.699629163,18124.2740057442,1190727.01164023,0.136597661567371
Middlesex,MA,94,D,-34749.3701442786,47722.1010869392,1397328.28378287,0,680545.033202917,32582.4498338547,2123428.4977623,0.250903041081853
Middlesex,MA,17,D,-34964.6999556448,48017.8184188616,1405987.04319389,0,684762.135067421,32784.3519905684,2136586.64871509,0.25245780032736
Middlesex,MA,21,D,-34876.1881278319,47896.2631107584,1402427.83967627,0,683028.685380486,32701.3596319316,2131177.95967162,0.251818712865407
Middlesex,MA,23,D,-34837.1606091119,47842.6657308405,1400858.48013027,0,682264.355439745,32664.7658126607,2128793.10650441,0.251536920041764
Middlesex,MA,25,D,-34849.3719912386,47859.4358999067,1401349.51952347,0,682503.507845108,32676.2157107134,2129539.30698796,0.251625090644532
Middlesex,MA,26,D,-34863.0285550481,47878.1907698773,1401898.6720057,0,682770.963244519,32689.0206710157,2130373.81813606,0.251723695982594
Middlesex,MA,30,D,-34926.9671323012,47965.9990735778,1404469.74543953,0,684023.160939009,32748.9721313486,2134280.91045117,0.252185355673364
Middlesex,MA,55,D,-34831.9018376505,47835.443740277,1400647.0164384,0,682161.365636364,32659.8349705587,2128471.75894795,0.251498949806721
Middlesex,MA,57,D,-34865.1464313013,47881.0992975492,1401983.8352296,0,682812.440547821,32691.0064795782,2130503.23512325,0.251738987816384
Middlesex,MA,70,D,-34696.3410742637,47649.2750578833,1395195.89925081,0,679506.491495133,32532.7275797153,2120188.05230928,0.250520151985525
Middlesex,MA,73,D,-34863.5227232208,47878.8694222786,1401918.54330586,0,682780.641224122,32689.484023578,2130404.01525261,0.251727264055823
Middlesex,MA,87,D,-34937.1838926658,47980.0299831705,1404880.57787094,0,684223.24990444,32758.5517893585,2134905.22565524,0.252259124384418
Windham,CT,94,D,36767.6838331039,72906.5597203986,1909059.16693787,0,1039531.72582311,42354.8825597055,3100620.01887418,0.377358428870321
Windham,CT,17,D,36698.1333864937,72768.6482921893,1905447.95448651,0,1037565.32793618,42274.7632622397,3094754.82736361,0.376644610524319
Windham,CT,21,D,36648.1821783464,72669.6001509893,1902854.37768558,0,1036153.0587857,42217.2214936475,3090542.44029426,0.376131945393924
Windham,CT,23,D,36819.6608817386,73009.6248962627,1911757.9298411,0,1041001.27150664,42414.7580144857,3105003.24514023,0.377891885845722
Windham,CT,25,D,36960.7210788514,73289.3328520767,1919082.08611949,0,1044989.46262619,42577.2536481427,3116898.85632475,0.379339631496501
Windham,CT,26,D,36979.6104850562,73326.7886142565,1920062.86571488,0,1045523.52229448,42599.0134790055,3118491.80058769,0.379533499477963
Windham,CT,30,D,37007.0114124424,73381.1218531394,1921485.58224624,0,1046298.22796983,42630.5782375238,3120802.52171918,0.37981472390741
Windham,CT,55,D,36725.5082337906,72822.9298169203,1906869.31688216,0,1038339.29624988,42306.2979775515,3097063.3491603,0.376925567285518
Windham,CT,57,D,36873.1296788311,73115.6480568756,1914534.14761152,0,1042512.99335378,42476.3519030684,3109512.27060407,0.378440653109823
Windham,CT,70,D,36699.2685824725,72770.8992698087,1905506.89636328,0,1037597.42330124,42276.070962028,3094850.55847883,0.376656261401567
Windham,CT,73,D,36801.0199029519,72972.661740266,1910790.0491447,0,1040474.23561998,42393.2843619463,3103431.25076985,0.377700567553836
Windham,CT,87,D,36788.5338838374,72947.9032403188,1910141.74751772,0,1040121.21874088,42378.9009736526,3102378.30435641,0.377572419569936
Fairfield,CT,94,D,8673.18505120501,75884.8175052776,2514050.19544087,0,1082422.74833645,58641.3475009903,3739672.29383479,0.468787777374241
Fairfield,CT,17,D,8602.90506177817,75269.9125839087,2493678.50728813,0,1073651.73067,58166.1687450876,3709369.22434891,0.464989126723669
Fairfield,CT,21,D,8615.77305047616,75382.4992482358,2497408.48299027,0,1075257.66938915,58253.1720999593,3714917.59677809,0.465684644666085
Fairfield,CT,23,D,8596.95797539262,75217.8793847562,2491954.65686852,0,1072909.52794378,58125.9591614923,3706804.98133394,0.464667685247201
Fairfield,CT,25,D,8579.56166819008,75065.6728320842,2486912.08147502,0,1070738.45024373,58008.3388305671,3699304.10504959,0.463727410579954
Fairfield,CT,26,D,8608.04841062805,75314.9135940952,2495169.38256693,0,1074293.62609422,58200.9440791135,3711586.91474498,0.465267125989378
Fairfield,CT,30,D,8575.7011829571,75031.8960573865,2485793.06307553,0,1070256.65756767,57982.2372249018,3697639.55510845,0.463518750407103
Fairfield,CT,55,D,8652.74507340981,75705.9807831687,2508125.36737973,0,1079871.81729896,58503.1482312036,3730859.05876647,0.467682991565611
Fairfield,CT,57,D,8631.05649706462,75516.2196229736,2501838.61467268,0,1077165.05983022,58356.5069068515,3721507.45752979,0.466510718699387
Fairfield,CT,70,D,8667.81769475887,75837.8565720107,2512494.38826706,0,1081752.89652521,58605.0576014134,3737358.01666046,0.468497670443061
