Simulation,Pathway,NPV
1,B3,184581386.266611
2,C2,210268867.073149
3,B1,179671513.540763
4,B3,184692463.921404
5,A,980428099.93285
6,B2,206788147.910416
7,B1,179700477.365179
8,B1,179911954.851757
9,B2,206423033.048183
10,C2,210573127.670579
91,C2,209628094.880971
92,C1,208268340.737174
93,A,979312426.153785
94,D,402035643.719777
95,A,979549106.939561
96,C2,209401567.193923
11,C2,210116803.680272
12,C1,208611731.53378
13,A,980154117.693379
14,A,980332343.373555
15,B3,184587571.834388
16,B2,206800066.115853
17,D,402501201.763668
18,C3,174454926.869058
19,C1,208614575.561998
20,C3,174525989.528589
21,D,402731850.636358
22,C1,208370417.788348
23,D,402485406.101111
24,C3,174528336.469971
25,D,402853965.50436
26,D,402115867.32064
27,C2,210255382.301336
28,B2,206576809.355601
29,C3,174034541.845952
30,D,402205318.854759
31,C1,208840908.485308
32,C2,210177315.066664
33,B3,184648280.07353
34,B3,184131154.10799
35,A,980279088.972282
36,C2,210348756.689775
37,C1,208591101.364916
38,C3,174225306.746648
39,B1,179506288.129834
40,B1,179292933.759318
41,B2,206511636.783658
42,B1,179750755.842159
43,C1,208679042.059495
44,A,980353259.213084
45,A,980130961.156874
46,C3,174576412.238669
47,B3,184364048.243862
48,B2,206794007.225398
49,C1,208900434.87742
50,B3,183984011.505611
51,C1,208504900.028007
52,C2,210078043.452623
53,C2,209709042.504031
54,B2,206474105.808969
55,D,402433145.949864
56,A,979709566.269741
57,D,402780462.892801
58,B2,206371782.342543
59,B3,184471474.663562
60,B1,179515339.068534
61,B2,206312604.401725
62,B1,179589150.593387
63,C3,174202496.725084
64,B3,184360222.636605
65,A,980137448.893213
66,C1,208527859.860483
67,C3,174299788.162393
68,C2,210209372.74441
69,C3,173922773.33521
70,D,401629616.979321
71,A,979845477.135734
72,B1,179166669.022477
73,D,401565894.316146
74,C2,209822739.124628
75,B3,183739365.041872
76,C1,208482732.016047
77,C3,173836397.498411
78,C1,208251516.255107
79,A,979536181.476371
80,C3,173671178.666142
81,B2,206077887.880758
82,B2,205833137.297236
83,B2,206150618.134351
84,B3,183980342.301553
85,B1,179031550.374324
86,B3,183925488.62446
87,D,401434386.3217
88,B1,178827394.10101
89,B1,179147834.710504
90,C3,173894903.607383
