"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B1","Advanced",10127074610.0578,"FOM","Gas_CC"
"B2","Advanced",10127074610.0578,"FOM","Gas_CC"
"B3","Advanced",10127074610.0578,"FOM","Gas_CC"
"C1","Advanced",10127074610.0578,"FOM","Gas_CC"
"C2","Advanced",10127074610.0578,"FOM","Gas_CC"
"C3","Advanced",10127074610.0578,"FOM","Gas_CC"
"A","Advanced",12161017484.5123,"FOM","Gas_CC"
"D","Advanced",15688270838.0249,"FOM","Gas_CC"
"D","Advanced",18677647814.4639,"CAPEX","Gas_CC"
"B1","Moderate",10258213437.8682,"FOM","Gas_CC"
"B2","Moderate",10258213437.8682,"FOM","Gas_CC"
"B3","Moderate",10258213437.8682,"FOM","Gas_CC"
"C1","Moderate",10258213437.8682,"FOM","Gas_CC"
"C2","Moderate",10258213437.8682,"FOM","Gas_CC"
"C3","Moderate",10258213437.8682,"FOM","Gas_CC"
"A","Moderate",12322859326.6525,"FOM","Gas_CC"
"D","Moderate",15933875757.4015,"FOM","Gas_CC"
"D","Moderate",18900212360.4699,"CAPEX","Gas_CC"
"B1","Conservative",10411471203.8442,"FOM","Gas_CC"
"B2","Conservative",10411471203.8442,"FOM","Gas_CC"
"B3","Conservative",10411471203.8442,"FOM","Gas_CC"
"C1","Conservative",10411471203.8442,"FOM","Gas_CC"
"C2","Conservative",10411471203.8442,"FOM","Gas_CC"
"C3","Conservative",10411471203.8442,"FOM","Gas_CC"
"A","Conservative",12511340311.3684,"FOM","Gas_CC"
"D","Conservative",16215238398.4948,"FOM","Gas_CC"
"D","Conservative",19124240356.7333,"CAPEX","Gas_CC"
"B1","Advanced",472156877.670854,"FOM","Coal"
"B2","Advanced",472156877.670854,"FOM","Coal"
"B3","Advanced",472156877.670854,"FOM","Coal"
"C1","Advanced",472156877.670854,"FOM","Coal"
"C2","Advanced",472156877.670854,"FOM","Coal"
"C3","Advanced",472156877.670854,"FOM","Coal"
"A","Advanced",1551975919.34957,"FOM","Coal"
"D","Advanced",1551975919.34957,"FOM","Coal"
"B1","Moderate",476665008.687384,"FOM","Coal"
"B2","Moderate",476665008.687384,"FOM","Coal"
"B3","Moderate",476665008.687384,"FOM","Coal"
"C1","Moderate",476665008.687384,"FOM","Coal"
"C2","Moderate",476665008.687384,"FOM","Coal"
"C3","Moderate",476665008.687384,"FOM","Coal"
"A","Moderate",1592320376.30449,"FOM","Coal"
"D","Moderate",1592320376.30449,"FOM","Coal"
"B1","Conservative",481078304.52074,"FOM","Coal"
"B2","Conservative",481078304.52074,"FOM","Coal"
"B3","Conservative",481078304.52074,"FOM","Coal"
"C1","Conservative",481078304.52074,"FOM","Coal"
