"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"A","CAPEX","Solar","Advanced",0
"A","CAPEX","Solar","Moderate",0
"A","CAPEX","Solar","Conservative",0
"A","FOM","Solar","Advanced",2350445676.55105
"A","FOM","Solar","Moderate",2599845242.72835
"A","FOM","Solar","Conservative",2940864935.48073
"A","CAPEX","Onshore Wind","Advanced",0
"A","CAPEX","Onshore Wind","Moderate",0
"A","CAPEX","Onshore Wind","Conservative",0
"A","FOM","Onshore Wind","Advanced",1365292611.09661
"A","FOM","Onshore Wind","Moderate",1632408066.66778
"A","FOM","Onshore Wind","Conservative",1747627823.64036
"A","CAPEX","Offshore Wind","Advanced",0
"A","CAPEX","Offshore Wind","Moderate",0
"A","CAPEX","Offshore Wind","Conservative",0
"A","FOM","Offshore Wind","Advanced",1207889849.89253
"A","FOM","Offshore Wind","Moderate",1309366274.69796
"A","FOM","Offshore Wind","Conservative",1474457419.34546
"A","CAPEX","Storage","Advanced",0
"A","CAPEX","Storage","Moderate",0
"A","CAPEX","Storage","Conservative",0
"A","FOM","Storage","Advanced",3109696431.28263
"A","FOM","Storage","Moderate",3999750428.97742
"A","FOM","Storage","Conservative",5508491231.53936
"A","CAPEX","Nuclear","Advanced",0
"A","CAPEX","Nuclear","Moderate",0
"A","CAPEX","Nuclear","Conservative",0
"A","FOM","Nuclear","Advanced",5612720781.22543
"A","FOM","Nuclear","Moderate",7795445529.47976
"A","FOM","Nuclear","Conservative",9087262217.22212
"A","CAPEX","SMR","Advanced",0
"A","CAPEX","SMR","Moderate",0
"A","CAPEX","SMR","Conservative",0
"A","FOM","SMR","Advanced",0
"A","FOM","SMR","Moderate",0
"A","FOM","SMR","Conservative",0
"A","CAPEX","Hydropower","Advanced",0
"A","CAPEX","Hydropower","Moderate",0
"A","CAPEX","Hydropower","Conservative",0
"A","FOM","Hydropower","Advanced",1413323574.64976
"A","FOM","Hydropower","Moderate",2493819517.41095
"A","FOM","Hydropower","Conservative",2493819517.41095
"A","CAPEX","Biomass","Advanced",0
"A","CAPEX","Biomass","Moderate",0
"A","CAPEX","Biomass","Conservative",0
"A","FOM","Biomass","Advanced",1170332659.5354
"A","FOM","Biomass","Moderate",1170332659.5354
"A","FOM","Biomass","Conservative",1170332659.5354
"B1","CAPEX","Solar","Advanced",35192652982.8662
"B1","CAPEX","Solar","Moderate",41763720995.2827
"B1","CAPEX","Solar","Conservative",51360653711.7598
"B1","FOM","Solar","Advanced",8556259793.30006
"B1","FOM","Solar","Moderate",9659502478.80149
"B1","FOM","Solar","Conservative",11213792104.33
"B1","CAPEX","Onshore Wind","Advanced",9857974128.54614
"B1","CAPEX","Onshore Wind","Moderate",10465146541.7489
"B1","CAPEX","Onshore Wind","Conservative",11936220782.8229
"B1","FOM","Onshore Wind","Advanced",3189776176.61431
"B1","FOM","Onshore Wind","Moderate",3998008589.59413
"B1","FOM","Onshore Wind","Conservative",4329303679.17293
