"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1","B3","Advanced",2766793143.74715,"Biopower"
"1","B3","Moderate",2766793143.74715,"Biopower"
"1","B3","Conservative",2766793143.74715,"Biopower"
"2","C2","Advanced",1150618702.63206,"Nuclear"
"2","C2","Moderate",1266736186.38392,"Nuclear"
"2","C2","Conservative",1393409805.02231,"Nuclear"
"2","C2","Advanced",2766793143.74715,"Biopower"
"2","C2","Moderate",2766793143.74715,"Biopower"
"2","C2","Conservative",2766793143.74715,"Biopower"
"3","B1","Advanced",2766793143.74715,"Biopower"
"3","B1","Moderate",2766793143.74715,"Biopower"
"3","B1","Conservative",2766793143.74715,"Biopower"
"4","B3","Advanced",2766793143.74715,"Biopower"
"4","B3","Moderate",2766793143.74715,"Biopower"
"4","B3","Conservative",2766793143.74715,"Biopower"
"5","A","Advanced",2766793143.74715,"Biopower"
"5","A","Moderate",2766793143.74715,"Biopower"
"5","A","Conservative",2766793143.74715,"Biopower"
"6","B2","Advanced",2766793143.74715,"Biopower"
"6","B2","Moderate",2766793143.74715,"Biopower"
"6","B2","Conservative",2766793143.74715,"Biopower"
"7","B1","Advanced",2766793143.74715,"Biopower"
"7","B1","Moderate",2766793143.74715,"Biopower"
"7","B1","Conservative",2766793143.74715,"Biopower"
"8","B1","Advanced",2766793143.74715,"Biopower"
"8","B1","Moderate",2766793143.74715,"Biopower"
"8","B1","Conservative",2766793143.74715,"Biopower"
"9","B2","Advanced",2766793143.74715,"Biopower"
"9","B2","Moderate",2766793143.74715,"Biopower"
"9","B2","Conservative",2766793143.74715,"Biopower"
"10","C2","Advanced",1149304857.57809,"Nuclear"
"10","C2","Moderate",1265289751.46212,"Nuclear"
"10","C2","Conservative",1391818726.60833,"Nuclear"
"10","C2","Advanced",2766793143.74715,"Biopower"
"10","C2","Moderate",2766793143.74715,"Biopower"
"10","C2","Conservative",2766793143.74715,"Biopower"
"91","C2","Advanced",1151577716.63216,"Nuclear"
"91","C2","Moderate",1267791981.61339,"Nuclear"
"91","C2","Conservative",1394571179.77473,"Nuclear"
"91","C2","Advanced",2766793143.74715,"Biopower"
"91","C2","Moderate",2766793143.74715,"Biopower"
"91","C2","Conservative",2766793143.74715,"Biopower"
"92","C1","Advanced",14854720764.4676,"Nuclear"
"92","C1","Moderate",16353821025.1019,"Nuclear"
"92","C1","Conservative",17989203127.6121,"Nuclear"
"92","C1","Advanced",2766793143.74715,"Biopower"
"92","C1","Moderate",2766793143.74715,"Biopower"
"92","C1","Conservative",2766793143.74715,"Biopower"
"93","A","Advanced",2766793143.74715,"Biopower"
"93","A","Moderate",2766793143.74715,"Biopower"
"93","A","Conservative",2766793143.74715,"Biopower"
"94","D","Advanced",2766793143.74715,"Biopower"
"94","D","Moderate",2766793143.74715,"Biopower"
"94","D","Conservative",2766793143.74715,"Biopower"
"95","A","Advanced",2766793143.74715,"Biopower"
"95","A","Moderate",2766793143.74715,"Biopower"
"95","A","Conservative",2766793143.74715,"Biopower"
"96","C2","Advanced",1154265526.98659,"Nuclear"
"96","C2","Moderate",1270751038.88432,"Nuclear"
