"Simulation","Pathway","NPV"
"1","B3",23670314083.9004
"10","C2",27249349178.0411
"11","C2",27207299429.3911
"12","C1",26085432022.9913
"13","A",125115035345.383
"14","A",125107595968.217
"15","B3",23643570255.0896
"16","B2",26997702926.7556
"17","D",67836450166.3934
"18","C3",22083173769.0081
"19","C1",26100052442.8282
"2","C2",27206484032.7035
"20","C3",22067252709.4559
"21","D",67857697300.1469
"22","C1",26033773359.6096
"23","D",67838133951.6543
"24","C3",22061223050.1723
"25","D",67963272517.251
"26","D",67838518323.7105
"27","C2",27245789636.07
"28","B2",26976425639.1613
"29","C3",22041626591.5137
"3","B1",23011561358.5105
"30","D",67900751667.9731
"31","C1",26121077297.2821
"32","C2",27221201653.2996
"33","B3",23713950174.8159
"34","B3",23631341124.3859
"35","A",125136648407.635
"36","C2",27267862559.4543
"37","C1",26119992911.1096
"38","C3",22058263042.4648
"39","B1",23027126951.4028
"4","B3",23661311537.3224
"40","B1",23021626596.171
"41","B2",26965742326.4608
"42","B1",23087599936.5181
"43","C1",26133054690.5071
"44","A",125134842468.686
"45","A",125173306420.138
"46","C3",22126798178.9567
"47","B3",23648759447.6066
"48","B2",27004300288.419
"49","C1",26058533994.306
"5","A",125109950171.683
"50","B3",23568712256.865
"51","C1",26064957153.601
"52","C2",27187514805.1829
"53","C2",27099086364.6049
"54","B2",26921860975.1337
"55","D",67909291783.5623
"56","A",125011476106.411
"57","D",67887017038.9164
"58","B2",26925392027.919
"59","B3",23608191950.2876
"6","B2",26946944824.1065
"60","B1",22974823145.1542
"61","B2",26891445325.4368
"62","B1",23007125487.3621
"63","C3",22030580926.917
"64","B3",23621427319.0591
"65","A",125107131602.468
"66","C1",26103815328.9474
"67","C3",22018321975.8085
"68","C2",27186121527.7546
"69","C3",21990274489.794
"7","B1",23030295986.878
"70","D",67814105133.5447
"71","A",125120870777.775
"72","B1",22944843322.4987
"73","D",67853720144.1613
"74","C2",27174986376.0778
"75","B3",23609718083.6323
"76","C1",26059974310.7828
"77","C3",21965581104.3384
"78","C1",26087155397.6476
"79","A",125102984415.612
"8","B1",23042619626.3077
"80","C3",22025458738.2564
"81","B2",26897786706.253
"82","B2",26844336968.5888
"83","B2",26916065841.6443
"84","B3",23622170961.3991
"85","B1",22985049801.0441
"86","B3",23552916331.7232
"87","D",67800378678.0417
"88","B1",22922161927.4721
"89","B1",23000162928.4783
"9","B2",26919921157.3523
"90","C3",22031907266.9751
"91","C2",27168193570.3907
"92","C1",26089613086.7861
"93","A",125018244257.352
"94","D",67815120077.4188
"95","A",125082021540.427
"96","C2",27107062412.205
