"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1","B3","QC","Lower",11962478213.4129
"1","B3","QC","Upper",35623466051.5767
"1","B3","NYISO","Lower",2641276886.05491
"1","B3","NYISO","Upper",7936529104.73231
"1","B3","NB","Lower",278782863.804193
"1","B3","NB","Upper",830196862.833547
"2","C2","QC","Lower",2429297405.90755
"2","C2","QC","Upper",7234286418.30238
"2","C2","NYISO","Lower",2744912461.92461
"2","C2","NYISO","Upper",8247934080.30231
"2","C2","NB","Lower",300130836.001963
"2","C2","NB","Upper",893769706.962497
"3","B1","QC","Lower",9372005565.0906
"3","B1","QC","Upper",27909210460.1579
"3","B1","NYISO","Lower",2553068067.82454
"3","B1","NYISO","Upper",7671478569.18433
"3","B1","NB","Lower",271001853.129419
"3","B1","NB","Upper",807025529.546689
"4","B3","QC","Lower",11983450560.287
"4","B3","QC","Upper",35685920308.4258
"4","B3","NYISO","Lower",2642854531.26699
"4","B3","NYISO","Upper",7941269625.20128
"4","B3","NB","Lower",279526252.542671
"4","B3","NB","Upper",832410625.150671
"5","A","QC","Lower",4376277931.32853
"5","A","QC","Upper",13032265182.6564
"5","A","NYISO","Lower",4088461731.69257
"5","A","NYISO","Upper",12285041261.0955
"5","A","NB","Lower",665035572.042925
"5","A","NB","Upper",1980431788.55689
"6","B2","QC","Lower",2362756549.56203
"6","B2","QC","Upper",7036132165.08003
"6","B2","NYISO","Lower",2673111688.31757
"6","B2","NYISO","Upper",8032186563.45424
"6","B2","NB","Lower",293348875.298877
"6","B2","NB","Upper",873573478.174502
"7","B1","QC","Lower",9368310348.35926
"7","B1","QC","Upper",27898206350.02
"7","B1","NYISO","Lower",2555696979.44021
"7","B1","NYISO","Upper",7679377943.02947
"7","B1","NB","Lower",272193389.724989
"7","B1","NB","Upper",810573846.434229
"8","B1","QC","Lower",9358767076.17492
"8","B1","QC","Upper",27869787118.9364
"8","B1","NYISO","Lower",2554471261.97461
"8","B1","NYISO","Upper",7675694897.76025
"8","B1","NB","Lower",271362908.184158
"8","B1","NB","Upper",808100727.532907
"9","B2","QC","Lower",2361421453.53933
"9","B2","QC","Upper",7032156337.74797
"9","B2","NYISO","Lower",2675510363.31226
"9","B2","NYISO","Upper",8039394120.52964
"9","B2","NB","Lower",293428693.694051
"9","B2","NB","Upper",873811172.056993
"10","C2","QC","Lower",2428637362.97769
"10","C2","QC","Upper",7232320854.27084
"10","C2","NYISO","Lower",2743413320.23236
"10","C2","NYISO","Upper",8243429447.81359
"10","C2","NB","Lower",299366722.090905
"10","C2","NB","Upper",891494226.457162
"91","C2","QC","Lower",2431931864.54346
"91","C2","QC","Upper",7242131661.24505
"91","C2","NYISO","Lower",2741594496.61409
"91","C2","NYISO","Upper",8237964232.61444
"91","C2","NB","Lower",299753202.639726
"91","C2","NB","Upper",892645139.877016
"92","C1","QC","Lower",1738300801.12737
"92","C1","QC","Upper",5176544397.54443
"92","C1","NYISO","Lower",1546292921.42417
"92","C1","NYISO","Upper",4646312864.85626
"92","C1","NB","Lower",239160824.386083
"92","C1","NB","Upper",712205059.552963
"93","A","QC","Lower",4376150978.77571
"93","A","QC","Upper",13031887126.3812
"93","A","NYISO","Lower",4088513925.70833
"93","A","NYISO","Upper",12285198094.0755
"93","A","NB","Lower",664995295.959721
"93","A","NB","Upper",1980311849.05463
"94","D","QC","Lower",21464387119.9689
"94","D","QC","Upper",63919520039.6494
"94","D","NYISO","Lower",5970821481.55581
"94","D","NYISO","Upper",17941170317.1749
"94","D","NB","Lower",585931059.427579
"94","D","NB","Upper",1744863800.93709
"95","A","QC","Lower",4376351422.49009
"95","A","QC","Upper",13032484034.4572
"95","A","NYISO","Lower",4088154289.15022
"95","A","NYISO","Upper",12284117455.3793
"95","A","NB","Lower",664992530.26075
"95","A","NB","Upper",1980303612.98668
"96","C2","QC","Lower",2433946716.628
"96","C2","QC","Upper",7248131757.00717
"96","C2","NYISO","Lower",2743844654.87338
"96","C2","NYISO","Upper",8244725525.46088
"96","C2","NB","Lower",298806826.482698
"96","C2","NB","Upper",889826894.50173
"11","C2","QC","Lower",2430337843.70578
"11","C2","QC","Upper",7237384773.00138
"11","C2","NYISO","Lower",2743422457.05949
"11","C2","NYISO","Upper",8243456902.22202
"11","C2","NB","Lower",299659787.278891
"11","C2","NB","Upper",892366955.13335
"12","C1","QC","Lower",1738162874.90125
"12","C1","QC","Upper",5176133662.39855
"12","C1","NYISO","Lower",1547145068.74486
"12","C1","NYISO","Upper",4648873403.68047
"12","C1","NB","Lower",239387467.488684
"12","C1","NB","Upper",712879987.667965
"13","A","QC","Lower",4376209981.63557
"13","A","QC","Upper",13032062832.9813
"13","A","NYISO","Lower",4088290699.71528
"13","A","NYISO","Upper",12284527342.8945
"13","A","NB","Lower",664982170.994267
"13","A","NB","Upper",1980272763.77874
"14","A","QC","Lower",4376451836.60435
"14","A","QC","Upper",13032783061.024
"14","A","NYISO","Lower",4087830433.62398
"14","A","NYISO","Upper",12283144331.8028
"14","A","NB","Lower",665117700.543232
"14","A","NB","Upper",1980676361.77912
"15","B3","QC","Lower",11978550691.6895
"15","B3","QC","Upper",35671328824.9951
"15","B3","NYISO","Lower",2640307934.68285
"15","B3","NYISO","Upper",7933617592.19607
"15","B3","NB","Lower",278578689.837086
"15","B3","NB","Upper",829588846.312546
"16","B2","QC","Lower",2361851562.05604
"16","B2","QC","Upper",7033437172.36018
"16","B2","NYISO","Lower",2671686806.66733
"16","B2","NYISO","Upper",8027905068.11097
"16","B2","NB","Lower",293158197.211545
"16","B2","NB","Upper",873005651.487617
"17","D","QC","Lower",21471983448.9069
"17","D","QC","Upper",63942141402.9832
"17","D","NYISO","Lower",5966873360.84969
"17","D","NYISO","Upper",17929306973.707
"17","D","NB","Lower",586932833.996896
"17","D","NB","Upper",1747847019.10683
"18","C3","QC","Lower",9164055261.97802
"18","C3","QC","Upper",27289948261.2065
"18","C3","NYISO","Lower",2463582190.52479
"18","C3","NYISO","Upper",7402590716.72113
