"Simulation","Pathway","NPV"
"1","B3",1842054846.56629
"2","C2",2557582111.21429
"3","B1",1942628525.80406
"4","B3",1852291626.48867
"5","A",34734548806.4839
"6","B2",3418632939.87865
"7","B1",1932232918.8944
"8","B1",1935831274.81303
"9","B2",3392671194.09661
"10","C2",2566580709.63931
"91","C2",2548942266.90582
"92","C1",1464234009.20907
"93","A",34795057951.2814
"94","D",269320771.993236
"95","A",34801293173.7599
"96","C2",2568951596.34887
"11","C2",2598218394.78732
"12","C1",1485499073.58707
"13","A",34737404730.8923
"14","A",34737070759.5373
"15","B3",1861255126.89535
"16","B2",3373034497.36249
"17","D",260872937.619739
"18","C3",1361252334.93722
"19","C1",1486160028.95147
"20","C3",1372225123.88085
"21","D",258160090.562938
"22","C1",1485261876.0059
"23","D",265764521.043938
"24","C3",1376287460.8375
"25","D",271100259.912622
"26","D",270695689.114182
"27","C2",2580525922.92825
"28","B2",3404212889.28897
"29","C3",1386314173.20941
"30","D",270297004.346416
"31","C1",1488434595.87272
"32","C2",2563369709.38492
"33","B3",1871854532.2156
"34","B3",1848359283.29651
"35","A",34747549401.3823
"36","C2",2603765354.42405
"37","C1",1509551094.08909
"38","C3",1385383348.90024
"39","B1",1944987561.25054
"40","B1",1941671971.86005
"41","B2",3387245971.75339
"42","B1",1955314885.17126
"43","C1",1508132140.50908
"44","A",34753309311.4544
"45","A",34751484299.7371
"46","C3",1388702914.70348
"47","B3",1854703954.49759
"48","B2",3421061843.45745
"49","C1",1470676204.3417
"50","B3",1872082127.98965
"51","C1",1478952450.86528
"52","C2",2559467906.13661
"53","C2",2582808740.09908
"54","B2",3417758523.43969
"55","D",269249624.47954
"56","A",34773992707.9311
"57","D",267666673.48541
"58","B2",3368592553.81036
"59","B3",1843966657.60447
"60","B1",1929324598.42862
"61","B2",3427195688.68418
"62","B1",1936368055.37455
"63","C3",1372778968.61826
"64","B3",1852338618.30873
"65","A",34766321324.2552
"66","C1",1471082050.59223
"67","C3",1377001696.67415
"68","C2",2546613521.07142
"69","C3",1385868080.76683
"70","D",273429032.481866
"71","A",34790099036.987
"72","B1",1957578335.57119
"73","D",267241487.203267
"74","C2",2560636891.66618
"75","B3",1836123373.67714
"76","C1",1463686880.23537
"77","C3",1365671456.92668
"78","C1",1470003294.34652
"79","A",34785705917.3667
"80","C3",1356401997.93136
"81","B2",3413602089.87405
"82","B2",3417029603.42726
"83","B2",3406612014.06687
"84","B3",1840064634.17417
"85","B1",1933464625.83918
"86","B3",1848243588.23515
"87","D",267404085.144093
"88","B1",1945281208.78507
"89","B1",1929624162.32289
"90","C3",1358416499.52923
