Simulation,Pathway,ATB_Scenario,NPV,Technology
1,B3,Advanced,16031259780.9424,Coal
1,B3,Moderate,16162462685.3494,Coal
1,B3,Conservative,16296210706.4635,Coal
1,B3,Advanced,2840640757.77005,Wood
1,B3,Moderate,2840640757.77005,Wood
1,B3,Conservative,2840640757.77005,Wood
1,B3,Advanced,57349951053.0623,Gas_CC
1,B3,Moderate,57783457176.1882,Gas_CC
1,B3,Conservative,58207027861.5907,Gas_CC
1,B3,Advanced,9313302705.32051,Gas_CT
1,B3,Moderate,9313302705.32051,Gas_CT
1,B3,Conservative,9313302705.32051,Gas_CT
1,B3,Advanced,5305077485.91322,Oil
1,B3,Moderate,5305077485.91322,Oil
1,B3,Conservative,5305077485.91322,Oil
2,C2,Advanced,17776539099.6623,Coal
2,C2,Moderate,17924080262.7122,Coal
2,C2,Conservative,18074525345.4088,Coal
2,C2,Advanced,3112059615.08293,Wood
2,C2,Moderate,3112059615.08293,Wood
2,C2,Conservative,3112059615.08293,Wood
2,C2,Advanced,66761874564.3205,Gas_CC
2,C2,Moderate,67250130737.9535,Gas_CC
2,C2,Conservative,67728705906.082,Gas_CC
2,C2,Advanced,10006128916.7524,Gas_CT
2,C2,Moderate,10006128916.7524,Gas_CT
2,C2,Conservative,10006128916.7524,Gas_CT
2,C2,Advanced,5776864651.71011,Oil
2,C2,Moderate,5776864651.71011,Oil
2,C2,Conservative,5776864651.71011,Oil
3,B1,Advanced,15616973315.2934,Coal
3,B1,Moderate,15744929900.5589,Coal
3,B1,Conservative,15875335860.7019,Coal
3,B1,Advanced,2764933498.75255,Wood
3,B1,Moderate,2764933498.75255,Wood
3,B1,Conservative,2764933498.75255,Wood
3,B1,Advanced,55614197061.9361,Gas_CC
3,B1,Moderate,56038805894.1921,Gas_CC
3,B1,Conservative,56453203923.3701,Gas_CC
3,B1,Advanced,9108268475.34081,Gas_CT
3,B1,Moderate,9108268475.34081,Gas_CT
3,B1,Conservative,9108268475.34081,Gas_CT
3,B1,Advanced,5245730666.3511,Oil
3,B1,Moderate,5245730666.3511,Oil
3,B1,Conservative,5245730666.3511,Oil
4,B3,Advanced,16053760093.0126,Coal
4,B3,Moderate,16185225165.8669,Coal
4,B3,Conservative,16319194822.8435,Coal
4,B3,Advanced,2844112769.06614,Wood
4,B3,Moderate,2844112769.06614,Wood
4,B3,Conservative,2844112769.06614,Wood
4,B3,Advanced,57290568579.4943,Gas_CC
4,B3,Moderate,57723618261.7641,Gas_CC
4,B3,Conservative,58146620906.6343,Gas_CC
4,B3,Advanced,9331463039.27384,Gas_CT
4,B3,Moderate,9331463039.27384,Gas_CT
4,B3,Conservative,9331463039.27384,Gas_CT
4,B3,Advanced,5390941046.47557,Oil
4,B3,Moderate,5390941046.47557,Oil
4,B3,Conservative,5390941046.47557,Oil
5,A,Advanced,91351621311.4355,Coal
5,A,Moderate,93769759983.2734,Coal
5,A,Conservative,96190757546.6574,Coal
5,A,Advanced,13170520499.9902,Wood
5,A,Moderate,13170520499.9902,Wood
5,A,Conservative,13170520499.9902,Wood
5,A,Advanced,245130061629.363,Gas_CC
5,A,Moderate,248129103538.465,Gas_CC
5,A,Conservative,251129598080.753,Gas_CC
5,A,Advanced,31752038069.9818,Gas_CT
5,A,Moderate,31752038069.9818,Gas_CT
5,A,Conservative,31752038069.9818,Gas_CT
5,A,Advanced,45170429807.4126,Oil
5,A,Moderate,45170429807.4126,Oil
5,A,Conservative,45170429807.4126,Oil
6,B2,Advanced,16841389062.7667,Coal
6,B2,Moderate,16980289289.2713,Coal
6,B2,Conservative,17121912102.7379,Coal
6,B2,Advanced,3032342579.38376,Wood
6,B2,Moderate,3032342579.38376,Wood
6,B2,Conservative,3032342579.38376,Wood
6,B2,Advanced,65757858974.8381,Gas_CC
6,B2,Moderate,66262471114.5923,Gas_CC
6,B2,Conservative,66757133004.5885,Gas_CC
6,B2,Advanced,9844025463.96672,Gas_CT
6,B2,Moderate,9844025463.96672,Gas_CT
6,B2,Conservative,9844025463.96672,Gas_CT
6,B2,Advanced,5612792137.8479,Oil
6,B2,Moderate,5612792137.8479,Oil
6,B2,Conservative,5612792137.8479,Oil
7,B1,Advanced,15637186510.1339,Coal
7,B1,Moderate,15764553057.5983,Coal
7,B1,Conservative,15894379336.8704,Coal
7,B1,Advanced,2773327835.91411,Wood
7,B1,Moderate,2773327835.91411,Wood
7,B1,Conservative,2773327835.91411,Wood
7,B1,Advanced,55630361581.9449,Gas_CC
7,B1,Moderate,56055096751.265,Gas_CC
7,B1,Conservative,56469223965.7126,Gas_CC
7,B1,Advanced,9132044324.01361,Gas_CT
7,B1,Moderate,9132044324.01361,Gas_CT
7,B1,Conservative,9132044324.01361,Gas_CT
7,B1,Advanced,5237501716.5652,Oil
7,B1,Moderate,5237501716.5652,Oil
7,B1,Conservative,5237501716.5652,Oil
8,B1,Advanced,15537613887.5041,Coal
8,B1,Moderate,15664149537.4426,Coal
8,B1,Conservative,15793144298.923,Coal
8,B1,Advanced,2770276782.20575,Wood
8,B1,Moderate,2770276782.20575,Wood
8,B1,Conservative,2770276782.20575,Wood
8,B1,Advanced,55670893602.1657,Gas_CC
8,B1,Moderate,56096140181.6594,Gas_CC
8,B1,Conservative,56510824349.1773,Gas_CC
8,B1,Advanced,9118204311.49927,Gas_CT
8,B1,Moderate,9118204311.49927,Gas_CT
8,B1,Conservative,9118204311.49927,Gas_CT
8,B1,Advanced,5246108808.94894,Oil
8,B1,Moderate,5246108808.94894,Oil
8,B1,Conservative,5246108808.94894,Oil
9,B2,Advanced,16878319817.7404,Coal
9,B2,Moderate,17017391599.9083,Coal
9,B2,Conservative,17159203742.0134,Coal
9,B2,Advanced,3034761824.68416,Wood
9,B2,Moderate,3034761824.68416,Wood
9,B2,Conservative,3034761824.68416,Wood
9,B2,Advanced,65777772328.6985,Gas_CC
9,B2,Moderate,66282047813.6463,Gas_CC
9,B2,Conservative,66776044822.5556,Gas_CC
9,B2,Advanced,9838886713.01556,Gas_CT
9,B2,Moderate,9838886713.01556,Gas_CT
9,B2,Conservative,9838886713.01556,Gas_CT
9,B2,Advanced,5558042607.95051,Oil
9,B2,Moderate,5558042607.95051,Oil
9,B2,Conservative,5558042607.95051,Oil
10,C2,Advanced,17731817816.4136,Coal
10,C2,Moderate,17878991028.5385,Coal
10,C2,Conservative,18029056241.2024,Coal
10,C2,Advanced,3110116300.34157,Wood
10,C2,Moderate,3110116300.34157,Wood
10,C2,Conservative,3110116300.34157,Wood
10,C2,Advanced,66788085682.3492,Gas_CC
10,C2,Moderate,67276881762.8585,Gas_CC
10,C2,Conservative,67756166616.4942,Gas_CC
10,C2,Advanced,10011525092.7636,Gas_CT
10,C2,Moderate,10011525092.7636,Gas_CT
10,C2,Conservative,10011525092.7636,Gas_CT
10,C2,Advanced,5756311710.60573,Oil
10,C2,Moderate,5756311710.60573,Oil
10,C2,Conservative,5756311710.60573,Oil
91,C2,Advanced,17664648754.549,Coal
91,C2,Moderate,17811467565.3504,Coal
91,C2,Conservative,17961194039.7641,Coal
91,C2,Advanced,3117980287.41647,Wood
91,C2,Moderate,3117980287.41647,Wood
91,C2,Conservative,3117980287.41647,Wood
91,C2,Advanced,66687338648.0542,Gas_CC
91,C2,Moderate,67175487886.9315,Gas_CC
91,C2,Conservative,67654291428.4368,Gas_CC
91,C2,Advanced,10000121157.9126,Gas_CT
91,C2,Moderate,10000121157.9126,Gas_CT
91,C2,Conservative,10000121157.9126,Gas_CT
91,C2,Advanced,5719776975.63096,Oil
