"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1","B3","Advanced",689963599.167262,"Nuclear.gen"
"1","B3","Moderate",1016788461.9307,"Nuclear.gen"
"1","B3","Conservative",1234671703.77299,"Nuclear.gen"
"1","B3","Advanced",197313487.487858,"Bio.gen"
"1","B3","Moderate",197313487.487858,"Bio.gen"
"1","B3","Conservative",197313487.487858,"Bio.gen"
"2","C2","Advanced",689963599.167262,"Nuclear.gen"
"2","C2","Moderate",1016788461.9307,"Nuclear.gen"
"2","C2","Conservative",1234671703.77299,"Nuclear.gen"
"2","C2","Advanced",252979267.433245,"SMR.gen"
"2","C2","Moderate",298975497.875653,"SMR.gen"
"2","C2","Conservative",321973613.096857,"SMR.gen"
"2","C2","Advanced",197313487.487858,"Bio.gen"
"2","C2","Moderate",197313487.487858,"Bio.gen"
"2","C2","Conservative",197313487.487858,"Bio.gen"
"3","B1","Advanced",689963599.167262,"Nuclear.gen"
"3","B1","Moderate",1016788461.9307,"Nuclear.gen"
"3","B1","Conservative",1234671703.77299,"Nuclear.gen"
"3","B1","Advanced",197313487.487858,"Bio.gen"
"3","B1","Moderate",197313487.487858,"Bio.gen"
"3","B1","Conservative",197313487.487858,"Bio.gen"
"4","B3","Advanced",689963599.167262,"Nuclear.gen"
"4","B3","Moderate",1016788461.9307,"Nuclear.gen"
"4","B3","Conservative",1234671703.77299,"Nuclear.gen"
"4","B3","Advanced",197313487.487858,"Bio.gen"
"4","B3","Moderate",197313487.487858,"Bio.gen"
"4","B3","Conservative",197313487.487858,"Bio.gen"
"5","A","Advanced",689963599.167262,"Nuclear.gen"
"5","A","Moderate",1016788461.9307,"Nuclear.gen"
"5","A","Conservative",1234671703.77299,"Nuclear.gen"
"5","A","Advanced",197313487.487858,"Bio.gen"
"5","A","Moderate",197313487.487858,"Bio.gen"
"5","A","Conservative",197313487.487858,"Bio.gen"
"6","B2","Advanced",689963599.167262,"Nuclear.gen"
"6","B2","Moderate",1016788461.9307,"Nuclear.gen"
"6","B2","Conservative",1234671703.77299,"Nuclear.gen"
"6","B2","Advanced",197313487.487858,"Bio.gen"
"6","B2","Moderate",197313487.487858,"Bio.gen"
"6","B2","Conservative",197313487.487858,"Bio.gen"
"7","B1","Advanced",689963599.167262,"Nuclear.gen"
"7","B1","Moderate",1016788461.9307,"Nuclear.gen"
"7","B1","Conservative",1234671703.77299,"Nuclear.gen"
"7","B1","Advanced",197313487.487858,"Bio.gen"
"7","B1","Moderate",197313487.487858,"Bio.gen"
"7","B1","Conservative",197313487.487858,"Bio.gen"
"8","B1","Advanced",689963599.167262,"Nuclear.gen"
"8","B1","Moderate",1016788461.9307,"Nuclear.gen"
"8","B1","Conservative",1234671703.77299,"Nuclear.gen"
"8","B1","Advanced",197313487.487858,"Bio.gen"
"8","B1","Moderate",197313487.487858,"Bio.gen"
"8","B1","Conservative",197313487.487858,"Bio.gen"
"9","B2","Advanced",689963599.167262,"Nuclear.gen"
"9","B2","Moderate",1016788461.9307,"Nuclear.gen"
"9","B2","Conservative",1234671703.77299,"Nuclear.gen"
"9","B2","Advanced",197313487.487858,"Bio.gen"
"9","B2","Moderate",197313487.487858,"Bio.gen"
"9","B2","Conservative",197313487.487858,"Bio.gen"
"10","C2","Advanced",689963599.167262,"Nuclear.gen"
"10","C2","Moderate",1016788461.9307,"Nuclear.gen"
"10","C2","Conservative",1234671703.77299,"Nuclear.gen"
"10","C2","Advanced",252690400.618796,"SMR.gen"
"10","C2","Moderate",298634109.822214,"SMR.gen"
"10","C2","Conservative",321605964.423923,"SMR.gen"
"10","C2","Advanced",197313487.487858,"Bio.gen"
"10","C2","Moderate",197313487.487858,"Bio.gen"
"10","C2","Conservative",197313487.487858,"Bio.gen"
"91","C2","Advanced",689963599.167262,"Nuclear.gen"
"91","C2","Moderate",1016788461.9307,"Nuclear.gen"
"91","C2","Conservative",1234671703.77299,"Nuclear.gen"
"91","C2","Advanced",253190119.78481,"SMR.gen"
"91","C2","Moderate",299224687.018411,"SMR.gen"
"91","C2","Conservative",322241970.635212,"SMR.gen"
"91","C2","Advanced",197313487.487858,"Bio.gen"
"91","C2","Moderate",197313487.487858,"Bio.gen"
"91","C2","Conservative",197313487.487858,"Bio.gen"
"92","C1","Advanced",689963599.167262,"Nuclear.gen"
"92","C1","Moderate",1016788461.9307,"Nuclear.gen"
"92","C1","Conservative",1234671703.77299,"Nuclear.gen"
"92","C1","Advanced",3266013639.72624,"SMR.gen"
"92","C1","Moderate",3859834301.49465,"SMR.gen"
"92","C1","Conservative",4156744632.37885,"SMR.gen"
"92","C1","Advanced",197313487.487858,"Bio.gen"
"92","C1","Moderate",197313487.487858,"Bio.gen"
"92","C1","Conservative",197313487.487858,"Bio.gen"
"93","A","Advanced",689963599.167262,"Nuclear.gen"
"93","A","Moderate",1016788461.9307,"Nuclear.gen"
"93","A","Conservative",1234671703.77299,"Nuclear.gen"
"93","A","Advanced",197313487.487858,"Bio.gen"
"93","A","Moderate",197313487.487858,"Bio.gen"
"93","A","Conservative",197313487.487858,"Bio.gen"
"94","D","Advanced",689963599.167262,"Nuclear.gen"
"94","D","Moderate",1016788461.9307,"Nuclear.gen"
"94","D","Conservative",1234671703.77299,"Nuclear.gen"
"94","D","Advanced",197313487.487858,"Bio.gen"
"94","D","Moderate",197313487.487858,"Bio.gen"
"94","D","Conservative",197313487.487858,"Bio.gen"
"95","A","Advanced",689963599.167262,"Nuclear.gen"
"95","A","Moderate",1016788461.9307,"Nuclear.gen"
"95","A","Conservative",1234671703.77299,"Nuclear.gen"
"95","A","Advanced",197313487.487858,"Bio.gen"
"95","A","Moderate",197313487.487858,"Bio.gen"
"95","A","Conservative",197313487.487858,"Bio.gen"
"96","C2","Advanced",689963599.167262,"Nuclear.gen"
"96","C2","Moderate",1016788461.9307,"Nuclear.gen"
"96","C2","Conservative",1234671703.77299,"Nuclear.gen"
"96","C2","Advanced",253781071.672613,"SMR.gen"
"96","C2","Moderate",299923084.703997,"SMR.gen"
"96","C2","Conservative",322994091.219689,"SMR.gen"
"96","C2","Advanced",197313487.487858,"Bio.gen"
"96","C2","Moderate",197313487.487858,"Bio.gen"
"96","C2","Conservative",197313487.487858,"Bio.gen"
"11","C2","Advanced",689963599.167262,"Nuclear.gen"
"11","C2","Moderate",1016788461.9307,"Nuclear.gen"
"11","C2","Conservative",1234671703.77299,"Nuclear.gen"
"11","C2","Advanced",252945810.043522,"SMR.gen"
"11","C2","Moderate",298935957.324162,"SMR.gen"
"11","C2","Conservative",321931030.964482,"SMR.gen"
"11","C2","Advanced",197313487.487858,"Bio.gen"
"11","C2","Moderate",197313487.487858,"Bio.gen"
"11","C2","Conservative",197313487.487858,"Bio.gen"
"12","C1","Advanced",689963599.167262,"Nuclear.gen"
"12","C1","Moderate",1016788461.9307,"Nuclear.gen"
"12","C1","Conservative",1234671703.77299,"Nuclear.gen"
"12","C1","Advanced",3265573808.57893,"SMR.gen"
"12","C1","Moderate",3859314501.04782,"SMR.gen"
"12","C1","Conservative",4156184847.28227,"SMR.gen"
"12","C1","Advanced",197313487.487858,"Bio.gen"
"12","C1","Moderate",197313487.487858,"Bio.gen"
"12","C1","Conservative",197313487.487858,"Bio.gen"
"13","A","Advanced",689963599.167262,"Nuclear.gen"
"13","A","Moderate",1016788461.9307,"Nuclear.gen"
"13","A","Conservative",1234671703.77299,"Nuclear.gen"
"13","A","Advanced",197313487.487858,"Bio.gen"
"13","A","Moderate",197313487.487858,"Bio.gen"
"13","A","Conservative",197313487.487858,"Bio.gen"
"14","A","Advanced",689963599.167262,"Nuclear.gen"
"14","A","Moderate",1016788461.9307,"Nuclear.gen"
"14","A","Conservative",1234671703.77299,"Nuclear.gen"
"14","A","Advanced",197313487.487858,"Bio.gen"
"14","A","Moderate",197313487.487858,"Bio.gen"
"14","A","Conservative",197313487.487858,"Bio.gen"
"15","B3","Advanced",689963599.167262,"Nuclear.gen"
"15","B3","Moderate",1016788461.9307,"Nuclear.gen"
"15","B3","Conservative",1234671703.77299,"Nuclear.gen"
"15","B3","Advanced",197313487.487858,"Bio.gen"
"15","B3","Moderate",197313487.487858,"Bio.gen"
"15","B3","Conservative",197313487.487858,"Bio.gen"
"16","B2","Advanced",689963599.167262,"Nuclear.gen"
"16","B2","Moderate",1016788461.9307,"Nuclear.gen"
"16","B2","Conservative",1234671703.77299,"Nuclear.gen"
"16","B2","Advanced",197313487.487858,"Bio.gen"
"16","B2","Moderate",197313487.487858,"Bio.gen"
"16","B2","Conservative",197313487.487858,"Bio.gen"
"17","D","Advanced",689963599.167262,"Nuclear.gen"
"17","D","Moderate",1016788461.9307,"Nuclear.gen"
"17","D","Conservative",1234671703.77299,"Nuclear.gen"
"17","D","Advanced",197313487.487858,"Bio.gen"
"17","D","Moderate",197313487.487858,"Bio.gen"
"17","D","Conservative",197313487.487858,"Bio.gen"
"18","C3","Advanced",689963599.167262,"Nuclear.gen"
"18","C3","Moderate",1016788461.9307,"Nuclear.gen"
"18","C3","Conservative",1234671703.77299,"Nuclear.gen"
"18","C3","Advanced",199762795.007883,"SMR.gen"
"18","C3","Moderate",236083303.191134,"SMR.gen"
"18","C3","Conservative",254243557.28276,"SMR.gen"
"18","C3","Advanced",197313487.487858,"Bio.gen"
"18","C3","Moderate",197313487.487858,"Bio.gen"
"18","C3","Conservative",197313487.487858,"Bio.gen"
"19","C1","Advanced",689963599.167262,"Nuclear.gen"
"19","C1","Moderate",1016788461.9307,"Nuclear.gen"
"19","C1","Conservative",1234671703.77299,"Nuclear.gen"
"19","C1","Advanced",3265367232.9448,"SMR.gen"
"19","C1","Moderate",3859070366.20749,"SMR.gen"
"19","C1","Conservative",4155921932.83883,"SMR.gen"
"19","C1","Advanced",197313487.487858,"Bio.gen"
"19","C1","Moderate",197313487.487858,"Bio.gen"
"19","C1","Conservative",197313487.487858,"Bio.gen"
"20","C3","Advanced",689963599.167262,"Nuclear.gen"
"20","C3","Moderate",1016788461.9307,"Nuclear.gen"
"20","C3","Conservative",1234671703.77299,"Nuclear.gen"
"20","C3","Advanced",200164629.039613,"SMR.gen"
"20","C3","Moderate",236558197.955906,"SMR.gen"
"20","C3","Conservative",254754982.414053,"SMR.gen"
"20","C3","Advanced",197313487.487858,"Bio.gen"
"20","C3","Moderate",197313487.487858,"Bio.gen"
"20","C3","Conservative",197313487.487858,"Bio.gen"
"21","D","Advanced",689963599.167262,"Nuclear.gen"
"21","D","Moderate",1016788461.9307,"Nuclear.gen"
"21","D","Conservative",1234671703.77299,"Nuclear.gen"
"21","D","Advanced",197313487.487858,"Bio.gen"
"21","D","Moderate",197313487.487858,"Bio.gen"
"21","D","Conservative",197313487.487858,"Bio.gen"
"22","C1","Advanced",689963599.167262,"Nuclear.gen"
"22","C1","Moderate",1016788461.9307,"Nuclear.gen"
"22","C1","Conservative",1234671703.77299,"Nuclear.gen"
"22","C1","Advanced",3265389022.37039,"SMR.gen"
"22","C1","Moderate",3859096117.34682,"SMR.gen"
"22","C1","Conservative",4155949664.83504,"SMR.gen"
"22","C1","Advanced",197313487.487858,"Bio.gen"
"22","C1","Moderate",197313487.487858,"Bio.gen"
"22","C1","Conservative",197313487.487858,"Bio.gen"
"23","D","Advanced",689963599.167262,"Nuclear.gen"
"23","D","Moderate",1016788461.9307,"Nuclear.gen"
"23","D","Conservative",1234671703.77299,"Nuclear.gen"
"23","D","Advanced",197313487.487858,"Bio.gen"
"23","D","Moderate",197313487.487858,"Bio.gen"
"23","D","Conservative",197313487.487858,"Bio.gen"
"24","C3","Advanced",689963599.167262,"Nuclear.gen"
"24","C3","Moderate",1016788461.9307,"Nuclear.gen"
"24","C3","Conservative",1234671703.77299,"Nuclear.gen"
"24","C3","Advanced",199935522.297662,"SMR.gen"
"24","C3","Moderate",236287435.442691,"SMR.gen"
