Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD
2025,1,B3,1162996.95316354,8965810.1094383,13262669.9232511,60251.5779160655,6958611.69770323,325226.79285646,30735567.0543287
2026,1,B3,931518.969018894,6928954.04098593,10160448.435871,48942.9499284758,5427339.85984415,251105.275773849,23748309.5314223
2027,1,B3,895978.028443553,5694201.04703063,9882925.1652307,43474.3491030293,5271431.54980359,244148.62379267,22032158.7634042
2028,1,B3,857520.857966104,5451389.91857465,9556328.25793615,41665.2638386288,5070413.33172918,235590.268090589,21212907.8981353
2029,1,B3,787488.125323086,4846585.69883285,9413257.23178655,40464.6606228662,4486519.80417061,225383.564179043,19799699.084915
2025,2,C2,1143851.70186834,8741396.15262762,13087127.3855585,60040.0354887946,6875114.78280315,321364.061890266,30228894.1202367
2026,2,C2,1098980.92208611,8225894.47759972,12550795.5325085,56344.0084086619,6587381.5965797,307947.407526294,28827343.944709
2027,2,C2,1045746.14770407,6539759.4505863,12062388.3490969,49197.1959640747,6320924.2716058,295533.200034573,26313548.6149918
2028,2,C2,975631.114708118,6220869.51301177,11546182.3569703,46868.3861637188,6046609.89770345,282647.730282322,25118808.9988397
2029,2,C2,919319.215154879,5368362.39748693,11173845.8891025,45261.3839957086,5292850.87645395,266527.686461274,23066167.4486553
2025,3,B1,1139074.88249444,8671387.26707831,13077972.5950093,59698.9189510114,6878546.18729227,320971.402135615,30147651.2529609
2026,3,B1,895382.070599238,6874785.57426934,9927356.93948909,48061.6740671149,5314315.68041481,245555.320864616,23305457.2597042
2027,3,B1,896627.498993984,5740370.49048359,9541081.4400668,42571.7719134546,5091948.50378001,235919.370400943,21548519.0756388
2028,3,B1,831260.52517458,5411761.07797437,9188373.80759145,40336.8509641145,4887651.16451481,226688.753162972,20586072.1793823
2029,3,B1,759043.731566254,4539021.93257709,9017514.43871381,39143.6841950351,4299194.6056462,216044.870570377,18869963.2632688
2025,4,B3,1163371.04164857,8864813.75279454,13265699.7859886,60572.4900358453,6958937.13877903,325544.767122177,30638938.9763688
2026,4,B3,934969.47085071,7088859.34267512,10139597.488376,49087.9306461306,5423382.83491865,250722.546347902,23886619.6138145
2027,4,B3,911110.616746619,5754799.52845105,9877170.31016218,43617.8854946844,5265182.06808518,244015.587609884,22095895.9965496
2028,4,B3,848632.321744138,5410496.69996014,9526538.50849776,41488.6511659936,5055412.74860927,234747.427513686,21117316.357491
2029,4,B3,804971.671442773,4871946.28009043,9390493.63769349,40457.3249391514,4474499.61334064,224899.779208932,19807268.3067154
2025,5,A,1516130.35247649,10790406.2977049,14061197.1910955,68249.5344162291,9069595.07978702,379996.336382042,35885574.7918622
2026,5,A,1570669.66489711,11682788.6279011,14904381.7848275,70847.0481660611,9490913.01899763,400807.027479452,38120407.1722689
2027,5,A,1660034.5104884,12379717.164234,15821269.2446307,74097.4481660706,9934185.3149755,423347.102050859,40292650.7845455
2028,5,A,1743051.4410534,13307003.6717824,16865092.2631972,76974.1848446607,10431181.0603424,448524.674394956,42871827.295615
2029,5,A,1828107.33670544,14124222.0942527,17906920.4597254,80190.8607491526,10908042.5882986,473438.145476071,45320921.4852075
2030,5,A,1887059.1720363,14937936.9434849,18940814.4313044,82953.3338458261,11380077.5994372,498110.807316648,47726952.2874253
2031,5,A,1878390.72505419,15650137.3673215,19996908.9591608,85649.6099359996,11882279.0102894,523592.288890062,50016957.960652
2032,5,A,1866080.0856399,15292908.8113455,21047255.7017234,87182.3845884128,12368078.6451804,548107.750574261,51209613.3790519
2033,5,A,1910771.22929472,15646973.6337959,21991385.2293628,89560.7116534904,12803752.599502,570626.17693583,53013069.5805447
2034,5,A,1958857.01725956,15993547.4027234,23002347.9389243,91606.0513186299,13264952.5489957,594294.337233763,54905605.2964553
2035,5,A,2020087.52812776,16526620.5842974,23867184.5541345,94401.3591235921,13643886.6257478,614828.697441899,56767009.348873
2036,5,A,2028028.8444269,16689228.1828324,24682377.4898107,95926.6142860088,14028584.234429,634122.122189669,58158267.4879747
2037,5,A,2041466.85319081,16686181.2945618,25454821.5004323,97733.2818477342,14368923.0681636,652156.943900111,59301282.9420964
2038,5,A,2126525.96035355,17155930.6109666,26140029.5913165,99595.9590064582,14669851.1083007,668026.683414297,60859959.9133582
2039,5,A,2171175.03668725,17592317.0299016,26764651.6765181,101195.2425835,14946320.3240218,682791.389315723,62258450.699028
2040,5,A,2179275.69440337,17622201.6369283,27308974.0657779,101991.235868909,15194205.1918045,695321.038955546,63101968.8637384
2041,5,A,2214001.54241234,17971616.9147186,27745262.0628693,103690.051181613,15378531.7381969,705644.896834362,64118747.206213
2042,5,A,2265273.76113752,18024274.3011227,28149318.2693335,104749.983878641,15562028.7889867,715177.912751239,64820823.0172104
2043,5,A,2249265.1089622,18038119.630425,28514264.3844168,105172.679618907,15721416.721974,723345.97429934,65351584.4996963
2044,5,A,2286150.99814064,18176805.7838878,28852159.7343185,105969.871661817,15879214.8723342,731352.973669319,66031654.2340124
2045,5,A,2294075.4731199,18302303.0788751,29025815.9193938,106684.537640459,15944695.072957,735333.66947283,66408907.7514591
2046,5,A,2291012.76698863,18498599.192054,29180192.402898,106972.918389564,16009233.0415356,738793.057389208,66824803.3792551
2047,5,A,2314784.13839342,18273926.7692301,29269159.3805538,107307.169336678,16054810.9625879,741118.793726291,66761107.2138283
2048,5,A,2309095.86437894,18493916.07711,29467354.3975354,107806.407723277,16150898.2375116,745785.485040787,67274856.4693
2049,5,A,2314338.00938244,18450141.7578789,29397289.0538305,107790.869412356,16111097.4674008,744194.004333623,67124851.1622386
2050,5,A,2310710.97859433,18414889.5213072,29377559.4052117,107406.293762314,16101436.9794378,743494.461720958,67055497.6400343
2025,6,B2,1117519.2200231,8481933.81685923,12699287.4404655,58473.6842637,6694669.73884776,311960.259299182,29363844.1597584
2026,6,B2,1051079.46913636,7943926.4431059,12012439.2287622,54379.3036916947,6323715.1874681,295031.51300197,27680571.1451662
2027,6,B2,1014103.34098106,6380029.03033619,11343608.0246335,47571.2972891086,5969536.43117142,278737.677614469,25033585.8020258
2028,6,B2,922169.24161151,5899681.72302753,10735050.2802153,44318.7645431994,5634790.2359927,263190.077024969,23499200.3224152
2029,6,B2,829385.141566623,4993013.41341336,10271124.5196909,42309.759007707,4868550.37138581,245179.605402378,21249562.8104668
2025,7,B1,1143851.70186834,8741396.15262762,13087127.3855585,60040.0354887946,6875114.78280315,321364.061890266,30228894.1202367
2026,7,B1,914775.675906179,6851386.12428297,9918704.83349409,48180.9798777145,5310007.80728102,245274.870249169,23288330.2910911
2027,7,B1,890159.272207625,5614130.13603324,9576828.18078084,42607.3013276867,5114319.0478828,236789.519158123,21474833.4573903
2028,7,B1,809742.736544122,5157471.45563815,9187478.67736886,40263.9135134917,4881384.78544987,226520.526767023,20302862.0952815
2029,7,B1,785004.632797214,4790051.382059,8974359.1172878,39088.4862955207,4280110.72763488,215108.251739496,19083722.5978139
2025,8,B1,1148672.97743446,8961524.1847648,13072133.0342193,59678.099956854,6867654.097628,320682.67552316,30430345.0695266
2026,8,B1,924153.377812886,6857450.50081453,9911806.76247877,48082.5405886918,5304899.08115457,245140.642548919,23291532.9053984
2027,8,B1,893098.890014788,5686624.46957562,9581563.1034315,42717.4443688994,5118426.92889335,237086.694017805,21559517.530302
2028,8,B1,807492.69916461,5136021.63066258,9213165.64944308,40367.6385902675,4898332.35431363,227219.946147389,20322599.9183216
2029,8,B1,754416.588643088,4633110.13704581,9026503.0954833,39095.1460274364,4304382.78995215,216236.427001404,18973744.1841532
2025,9,B2,1116951.11735299,8510712.06948654,12670645.3662835,58747.8068091789,6679716.73865061,311518.615035736,29348291.7136186
2026,9,B2,1051147.3904219,7770085.36292977,12018116.1443796,54584.1168242276,6329261.93157047,295122.908212949,27518317.8543389
2027,9,B2,1003587.46618633,6333813.40347927,11360759.5064904,47170.2720405326,5979018.80041499,278827.476189032,25003176.9248006
2028,9,B2,908138.317727118,5788050.14637442,10725026.2703097,44364.0470980993,5634351.07603993,262980.627069479,23362910.4846188
2029,9,B2,846519.123141581,4963859.4060393,10238966.6226796,42428.0588081099,4852548.97176256,244590.648705054,21188912.8311362
2025,10,C2,1148672.97743446,8961524.1847648,13072133.0342193,59678.099956854,6867654.097628,320682.67552316,30430345.0695266
2026,10,C2,1107172.20936767,8208933.1670821,12545456.0229905,55901.6986244233,6579057.44651092,307499.487915781,28804020.0324914
2027,10,C2,1049969.21535688,6578621.36978223,12036196.1790338,49240.8246983684,6307904.53727612,294982.600504069,26316914.7266515
2028,10,C2,985230.524833851,6292320.42688069,11566518.1280589,46675.1265364377,6048179.38325377,282980.267195479,25221903.8567591
2029,10,C2,890786.454640052,5432698.15825293,11220383.1049884,45160.2454878201,5309382.47084054,267487.357989749,23165897.7921995
2030,1,B3,175601.269708676,244854.529191935,8677036.39290201,2492.0015192525,4126758.17668291,193087.86277461,13419830.2327794
2031,1,B3,120999.857455766,184664.146867312,6137874.36811068,2100.44676883698,2939746.66241271,136651.248726793,9522036.7303421
2032,1,B3,122386.707218504,189315.282065092,5907687.49594131,1884.36063724794,2827295.99788276,131569.185779993,9180139.02952491
2033,1,B3,109520.48928565,179247.532999149,5597958.23199567,1791.43716440619,2686851.14097742,124932.171714557,8700301.00413685
2034,1,B3,107734.466638789,175025.280350882,5418082.75565643,1717.27941713577,2588868.24994858,120863.14991397,8412291.18192579
2035,1,B3,106788.607813128,170424.936412049,5201890.40950612,1622.40973087071,2479396.12304284,116037.390070563,8076159.87657557
2036,1,B3,71944.115657342,146630.723845532,3922923.52692273,1313.90203055885,1878472.46045842,87614.9279792013,6108899.65689378
2037,1,B3,74853.6502819573,141278.5163032,3733737.98050265,1236.32122167031,1782513.67909805,83341.9890814813,5816962.13648901
2038,1,B3,72403.7793365934,134779.63896335,3576300.86385466,1194.85891034061,1701818.11413165,79814.5414601892,5566311.79665678
2039,1,B3,65357.0738212972,134366.372200626,3391978.22291705,1163.69987249254,1614733.28695224,75719.7779638554,5283318.43372756
2040,1,B3,63566.4750977303,121945.205540599,3287203.51942424,1002.28140634014,1556778.34988284,73240.151958599,5103735.98331035
2041,1,B3,48239.5265987611,108493.803977826,2393088.64515896,838.894212154935,1131874.94920625,53280.0884414487,3735815.9075954
2042,1,B3,43590.3575585008,105054.200770674,2244212.0522137,812.263995277158,1058228.8489397,49953.0089191728,3501850.73239703
2043,1,B3,41888.0518668345,107633.812231073,1981666.43544882,748.214335896982,928323.51750409,44044.8841675626,3104304.91555428
2044,1,B3,40193.7986047839,103172.597402192,1831598.51680115,694.857671856859,857698.228880917,40723.1232764564,2874081.12263736
2045,1,B3,35201.4825037209,99882.7055239137,1680036.34722771,648.23062429619,787105.896846292,37370.1864126517,2640244.84913859
2030,2,C2,204352.340981867,278959.084880182,10266131.3392378,2677.21686583547,4851103.88756109,228308.617534939,15831532.4870617
2031,2,C2,178403.410343032,240159.75913049,8670455.42886108,2368.93150273005,4112798.75800422,192926.687536897,13397112.9753785
2032,2,C2,157491.573786103,225636.511388505,7776873.7157465,2141.59525990499,3690836.62488599,173144.746051701,12026124.7671187
2033,2,C2,138898.090087541,210102.02589269,6849634.55666292,1944.53872557406,3271228.85044669,152799.110190786,10624607.1720062
2034,2,C2,126687.877005002,191785.766060457,6133947.25246036,1737.68159041582,2925174.68836735,136832.089502458,9516165.35498605
2035,2,C2,111779.677637943,179084.926311218,5526286.82646786,1600.31006436762,2631886.1521135,123249.048311526,8573886.94090641
2036,2,C2,96876.8600288177,165106.721796134,4835252.03784823,1387.32906326712,2312617.10997866,108030.620155012,7519270.67887013
2037,2,C2,87383.2421966444,154304.301889504,4300513.18792418,1353.25373912776,2050325.23643063,96027.7318292062,6689906.9540093
2038,2,C2,75104.5052438977,141093.241480862,3859882.91338356,1227.11137771086,1833290.09979408,86123.0448594817,5996720.91613959
2039,2,C2,67641.9353541363,133599.851349092,3362337.13300014,1097.51365377788,1596548.91170071,75014.9261668421,5236240.2712247
2040,2,C2,62456.9055884034,116865.68137322,3034898.25517307,938.285351000808,1433389.35492206,67583.8420997707,4716132.32450752
2041,2,C2,51365.4951246981,114472.78721232,2537579.33033357,857.288637605297,1195736.1145522,56493.0411014269,3956504.05696181
2042,2,C2,44959.9288744738,108011.458796333,2239251.63192148,794.658178485173,1051718.83224894,49800.5145668156,3494537.02458653
2043,2,C2,40447.4093709221,105123.093098577,1831189.38263472,656.044881531735,857617.005008647,40672.8163275416,2875705.75132194
2044,2,C2,35203.6140703498,97723.2234641071,1609852.77930533,593.51145252294,750853.530285828,35717.9180542912,2529944.57663243
2045,2,C2,31137.0346540221,94938.7645880424,1438157.12216536,523.023578327233,668764.726012101,31899.8139545253,2265420.48495238
2030,3,B1,162589.09598313,231681.365866745,8225651.65586343,2416.58849763836,3916374.58056779,182999.249681314,12721712.53646
2031,3,B1,115273.283525997,173943.913354033,5748006.93585369,2004.1476946168,2750213.13725808,127914.529353604,8917355.94704002
2032,3,B1,108222.080174675,178601.522602023,5471964.28638811,1814.8059950726,2620793.20388953,121840.783600326,8503236.68264974
2033,3,B1,103518.29885683,170028.171978005,5138172.21106159,1727.58810955972,2469231.72543931,114689.026090362,7997367.02153566
2034,3,B1,102348.32203445,161613.58218261,4910757.20365901,1559.59403404102,2351017.32966322,109541.723141247,7636837.75471459
2035,3,B1,92766.1317092474,157509.689955837,4674246.67223787,1466.72915859876,2230360.1782989,104249.445801269,7260598.84716173
2036,3,B1,82944.8662445044,156689.00188504,4381561.63312992,1345.82853502174,2088554.18270034,97791.7618254575,6808887.27432029
2037,3,B1,82691.7316909741,147282.599370272,4072074.68155176,1299.76510614109,1941207.35281071,90915.7170040638,6335471.84753392
2038,3,B1,78441.7876579964,140443.089958745,3878964.29131699,1232.79243786799,1839950.89925764,86515.0454915597,6025547.9061208
2039,3,B1,70119.6451903618,138409.917279889,3614035.14939398,1179.07164504325,1712283.24354147,80633.4895445138,5616660.51659526
2040,3,B1,73339.4326910158,127160.101229353,3455267.14506062,1007.60431106251,1634884.79768355,77004.6056039232,5368663.68657953
2041,3,B1,47400.8261887255,106789.804808254,2309535.61879472,803.289110391989,1085830.19887142,51364.6760924344,3601724.41386595
2042,3,B1,44094.6855731644,102685.092571982,2139746.3491442,766.802852500534,1004644.78581683,47594.3523590551,3339532.06831773
2043,3,B1,42592.252035793,104536.920979294,1896067.19741478,652.872329541081,884724.222820212,42045.2879508242,2970618.75353045
2044,3,B1,37826.1713136899,102048.778880448,1668056.53634685,566.994588692202,780201.840036874,37017.9522168632,2625718.27338341
2045,3,B1,33834.984514321,94748.0540022714,1536636.07555245,583.443653270381,715480.126071263,34102.8862100755,2415385.57000365
2030,4,B3,171908.499897866,245294.284754,8689046.56601029,2501.18233820856,4133740.65485333,193373.597173429,13435864.7850271
2031,4,B3,128340.456581415,187391.090566208,6166330.93373563,2042.60682599499,2949840.75754819,137178.61586401,9571124.46112144
2032,4,B3,121116.828101434,185865.373399792,5924608.21197662,1899.10563069195,2833906.44611233,131933.788311017,9199329.75353188
2033,4,B3,113057.411136769,179999.551172796,5608844.63223535,1807.600789986,2689658.94190841,125137.61215384,8718505.74939715
2034,4,B3,110982.950941458,176432.523856599,5416491.9539797,1683.05130124423,2594975.13497518,120892.378903884,8421457.99395807
2035,4,B3,104786.869233106,172688.395967918,5246579.34421538,1601.48240861625,2501899.3124171,116996.227587536,8144551.63182965
2036,4,B3,76889.7113808255,145938.371730131,3924489.87374222,1273.10074924439,1880504.54913302,87650.582702473,6116746.18943791
2037,4,B3,74292.9191740208,143070.666426137,3745678.1882268,1315.25982618641,1791026.60847029,83670.5104185351,5839054.15254198
2038,4,B3,68584.0878312745,134408.656147655,3617949.28196489,1199.37734728024,1723892.48219804,80743.3728376672,5626777.25832681
2039,4,B3,66306.4035323494,133485.638895729,3358926.78251302,1151.09790507208,1597804.30582038,74959.1517913452,5232633.38045789
2040,4,B3,65149.912333088,121763.070105142,3267505.53114243,1058.89739450109,1547578.97772386,72846.0916436382,5075902.48034265
2041,4,B3,46498.5901429437,110935.311887352,2379728.54932036,861.84807358882,1124553.44574891,52999.9905791104,3715577.73575226
2042,4,B3,45308.7468591302,108333.85791106,2248251.69419005,839.816934913409,1058708.21495836,50052.092822397,3511494.4236759
2043,4,B3,43508.7209927932,108377.376665728,1978443.91371054,723.275576442213,929756.07639225,43988.2160617123,3104797.57939946
2044,4,B3,39123.2801340907,102848.354904397,1849177.07995924,690.558848707124,862497.807125677,41047.155117071,2895384.23608918
2045,4,B3,35353.6067396005,101541.701222874,1672266.04286319,600.078800305084,783436.886936621,37149.5164479226,2630347.83301051
2030,6,B2,182570.623331818,251307.770938982,9172220.1908029,2533.01679428413,4345116.05033521,203976.721534633,14157724.3737378
2031,6,B2,160560.80791974,223342.841194127,8024834.40102981,2277.14515397262,3805148.26455781,178530.212141987,12394693.6719974
2032,6,B2,148926.923261457,218595.643027453,7394418.3479192,2063.72482402539,3512959.42523758,164642.948563309,11441607.012833
2033,6,B2,138534.5204741,202986.710982541,6747691.73027634,1876.62132326382,3213109.03957796,150463.408728167,10454662.0313624
2034,6,B2,132713.486043063,191562.464545165,6262332.96416581,1672.15914407721,2972579.26687681,139545.74335681,9700406.08413173
2035,6,B2,114506.684405219,178798.877894888,5757794.33349689,1527.86693035918,2726808.84626994,128284.416920433,8907721.02591773
2036,6,B2,98499.6433709483,173397.731171671,5201413.13449695,1398.31319435152,2462131.93697242,115956.681970513,8052797.44117686
2037,6,B2,95412.5078099843,161806.717625217,4678987.37299517,1312.05734946233,2215899.49120339,104343.592539268,7257761.7395225
2038,6,B2,86602.7257160217,149817.813058597,4318942.23607057,1187.53163014331,2038703.39656699,96246.2099944458,6691499.91303676
2039,6,B2,76523.7828803936,144061.295834888,3886235.07170599,1111.54641511919,1829670.67986049,86569.6760738336,6024172.05277072
2040,6,B2,75409.5524846392,129753.427847927,3621741.05840246,931.146492831679,1695372.35976074,80508.3594331313,5603715.90442173
2041,6,B2,62045.6987609743,121337.965392222,3032314.4546781,837.132246903114,1418663.57328525,67382.5277209298,4702581.35208438
2042,6,B2,61120.7896727993,115787.101810248,2766910.22574041,807.158065755173,1290236.23434756,61465.7942732059,4296327.30390998
2043,6,B2,50347.5351656403,113620.271348018,2355594.83167869,651.234226330145,1094770.94249008,52208.0420302533,3667192.85693901
2044,6,B2,44806.9467594647,107639.835832228,2011632.66615374,574.93461281475,934069.513071831,44587.6321746946,3143311.52860477
2045,6,B2,37869.2932559412,99420.5689620669,1815246.58186494,555.697825312057,843344.444563451,40240.3829607902,2836676.9694325
2030,7,B1,162052.534855728,235341.176389942,8237228.36630967,2424.88697316465,3922384.51038996,183298.568427216,12742730.0433457
2031,7,B1,120257.060134335,179072.787842488,5768221.27722101,1952.92984124476,2760825.52004316,128307.986557306,8958637.56163954
2032,7,B1,113094.238676301,176970.564055517,5487922.92873774,1814.20224297428,2630859.13997691,122244.913452344,8532905.98714178
2033,7,B1,103544.491812861,169139.896760697,5131481.68498912,1729.39237480475,2463203.18475124,114501.942700628,7983600.59338935
2034,7,B1,101036.837789222,166506.709223563,4920331.97830649,1566.83839341294,2354467.63856206,109752.826032474,7653662.82830722
2035,7,B1,93962.0881743152,161039.321810556,4726834.32686747,1498.63161880745,2255492.13864753,105394.702562339,7344221.20968101
2036,7,B1,86753.9750254998,155353.194210123,4371855.02462568,1329.16166670487,2090162.24944341,97650.9986714822,6803104.60364289
2037,7,B1,83210.6328725844,150867.766787092,4119399.3693542,1345.37815637345,1965510.33860507,91976.8416776622,6412310.32745299
2038,7,B1,75510.6342759279,141941.202748345,3901943.0837275,1231.25537791154,1854781.70044737,87063.8048277653,6062471.68140482
2039,7,B1,71515.7535777329,138321.272370063,3594654.576753,1134.25254565301,1705005.83680045,80176.9946784537,5590808.68672535
2040,7,B1,72113.9894246364,125743.51648266,3398095.24319356,1036.51864095911,1606336.53548549,75712.6741482331,5279038.47737554
2041,7,B1,45972.9432459793,109067.364480085,2286410.30412462,813.870083168163,1079171.57029327,50884.1181128711,3572320.17034
2042,7,B1,43730.2311814194,106207.266542097,2144132.12290118,767.748135419736,1005982.66737715,47665.1443770861,3348485.18051435
2043,7,B1,40797.3304609404,105430.167862174,1849410.90921357,649.985669303985,865567.511902838,41054.0177471939,2902909.92285602
2044,7,B1,36995.3913222665,99916.9900922993,1733582.43544723,626.703427420628,807196.151348452,38448.1131162123,2716765.78475388
2045,7,B1,32599.7375612357,96533.4840271869,1529833.90337623,534.989656457726,712119.111651232,33926.0585979431,2405547.28487029
2030,8,B1,166660.346018155,235655.979995628,8219435.80910219,2425.53072276946,3912785.69189424,182904.318507521,12719867.6762405
2031,8,B1,113153.317912612,174883.756436134,5753956.78207871,2017.80549728912,2759428.38926531,128109.744559264,8931549.79574932
2032,8,B1,111876.308111746,180109.619078407,5472710.76031453,1787.6475789299,2623204.45184423,121864.215725523,8511553.00265336
2033,8,B1,100078.391214504,168548.99860594,5137085.48444667,1696.93048133864,2464157.27174927,114592.462685781,7986159.5391835
