Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD,County
2033,94,D,8422.03265184113,28643.2993458329,1087068.1277329,0,408595.12958205,23690.540741172,1556419.1300538,
2033,17,D,8431.7713440731,28676.4205991418,1088325.14279907,0,409067.602484849,23717.9349457097,1558218.87217285,
2033,21,D,8441.77035774809,28710.4272046366,1089615.75867818,0,409552.704889116,23746.0614147738,1560066.72254446,
2033,23,D,8419.39398719472,28634.3252579298,1086727.54389103,0,408467.114699219,23683.1183771309,1555931.49621251,
2033,25,D,8417.35790791039,28627.4005604317,1086464.73834432,0,408368.334260647,23677.3910401291,1555555.22211344,
2033,26,D,8415.86213454901,28622.3134412155,1086271.67241657,0,408295.76677775,23673.1835428155,1555278.7983129,
2033,30,D,8426.47546246124,28658.4093269728,1087641.5804874,0,408810.672652954,23703.0380313574,1557240.17596114,
2033,55,D,8422.42169923359,28644.6224944578,1087118.34376008,0,408614.004226249,23691.6351020564,1556491.02728207,
2033,57,D,8384.707884202,28516.3579604576,1082250.45877425,0,406784.317525082,23585.5489933407,1549521.39113733,
2033,70,D,8423.8113384548,28649.3486518881,1087297.71049598,0,408681.42260862,23695.5440520625,1556747.837147,
2033,73,D,8408.01985325059,28595.6418739026,1085259.43529987,0,407915.298299912,23651.1237987746,1553829.51912571,
2033,87,D,8406.93304844414,28591.945655105,1085119.15670977,0,407862.571936921,23648.0666990685,1553628.67404931,
2034,94,D,-46700.2477087877,64134.5133074535,1877892.36789661,0,914595.617002689,43788.0880108755,2853710.33850884,
2034,17,D,-46989.6329692438,64531.9326734799,1889529.01649387,0,920263.049271759,44059.427626308,2871393.79309618,
2034,21,D,-46870.6804740804,64368.5725039239,1884745.74458914,0,917933.437844718,43947.8928361756,2864124.96729987,
2034,23,D,-46818.2307524273,64296.5421071623,1882636.65659019,0,916906.242318133,43898.7138030747,2860919.92406613,
2034,25,D,-46834.6418288818,64319.0798120547,1883296.57247361,0,917227.643152861,43914.1015086095,2861922.75511826,
2034,26,D,-46852.995108671,64344.2847890007,1884034.58748923,0,917587.080844872,43931.3103044966,2863044.26831893,
2034,30,D,-46938.9232099134,64462.2918065862,1887489.89518946,0,919269.929836675,44011.8800540035,2868295.07367681,
2034,55,D,-46811.1634033252,64286.8363557525,1882352.46707105,0,916767.832634464,43892.0871636098,2860488.05982155,
2034,57,D,-46855.8413572571,64348.1936069787,1884149.03974075,0,917642.822872151,43933.9790651499,2863218.19392777,
2034,70,D,-46628.9810730132,64036.6412141627,1875026.62139691,0,913199.903790967,43721.2654591197,2849355.45078815,
2034,73,D,-46853.6592293724,64345.1968410786,1884061.29285499,0,917600.08724018,43931.9330115945,2863084.85071847,
2034,87,D,-46952.6536815112,64481.1481758049,1888042.01962319,0,919538.832674643,44024.7543133116,2869134.10110543,
2035,94,D,50895.0733098701,100919.72936297,2642584.3600924,0,1438955.02457698,58629.0630297004,4291983.25037192,
2035,17,D,50798.7992259482,100728.827692883,2637585.59750284,0,1436233.07001858,58518.1591844497,4283864.4536247,
2035,21,D,50729.6550717471,100591.721901002,2633995.48064867,0,1434278.1592259,58438.507919383,4278033.5247667,
2035,23,D,50967.0217010905,101062.395670294,2646320.0791121,0,1440989.21948671,58711.9446622323,4298050.66063242,
2035,25,D,51162.2820037451,101449.576896642,2656458.42430713,0,1446509.80871731,58936.8766221851,4314516.96854701,
