County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Essex,MA,1200,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1201,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1202,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1203,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1204,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1205,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1206,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1207,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1208,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,1209,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,121,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,122,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,123,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,124,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,125,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,126,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,127,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,128,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,129,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,13,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,130,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,131,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,132,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,133,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,134,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,315,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,316,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,317,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,318,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,319,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,32,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,320,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,321,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,322,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,323,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,324,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,325,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,326,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,327,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,328,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,329,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,33,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,330,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,331,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,332,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,333,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,334,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,335,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,336,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,337,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,338,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,339,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,34,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,340,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,341,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,342,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,343,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,344,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,345,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,346,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,347,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,348,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,349,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,35,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,350,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,351,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,352,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,353,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,354,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,355,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,356,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
Essex,MA,357,D,7833.24604805363,26640.8384625431,1011070.89791053,0,380030.132435175,22034.3285651441,1447609.44342144,0.166066665911798
