Simulation,Pathway,NPV
1,A,522914630.325936
1,B1,209943486.070952
1,B2,233884864.889611
1,B3,211542715.451341
1,C1,231475852.66727
1,C2,229823385.790406
1,C3,203480365.572741
1,D,459953290.981087
101,A,524993433.51019
101,B1,211021232.974043
101,B2,235185990.533633
101,B3,212570771.683784
101,C1,231860463.237268
101,C2,230814616.309228
101,C3,204465825.22489
101,D,461609112.412561
102,A,523837276.690949
102,B1,207595295.881263
102,B2,232053450.219211
102,B3,209167112.216621
102,C1,229758812.887548
102,C2,227656027.192893
102,C3,201169550.683319
102,D,457015932.537997
103,A,524772934.011415
103,B1,211705776.643866
103,B2,235484552.015477
103,B3,213415707.22654
103,C1,232777487.108565
11,A,528072306.01273
11,B1,213552354.330011
11,B2,237797025.039632
11,B3,215003802.448987
11,C1,233814202.223398
11,C2,233173332.138166
11,C3,206802954.089537
11,D,464681899.681247
111,A,522410088.912564
111,B1,210838989.343287
111,B2,234644505.766839
111,B3,212365976.055557
111,C1,231357561.684627
111,C2,230302985.36006
111,C3,204206513.774299
111,D,459944689.800261
112,A,521913094.140997
112,B1,207446381.489505
112,B2,231596322.776104
112,B3,208962719.69566
112,C1,229358000.980369
112,C2,227417197.805038
112,C3,200904199.385957
112,D,456277412.685134
113,A,524970194.64745
113,B1,215874645.814915
113,B2,239203559.205153
113,B3,217381170.84116
113,C1,234800324.679778
113,C2,234968440.175881
113,C3,209143008.104209
