Simulation,Pathway,NPV
125,D,172413350.591747
135,D,172413350.591747
151,D,172413350.591747
152,D,172413350.591747
153,D,172413350.591747
154,D,172413350.591747
155,D,172413350.591747
2,D,172413350.591747
251,D,172413350.591747
261,D,172413350.591747
271,D,172413350.591747
272,D,172413350.591747
273,D,172413350.591747
274,D,172413350.591747
275,D,172413350.591747
281,D,172413350.591747
282,D,172413350.591747
283,D,172413350.591747
284,D,172413350.591747
285,D,172413350.591747
291,D,172413350.591747
292,D,172413350.591747
293,D,172413350.591747
294,D,172413350.591747
295,D,172413350.591747
3,D,172413350.591747
301,D,172413350.591747
302,D,172413350.591747
311,D,172413350.591747
312,D,172413350.591747
321,D,172413350.591747
322,D,172413350.591747
323,D,172413350.591747
324,D,172413350.591747
331,D,172413350.591747
341,D,172413350.591747
342,D,172413350.591747
351,D,172413350.591747
352,D,172413350.591747
353,D,172413350.591747
354,D,172413350.591747
361,D,172413350.591747
362,D,172413350.591747
363,D,172413350.591747
364,D,172413350.591747
371,D,172413350.591747
372,D,172413350.591747
373,D,172413350.591747
374,D,172413350.591747
381,D,172413350.591747
382,D,172413350.591747
383,D,172413350.591747
391,D,172413350.591747
392,D,172413350.591747
393,D,172413350.591747
4,D,172413350.591747
401,D,172413350.591747
402,D,172413350.591747
411,D,172413350.591747
412,D,172413350.591747
413,D,172413350.591747
421,D,172413350.591747
422,D,172413350.591747
423,D,172413350.591747
431,D,172413350.591747
432,D,172413350.591747
441,D,172413350.591747
442,D,172413350.591747
443,D,172413350.591747
451,D,172413350.591747
452,D,172413350.591747
453,D,172413350.591747
461,D,172413350.591747
462,D,172413350.591747
463,D,172413350.591747
471,D,172413350.591747
472,D,172413350.591747
481,D,172413350.591747
482,D,172413350.591747
491,D,172413350.591747
492,D,172413350.591747
