"Pathway","NPV_CAPEX","NPV_FOM","Cost_Type"
"A",0,57235037.3205207,"Lower"
"B1",2159543353.70012,80430056.9111419,"Lower"
"B2",526021514.115272,62520524.0052426,"Lower"
"B3",2611311421.55057,84063940.1524958,"Lower"
"C1",0,57235037.3205207,"Lower"
"C2",526021514.115272,62520524.0052426,"Lower"
"C3",2159543353.70012,80430056.9111419,"Lower"
"D",2159543353.70012,80430056.9111419,"Lower"
"A",0,81764339.0293153,"Upper"
"B1",3085061933.85731,114900081.301631,"Upper"
"B2",751459305.878961,89315034.2932037,"Upper"
"B3",3730444887.92939,120091343.074994,"Upper"
"C1",0,81764339.0293153,"Upper"
"C2",751459305.878961,89315034.2932037,"Upper"
"C3",3085061933.85731,114900081.301631,"Upper"
"D",3085061933.85731,114900081.301631,"Upper"
