"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B1","Advanced",6884509219.86594,"FOM","Gas_CC"
"B2","Advanced",6884509219.86594,"FOM","Gas_CC"
"B3","Advanced",6884509219.86594,"FOM","Gas_CC"
"C1","Advanced",6884509219.86594,"FOM","Gas_CC"
"C2","Advanced",6884509219.86594,"FOM","Gas_CC"
"C3","Advanced",6884509219.86594,"FOM","Gas_CC"
"A","Advanced",8187637250.6646,"FOM","Gas_CC"
"D","Advanced",9886841872.77975,"FOM","Gas_CC"
"D","Advanced",10160858047.6261,"CAPEX","Gas_CC"
"B1","Moderate",6956858092.4801,"FOM","Gas_CC"
"B2","Moderate",6956858092.4801,"FOM","Gas_CC"
"B3","Moderate",6956858092.4801,"FOM","Gas_CC"
"C1","Moderate",6956858092.4801,"FOM","Gas_CC"
"C2","Moderate",6956858092.4801,"FOM","Gas_CC"
"C3","Moderate",6956858092.4801,"FOM","Gas_CC"
"A","Moderate",8276057008.33064,"FOM","Gas_CC"
"D","Moderate",10014104559.0921,"FOM","Gas_CC"
"D","Moderate",10272130142.6354,"CAPEX","Gas_CC"
"B1","Conservative",7044596969.66258,"FOM","Gas_CC"
"B2","Conservative",7044596969.66258,"FOM","Gas_CC"
"B3","Conservative",7044596969.66258,"FOM","Gas_CC"
"C1","Conservative",7044596969.66258,"FOM","Gas_CC"
"C2","Conservative",7044596969.66258,"FOM","Gas_CC"
"C3","Conservative",7044596969.66258,"FOM","Gas_CC"
"A","Conservative",8382916433.95032,"FOM","Gas_CC"
"D","Conservative",10163904771.0807,"FOM","Gas_CC"
"D","Conservative",10384166842.2749,"CAPEX","Gas_CC"
"B1","Advanced",416796196.438646,"FOM","Coal"
"B2","Advanced",416796196.438646,"FOM","Coal"
"B3","Advanced",416796196.438646,"FOM","Coal"
"C1","Advanced",416796196.438646,"FOM","Coal"
"C2","Advanced",416796196.438646,"FOM","Coal"
"C3","Advanced",416796196.438646,"FOM","Coal"
"A","Advanced",1038144791.98729,"FOM","Coal"
"D","Advanced",1038144791.98729,"FOM","Coal"
"B1","Moderate",420690850.599532,"FOM","Coal"
"B2","Moderate",420690850.599532,"FOM","Coal"
"B3","Moderate",420690850.599532,"FOM","Coal"
"C1","Moderate",420690850.599532,"FOM","Coal"
"C2","Moderate",420690850.599532,"FOM","Coal"
"C3","Moderate",420690850.599532,"FOM","Coal"
"A","Moderate",1061050753.41421,"FOM","Coal"
"D","Moderate",1061050753.41421,"FOM","Coal"
"B1","Conservative",424504429.747503,"FOM","Coal"
"B2","Conservative",424504429.747503,"FOM","Coal"
"B3","Conservative",424504429.747503,"FOM","Coal"
"C1","Conservative",424504429.747503,"FOM","Coal"
"C2","Conservative",424504429.747503,"FOM","Coal"
"C3","Conservative",424504429.747503,"FOM","Coal"
"A","Conservative",1083933501.61266,"FOM","Coal"
"D","Conservative",1083933501.61266,"FOM","Coal"
"B1","Advanced",212446376.552963,"FOM","Wood"
"B2","Advanced",212446376.552963,"FOM","Wood"
"B3","Advanced",212446376.552963,"FOM","Wood"
"C1","Advanced",212446376.552963,"FOM","Wood"
"C2","Advanced",212446376.552963,"FOM","Wood"
"C3","Advanced",212446376.552963,"FOM","Wood"
"A","Advanced",395805277.283742,"FOM","Wood"
"D","Advanced",395805277.283742,"FOM","Wood"
"B1","Moderate",212446376.552963,"FOM","Wood"
"B2","Moderate",212446376.552963,"FOM","Wood"
"B3","Moderate",212446376.552963,"FOM","Wood"
"C1","Moderate",212446376.552963,"FOM","Wood"
"C2","Moderate",212446376.552963,"FOM","Wood"
"C3","Moderate",212446376.552963,"FOM","Wood"
"A","Moderate",395805277.283742,"FOM","Wood"
"D","Moderate",395805277.283742,"FOM","Wood"
"B1","Conservative",212446376.552963,"FOM","Wood"
"B2","Conservative",212446376.552963,"FOM","Wood"
"B3","Conservative",212446376.552963,"FOM","Wood"
"C1","Conservative",212446376.552963,"FOM","Wood"
"C2","Conservative",212446376.552963,"FOM","Wood"
"C3","Conservative",212446376.552963,"FOM","Wood"
"A","Conservative",395805277.283742,"FOM","Wood"
"D","Conservative",395805277.283742,"FOM","Wood"
"B1","Advanced",347877100.979565,"FOM","Gas_CT"
"B2","Advanced",347877100.979565,"FOM","Gas_CT"
"B3","Advanced",347877100.979565,"FOM","Gas_CT"
"C1","Advanced",347877100.979565,"FOM","Gas_CT"
"C2","Advanced",347877100.979565,"FOM","Gas_CT"
"C3","Advanced",347877100.979565,"FOM","Gas_CT"
"A","Advanced",612105671.528314,"FOM","Gas_CT"
"D","Advanced",612105671.528314,"FOM","Gas_CT"
"B1","Moderate",347877100.979565,"FOM","Gas_CT"
"B2","Moderate",347877100.979565,"FOM","Gas_CT"
"B3","Moderate",347877100.979565,"FOM","Gas_CT"
"C1","Moderate",347877100.979565,"FOM","Gas_CT"
"C2","Moderate",347877100.979565,"FOM","Gas_CT"
"C3","Moderate",347877100.979565,"FOM","Gas_CT"
"A","Moderate",612105671.528314,"FOM","Gas_CT"
"D","Moderate",612105671.528314,"FOM","Gas_CT"
"B1","Conservative",347877100.979565,"FOM","Gas_CT"
"B2","Conservative",347877100.979565,"FOM","Gas_CT"
"B3","Conservative",347877100.979565,"FOM","Gas_CT"
"C1","Conservative",347877100.979565,"FOM","Gas_CT"
"C2","Conservative",347877100.979565,"FOM","Gas_CT"
"C3","Conservative",347877100.979565,"FOM","Gas_CT"
"A","Conservative",612105671.528314,"FOM","Gas_CT"
"D","Conservative",612105671.528314,"FOM","Gas_CT"
"B1","Advanced",494202871.254889,"FOM","Oil"
"B2","Advanced",494202871.254889,"FOM","Oil"
"B3","Advanced",494202871.254889,"FOM","Oil"
"C1","Advanced",494202871.254889,"FOM","Oil"
"C2","Advanced",494202871.254889,"FOM","Oil"
"C3","Advanced",494202871.254889,"FOM","Oil"
"A","Advanced",1704128973.48726,"FOM","Oil"
"D","Advanced",1704128973.48726,"FOM","Oil"
"B1","Moderate",494202871.254889,"FOM","Oil"
"B2","Moderate",494202871.254889,"FOM","Oil"
"B3","Moderate",494202871.254889,"FOM","Oil"
"C1","Moderate",494202871.254889,"FOM","Oil"
"C2","Moderate",494202871.254889,"FOM","Oil"
"C3","Moderate",494202871.254889,"FOM","Oil"
"A","Moderate",1704128973.48726,"FOM","Oil"
"D","Moderate",1704128973.48726,"FOM","Oil"
"B1","Conservative",494202871.254889,"FOM","Oil"
"B2","Conservative",494202871.254889,"FOM","Oil"
"B3","Conservative",494202871.254889,"FOM","Oil"
"C1","Conservative",494202871.254889,"FOM","Oil"
"C2","Conservative",494202871.254889,"FOM","Oil"
"C3","Conservative",494202871.254889,"FOM","Oil"
"A","Conservative",1704128973.48726,"FOM","Oil"
"D","Conservative",1704128973.48726,"FOM","Oil"
