"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"A","CAPEX","Solar","Advanced",0
"A","CAPEX","Solar","Moderate",0
"A","CAPEX","Solar","Conservative",0
"A","FOM","Solar","Advanced",1637147905.79901
"A","FOM","Solar","Moderate",1792332037.73116
"A","FOM","Solar","Conservative",2001188188.25368
"A","CAPEX","Onshore Wind","Advanced",0
"A","CAPEX","Onshore Wind","Moderate",0
"A","CAPEX","Onshore Wind","Conservative",0
"A","FOM","Onshore Wind","Advanced",943767175.109644
"A","FOM","Onshore Wind","Moderate",1097293035.13981
"A","FOM","Onshore Wind","Conservative",1166231796.47493
"A","CAPEX","Offshore Wind","Advanced",0
"A","CAPEX","Offshore Wind","Moderate",0
"A","CAPEX","Offshore Wind","Conservative",0
"A","FOM","Offshore Wind","Advanced",813021668.138971
"A","FOM","Offshore Wind","Moderate",879125900.587998
"A","FOM","Offshore Wind","Conservative",983735500.178039
"A","CAPEX","Storage","Advanced",0
"A","CAPEX","Storage","Moderate",0
"A","CAPEX","Storage","Conservative",0
"A","FOM","Storage","Advanced",2158392380.28031
"A","FOM","Storage","Moderate",2743203769.97906
"A","FOM","Storage","Conservative",3711059855.69326
"A","CAPEX","Nuclear","Advanced",0
"A","CAPEX","Nuclear","Moderate",0
"A","CAPEX","Nuclear","Conservative",0
"A","FOM","Nuclear","Advanced",3260967839.42754
"A","FOM","Nuclear","Moderate",4529121999.20492
"A","FOM","Nuclear","Conservative",5279662216.21602
"A","CAPEX","SMR","Advanced",0
"A","CAPEX","SMR","Moderate",0
"A","CAPEX","SMR","Conservative",0
"A","FOM","SMR","Advanced",0
"A","FOM","SMR","Moderate",0
"A","FOM","SMR","Conservative",0
"A","CAPEX","Hydropower","Advanced",0
"A","CAPEX","Hydropower","Moderate",0
"A","CAPEX","Hydropower","Conservative",0
"A","FOM","Hydropower","Advanced",975607085.34568
"A","FOM","Hydropower","Moderate",1649696124.64149
"A","FOM","Hydropower","Conservative",1649696124.64149
"A","CAPEX","Biomass","Advanced",0
"A","CAPEX","Biomass","Moderate",0
"A","CAPEX","Biomass","Conservative",0
"A","FOM","Biomass","Advanced",774191251.410742
"A","FOM","Biomass","Moderate",774191251.410742
"A","FOM","Biomass","Conservative",774191251.410742
"B1","CAPEX","Solar","Advanced",24134425320.937
"B1","CAPEX","Solar","Moderate",28154174606.8306
"B1","CAPEX","Solar","Conservative",33949926118.7054
"B1","FOM","Solar","Advanced",5057628893.389
"B1","FOM","Solar","Moderate",5671913868.01498
"B1","FOM","Solar","Conservative",6522975642.21934
"B1","CAPEX","Onshore Wind","Advanced",6416594217.49994
"B1","CAPEX","Onshore Wind","Moderate",6770512898.22541
"B1","CAPEX","Onshore Wind","Conservative",7635949489.49141
"B1","FOM","Onshore Wind","Advanced",1966731058.65027
"B1","FOM","Onshore Wind","Moderate",2389104117.02807
"B1","FOM","Onshore Wind","Conservative",2568193298.86186
