County,State,Pathway,total_mean_emission,total_min_emission,total_max_emission
Suffolk,MA,A,1.78947380413673,1.78585640103885,1.79431968634083
Suffolk,MA,B1,0.5184037786555,0.518067376149867,0.518989541909643
Suffolk,MA,B2,0.519447899016041,0.518863730020461,0.520235316530871
Suffolk,MA,B3,0.518535549948783,0.518124997471749,0.519107870393457
Suffolk,MA,C1,0.525109819664655,0.523884075729844,0.526751336035273
Suffolk,MA,C2,0.519906817797046,0.519176875379158,0.520787415330256
Suffolk,MA,C3,0.51850966821042,0.518124997471749,0.519107870393457
Suffolk,MA,D,1.73479017152079,1.73328094569402,1.73634537119055
Norfolk,MA,A,41.3142960128418,40.7214133453601,41.931386405371
Norfolk,MA,B1,12.4024783539708,11.718853148662,13.3224814937479
Norfolk,MA,B2,16.7231574512231,15.9843301412236,17.7196543928962
Norfolk,MA,B3,12.4024114689971,11.7258528555749,13.3143073251459
Norfolk,MA,C1,14.7090159240991,14.0711841838501,15.4526654330627
Norfolk,MA,C2,15.1353455416091,14.42283190316,16.1330156401137
Norfolk,MA,C3,11.0843428549475,10.4588834773793,11.980522527916
Norfolk,MA,D,84.7168600480939,83.8119031113826,85.2732772200217
Middlesex,MA,A,34.7896523889215,34.5721336705921,34.9598800409961
Middlesex,MA,B1,10.0430844171586,9.96093622184462,10.1085040106384
Middlesex,MA,B2,10.1407211139489,10.0686661140558,10.2013173540455
Middlesex,MA,B3,10.0797087009875,9.9976895280651,10.1418034419487
Middlesex,MA,C1,10.4095187485367,10.3456209402874,10.4628050638796
Middlesex,MA,C2,10.2073461187407,10.1325673027459,10.2555075290323
Middlesex,MA,C3,10.0881883630338,9.9976895280651,10.1418034419487
Middlesex,MA,D,34.1718905579305,33.9418449416469,34.3475800470308
Essex,MA,A,12.055788199405,12.0380643838556,12.0994719441723
Essex,MA,B1,6.57555026725773,6.45857211425016,6.71365245194674
Essex,MA,B2,7.39631325962928,7.29545680719831,7.50611853514195
Essex,MA,B3,6.56385825721464,6.44171134026324,6.69018719174093
Essex,MA,C1,6.01882994157947,5.95794818493972,6.08688208951053
Essex,MA,C2,7.01414225483626,6.91853628211137,7.13148812139185
Essex,MA,C3,6.12513447373817,6.01132302255706,6.27059718921775
Essex,MA,D,12.548458179868,12.4969432495867,12.6091378261348
Bristol,MA,A,14.3736850933425,14.3394638928995,14.421372211625
Bristol,MA,B1,7.89886836351478,7.8067846303408,8.03243923221564
Bristol,MA,B2,8.75945985775269,8.68294177416544,8.86355354732558
Bristol,MA,B3,7.87544769849028,7.77590775914621,8.00810781600572
Bristol,MA,C1,7.01361050773595,6.9666369878769,7.0753973378981
Bristol,MA,C2,8.30308246955588,8.23956624869048,8.42736750451253
Bristol,MA,C3,7.37426916263088,7.27384361123344,7.5414869877297
Bristol,MA,D,27.3129804767188,27.2738641667855,27.3601994126664
Rockingham,NH,A,175.604733932996,174.659471751857,177.403556340599
Rockingham,NH,B1,36.2100866166689,35.5316474020877,36.8829180482754
Rockingham,NH,B2,38.563025813116,37.9359888242103,39.0469541711363
Rockingham,NH,B3,36.5173526411938,35.8659045420223,37.1376334656653
Rockingham,NH,C1,41.6472846640165,41.1395499507146,42.0592732015253
Rockingham,NH,C2,38.7298140234433,38.1599434464344,39.1578725967652
Rockingham,NH,C3,36.1281707003883,35.5087974030548,36.7426647973284
Rockingham,NH,D,170.325129124745,168.800171045701,172.232887001793
Providence,RI,A,53.0862107072968,52.7973621669208,53.4553559952652
Providence,RI,B1,20.1529934109436,19.5220077341273,21.3291978585958
Providence,RI,B2,25.2884113940605,24.6781255580965,26.3783554702598
Providence,RI,B3,20.2113564579851,19.5922982504283,21.3702798817916
Providence,RI,C1,21.8133394455678,21.3633041618305,22.5310365118146
Providence,RI,C2,23.4107401350577,22.8498887255727,24.5003897760781
Providence,RI,C3,18.3230409220171,17.7620881972647,19.4573189790538
Providence,RI,D,96.3196026493126,95.8167669825524,96.985875120642
Berkshire,MA,A,1.14074224678882,1.09952444686332,1.19424123599149
Berkshire,MA,B1,0.144665844930596,0.12989971530753,0.165911625058958
Berkshire,MA,B2,0.231727176830837,0.211257910802583,0.26281162166211
Berkshire,MA,B3,0.147273470169139,0.131971088440947,0.169930283347319
Berkshire,MA,C1,0.243735643354684,0.219274114735724,0.277046170275235
Berkshire,MA,C2,0.205916740675906,0.185186014345714,0.237727758266735
Berkshire,MA,C3,0.123528996724558,0.110307194559857,0.144395698179307
Berkshire,MA,D,8.29924527563695,8.27007213631651,8.31770328433809
Litchfield,CT,A,0.10464570049355,0.104084120550931,0.10553118870331
Litchfield,CT,B1,0.0226847288623045,0.0220985156903151,0.0233481059524104
Litchfield,CT,B2,0.0239819004754135,0.0233955757037238,0.0246451070667143
Litchfield,CT,B3,0.0229543967655539,0.0223160485296473,0.0237012526318166
Litchfield,CT,C1,0.0299780309094172,0.0296279182315276,0.0303753175906523
Litchfield,CT,C2,0.0244526927721791,0.0238404148450005,0.0251848853764507
Litchfield,CT,C3,0.0229148738302505,0.0223160485296473,0.0237012526318166
Litchfield,CT,D,0.0851606469954488,0.0838175091796863,0.0869443315804329
New London,CT,A,18.3417403389992,18.2395985821014,18.5227615372751
New London,CT,B1,0.995674352201079,0.980484624972364,1.0124795274196
New London,CT,B2,1.05205076211259,1.02291351967465,1.07840672121511
New London,CT,B3,1.01354097865687,0.994283251791594,1.0304922439739
New London,CT,C1,1.22058080240045,1.18079301760457,1.27022976815631
New London,CT,C2,1.08589381526491,1.0511115887112,1.1092854082521
New London,CT,C3,1.01271663242823,0.994283251791594,1.0304922439739
New London,CT,D,13.4449274908508,13.2864898940743,13.5448622494909
Worcester,MA,A,34.9758660265528,34.3971424888468,35.6599303508414
Worcester,MA,B1,9.87033816992473,9.26125817259184,10.8316492511149
Worcester,MA,B2,13.4613805765315,12.8413688147222,14.4721102403089
Worcester,MA,B3,9.91519526561268,9.27976106920253,10.8701572899738
Worcester,MA,C1,12.3234717258763,11.7519726579336,13.0847426325797
Worcester,MA,C2,12.2863400413825,11.6700777276854,13.2359752032372
Worcester,MA,C3,8.84436947527241,8.258235468135,9.72507574380508
Worcester,MA,D,23.5931422074888,22.7970991306039,24.2423046821255
Hampden,MA,A,8.97568927825561,8.8712426501483,9.05890456967486
Hampden,MA,B1,4.61769942277298,4.46818396976233,4.74088596198347
Hampden,MA,B2,5.19781483907482,5.06196247695692,5.30827262782139
