"Pathway","NPV","Technology"
"A",562147347.903801,"Coal"
"A",21925587440.548,"Gas"
"A",3593032966.16739,"Gas"
"A",633024136.094035,"Wood"
"B1",211142119.283065,"Coal"
"B1",10487647490.9323,"Gas"
"B1",1154656737.73569,"Gas"
"B1",403980643.848187,"Wood"
"B2",214574667.291938,"Coal"
"B2",12406158131.172,"Gas"
"B2",1234857445.19023,"Gas"
"B2",419420715.362127,"Wood"
"B3",212069584.800822,"Coal"
"B3",10564105238.3142,"Gas"
"B3",1168286813.77941,"Gas"
"B3",402304918.502159,"Wood"
"C1",222723523.432324,"Coal"
"C1",11515057406.3768,"Gas"
"C1",1400124977.01879,"Gas"
"C1",349587056.169479,"Wood"
"C2",216131550.144036,"Coal"
"C2",11891482673.0782,"Gas"
"C2",1246741354.61663,"Gas"
"C2",409368564.539822,"Wood"
"C3",212083669.339127,"Coal"
"C3",9841851977.21527,"Gas"
"C3",1148682248.28988,"Gas"
"C3",392178486.143802,"Wood"
"D",546680970.498958,"Coal"
"D",28682202400.6872,"Gas"
"D",3097156067.38729,"Gas"
"D",626363613.106176,"Wood"
