"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"125","D","Advanced",2766793143.74715,"Biopower"
"125","D","Moderate",2766793143.74715,"Biopower"
"125","D","Conservative",2766793143.74715,"Biopower"
"135","D","Advanced",2766793143.74715,"Biopower"
"135","D","Moderate",2766793143.74715,"Biopower"
"135","D","Conservative",2766793143.74715,"Biopower"
"14","B3","Advanced",2766793143.74715,"Biopower"
"14","B3","Moderate",2766793143.74715,"Biopower"
"14","B3","Conservative",2766793143.74715,"Biopower"
"145","B3","Advanced",2766793143.74715,"Biopower"
"145","B3","Moderate",2766793143.74715,"Biopower"
"145","B3","Conservative",2766793143.74715,"Biopower"
"145","B1","Advanced",2766793143.74715,"Biopower"
"145","B1","Moderate",2766793143.74715,"Biopower"
"145","B1","Conservative",2766793143.74715,"Biopower"
"145","B2","Advanced",2766793143.74715,"Biopower"
"145","B2","Moderate",2766793143.74715,"Biopower"
"145","B2","Conservative",2766793143.74715,"Biopower"
"145","C1","Advanced",19669594126.0901,"Nuclear"
"145","C1","Moderate",21654599037.8974,"Nuclear"
"145","C1","Conservative",23820058941.6871,"Nuclear"
"145","C1","Advanced",2766793143.74715,"Biopower"
"145","C1","Moderate",2766793143.74715,"Biopower"
"145","C1","Conservative",2766793143.74715,"Biopower"
"145","C2","Advanced",2567483391.83766,"Nuclear"
"145","C2","Moderate",2826587220.37174,"Nuclear"
"145","C2","Conservative",3109245942.40891,"Nuclear"
"145","C2","Advanced",2766793143.74715,"Biopower"
"145","C2","Moderate",2766793143.74715,"Biopower"
"145","C2","Conservative",2766793143.74715,"Biopower"
"151","D","Advanced",2766793143.74715,"Biopower"
"151","D","Moderate",2766793143.74715,"Biopower"
"151","D","Conservative",2766793143.74715,"Biopower"
"151","B3","Advanced",2766793143.74715,"Biopower"
"151","B3","Moderate",2766793143.74715,"Biopower"
"151","B3","Conservative",2766793143.74715,"Biopower"
"151","B1","Advanced",2766793143.74715,"Biopower"
"151","B1","Moderate",2766793143.74715,"Biopower"
"151","B1","Conservative",2766793143.74715,"Biopower"
"151","B2","Advanced",2766793143.74715,"Biopower"
"151","B2","Moderate",2766793143.74715,"Biopower"
"151","B2","Conservative",2766793143.74715,"Biopower"
