"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"125","D","QC","Lower",13083176508.3649
"125","D","QC","Upper",38961511557.9037
"125","D","NYISO","Lower",4000074204.60087
"125","D","NYISO","Upper",12019453739.7863
"125","D","NB","Lower",442156798.686241
"125","D","NB","Upper",1316736590.03265
"135","D","QC","Lower",13096772052.738
"135","D","QC","Upper",39001998893.5969
"135","D","NYISO","Lower",3653379451.06858
"135","D","NYISO","Upper",10977702677.4897
"135","D","NB","Lower",460680800.512759
"135","D","NB","Upper",1371900801.1706
"14","B3","QC","Lower",16626669590.3938
"14","B3","QC","Upper",49513983014.8584
"14","B3","NYISO","Lower",3989286108.91879
"14","B3","NYISO","Upper",11987037586.8954
"14","B3","NB","Lower",441629783.261412
"14","B3","NB","Upper",1315167145.67389
"145","B3","QC","Lower",16650734769.2934
"145","B3","QC","Upper",49585648771.66
"145","B3","NYISO","Lower",4182107692.29997
"145","B3","NYISO","Upper",12566429363.8821
"145","B3","NB","Lower",439591547.048011
"145","B3","NB","Upper",1309097307.53211
"145","B1","QC","Lower",13054737645.9887
"145","B1","QC","Upper",38876821034.585
"145","B1","NYISO","Lower",4182107692.29997
"145","B1","NYISO","Upper",12566429363.8821
"145","B1","NB","Lower",439591547.048011
"145","B1","NB","Upper",1309097307.53211
"145","B2","QC","Lower",2894631974.63964
"145","B2","QC","Upper",8620172407.18974
"145","B2","NYISO","Lower",4182107692.29997
"145","B2","NYISO","Upper",12566429363.8821
"145","B2","NB","Lower",439591547.048011
"145","B2","NB","Upper",1309097307.53211
"145","C1","QC","Lower",2894631974.63964
"145","C1","QC","Upper",8620172407.18974
"145","C1","NYISO","Lower",2837133781.77948
"145","C1","NYISO","Upper",8525041411.59699
"145","C1","NB","Lower",439591547.048011
"145","C1","NB","Upper",1309097307.53211
"145","C2","QC","Lower",2894631974.63964
"145","C2","QC","Upper",8620172407.18974
"145","C2","NYISO","Lower",4182107692.29997
"145","C2","NYISO","Upper",12566429363.8821
"145","C2","NB","Lower",439591547.048011
"145","C2","NB","Upper",1309097307.53211
"151","D","QC","Lower",13076110797.323
"151","D","QC","Upper",38940469971.9976
"151","D","NYISO","Lower",4261183157.16161
"151","D","NYISO","Upper",12804035928.9712
"151","D","NB","Lower",448297807.316567
"151","D","NB","Upper",1335024425.4505
"151","B3","QC","Lower",16674346749.2915
"151","B3","QC","Upper",49655964908.648
"151","B3","NYISO","Lower",4261183157.16161
"151","B3","NYISO","Upper",12804035928.9712
"151","B3","NB","Lower",448297807.316567
"151","B3","NB","Upper",1335024425.4505
"151","B1","QC","Lower",13076110797.323
"151","B1","QC","Upper",38940469971.9976
"151","B1","NYISO","Lower",4261183157.16161
"151","B1","NYISO","Upper",12804035928.9712
"151","B1","NB","Lower",448297807.316567
"151","B1","NB","Upper",1335024425.4505
"151","B2","QC","Lower",2905062990.01531
"151","B2","QC","Upper",8651235821.02198
"151","B2","NYISO","Lower",4261183157.16161
"151","B2","NYISO","Upper",12804035928.9712
"151","B2","NB","Lower",448297807.316567
"151","B2","NB","Upper",1335024425.4505
"151","C1","QC","Lower",2905062990.01531
"151","C1","QC","Upper",8651235821.02198
"151","C1","NYISO","Lower",2890330554.87594
"151","C1","NYISO","Upper",8684887484.60319
"151","C1","NB","Lower",448297807.316567
"151","C1","NB","Upper",1335024425.4505
"151","C2","QC","Lower",2905062990.01531
"151","C2","QC","Upper",8651235821.02198
"151","C2","NYISO","Lower",4261183157.16161
"151","C2","NYISO","Upper",12804035928.9712
"151","C2","NB","Lower",448297807.316567
"151","C2","NB","Upper",1335024425.4505
"151","A","QC","Lower",2905062990.01531
"151","A","QC","Upper",8651235821.02198
"151","A","NYISO","Lower",2890330554.87594
"151","A","NYISO","Upper",8684887484.60319
"151","A","NB","Lower",448297807.316567
"151","A","NB","Upper",1335024425.4505
"151","C3","QC","Lower",13076110797.323
"151","C3","QC","Upper",38940469971.9976
"151","C3","NYISO","Lower",4261183157.16161
"151","C3","NYISO","Upper",12804035928.9712
"151","C3","NB","Lower",448297807.316567
"151","C3","NB","Upper",1335024425.4505
"152","D","QC","Lower",13092187384.495
"152","D","QC","Upper",38988345817.4785
"152","D","NYISO","Lower",3965453156.27233
"152","D","NYISO","Upper",11915424147.4529
"152","D","NB","Lower",449413577.414088
"152","D","NB","Upper",1338347172.76058
"152","B3","QC","Lower",16692178271.2578
"152","B3","QC","Upper",49709066924.7173
"152","B3","NYISO","Lower",3965453156.27233
"152","B3","NYISO","Upper",11915424147.4529
"152","B3","NB","Lower",449413577.414088
"152","B3","NB","Upper",1338347172.76058
"152","B1","QC","Lower",13092187384.495
"152","B1","QC","Upper",38988345817.4785
"152","B1","NYISO","Lower",3965453156.27233
"152","B1","NYISO","Upper",11915424147.4529
"152","B1","NB","Lower",449413577.414088
"152","B1","NB","Upper",1338347172.76058
"152","B2","QC","Lower",2912983039.79142
"152","B2","QC","Upper",8674821615.39647
"152","B2","NYISO","Lower",3965453156.27233
"152","B2","NYISO","Upper",11915424147.4529
"152","B2","NB","Lower",449413577.414088
"152","B2","NB","Upper",1338347172.76058
"152","C1","QC","Lower",2912983039.79142
"152","C1","QC","Upper",8674821615.39647
"152","C1","NYISO","Lower",2689698863.47718
"152","C1","NYISO","Upper",8082027834.96749
"152","C1","NB","Lower",449413577.414088
"152","C1","NB","Upper",1338347172.76058
"152","C2","QC","Lower",2912983039.79142
"152","C2","QC","Upper",8674821615.39647
"152","C2","NYISO","Lower",3965453156.27233
"152","C2","NYISO","Upper",11915424147.4529
"152","C2","NB","Lower",449413577.414088
"152","C2","NB","Upper",1338347172.76058
"152","A","QC","Lower",2912983039.79142
"152","A","QC","Upper",8674821615.39647
"152","A","NYISO","Lower",2689698863.47718
"152","A","NYISO","Upper",8082027834.96749
"152","A","NB","Lower",449413577.414088
"152","A","NB","Upper",1338347172.76058
"152","C3","QC","Lower",13092187384.495
"152","C3","QC","Upper",38988345817.4785
"152","C3","NYISO","Lower",3965453156.27233
"152","C3","NYISO","Upper",11915424147.4529
"152","C3","NB","Lower",449413577.414088
"152","C3","NB","Upper",1338347172.76058
"153","D","QC","Lower",13034101328.2645
"153","D","QC","Upper",38815366377.0705
"153","D","NYISO","Lower",4157781339.42084
"153","D","NYISO","Upper",12493333351.6251
"153","D","NB","Lower",438831986.299073
"153","D","NB","Upper",1306835346.54123
"153","B3","QC","Lower",16627973194.6373
"153","B3","QC","Upper",49517865129.5549
"153","B3","NYISO","Lower",4157781339.42084
"153","B3","NYISO","Upper",12493333351.6251
"153","B3","NB","Lower",438831986.299073
"153","B3","NB","Upper",1306835346.54123
"153","B1","QC","Lower",13034101328.2645
"153","B1","QC","Upper",38815366377.0705
"153","B1","NYISO","Lower",4157781339.42084
"153","B1","NYISO","Upper",12493333351.6251
"153","B1","NB","Lower",438831986.299073
"153","B1","NB","Upper",1306835346.54123
"153","B2","QC","Lower",2884438762.50995
"153","B2","QC","Upper",8589817168.00534
"153","B2","NYISO","Lower",4157781339.42084
"153","B2","NYISO","Upper",12493333351.6251
"153","B2","NB","Lower",438831986.299073
"153","B2","NB","Upper",1306835346.54123
"153","C1","QC","Lower",2884438762.50995
"153","C1","QC","Upper",8589817168.00534
"153","C1","NYISO","Lower",2820689022.58834
"153","C1","NYISO","Upper",8475628072.6813
"153","C1","NB","Lower",438831986.299073
"153","C1","NB","Upper",1306835346.54123
"153","C2","QC","Lower",2884438762.50995
"153","C2","QC","Upper",8589817168.00534
"153","C2","NYISO","Lower",4157781339.42084
"153","C2","NYISO","Upper",12493333351.6251
"153","C2","NB","Lower",438831986.299073
"153","C2","NB","Upper",1306835346.54123
"153","A","QC","Lower",2884438762.50995
"153","A","QC","Upper",8589817168.00534
"153","A","NYISO","Lower",2820689022.58834
"153","A","NYISO","Upper",8475628072.6813
"153","A","NB","Lower",438831986.299073
"153","A","NB","Upper",1306835346.54123
"153","C3","QC","Lower",13034101328.2645
"153","C3","QC","Upper",38815366377.0705
"153","C3","NYISO","Lower",4157781339.42084
"153","C3","NYISO","Upper",12493333351.6251
"153","C3","NB","Lower",438831986.299073
"153","C3","NB","Upper",1306835346.54123
"154","D","QC","Lower",13011280417.0381
"154","D","QC","Upper",38747406031.5121
"154","D","NYISO","Lower",4428108794.1835
"154","D","NYISO","Upper",13305615367.1379
"154","D","NB","Lower",436378917.412444
"154","D","NB","Upper",1299530142.66222
"154","B3","QC","Lower",16602904783.9935
"154","B3","QC","Upper",49443211763.0417
"154","B3","NYISO","Lower",4428108794.1835
"154","B3","NYISO","Upper",13305615367.1379
"154","B3","NB","Lower",436378917.412444
"154","B3","NB","Upper",1299530142.66222
"154","B1","QC","Lower",13011280417.0381
"154","B1","QC","Upper",38747406031.5121
"154","B1","NYISO","Lower",4428108794.1835
"154","B1","NYISO","Upper",13305615367.1379
