"Simulation","Pathway","NPV"
"125","D",94151403.7084727
"135","D",97444050.0812142
"14","B3",219470645.784535
"145","B3",235547240.252312
"145","B1",273699547.341127
"145","B2",600096663.953676
"145","C1",320774069.828151
"145","C2",352909303.018454
"151","D",93855617.2338803
"151","B3",230140144.095693
"151","B1",268771899.827475
"151","B2",579054717.354147
"151","C1",315102741.610342
"151","C2",345541851.608661
"151","A",23079255304.2325
"151","C3",162385622.825002
"152","D",97379985.7406655
"152","B3",225190664.649393
"152","B1",263406260.860786
"152","B2",579474867.05711
"152","C1",321931892.762906
"152","C2",340156789.641768
"152","A",23514763407.3943
"152","C3",155091456.032844
"153","D",94783529.9410878
"153","B3",231827905.10844
"153","B1",268654636.85661
"153","B2",596592521.520429
"153","C1",314544648.614803
"153","C2",350556041.780076
"153","A",23272264584.3006
"153","C3",160414597.108314
"154","D",92217441.4288477
"154","B3",223143048.888107
"154","B1",263134612.644368
"154","B2",584801550.083815
"154","C1",304554093.208686
"154","C2",339331789.816771
"154","A",23168872577.6111
"154","C3",156126464.243767
"155","D",98329806.1752479
"155","B3",248927657.115366
"155","B1",294039328.450697
"155","B2",636730560.686804
"155","C1",333035572.148257
"155","C2",378270936.935991
"155","A",23903948467.6777
"155","C3",177751910.816974
"156","B1",297894070.792876
"156","A",24290973835.8969
"2","D",98642607.9947541
"2","B3",242176835.024845
"2","B1",284696784.409121
"2","B2",624528725.27504
"2","C1",321881229.468355
"2","C2",365228191.740547
"2","A",23439593171.6608
"2","C3",169485148.30233
"251","D",90820992.3528626
"251","B3",214452518.486634
"251","B1",255451712.196161
"251","B2",589306748.437202
"251","C1",303432514.066454
"251","C2",332646436.672459
"251","A",23120211325.2212
"251","C3",147375689.250134
"252","B1",265288605.695578
"252","A",23531817586.8318
"261","D",95819003.646726
"261","B3",231666657.165036
"261","B1",274469894.211095
"261","B2",603452150.011174
"261","C1",317707752.288238
"261","C2",355470805.433013
"261","A",23519462694.5359
"261","C3",158302772.41428
"262","B3",241341458.518056
"262","B1",284091469.82512
"262","B2",647250456.16772
"262","C1",315118271.507985
"262","C2",367685644.69111
"262","A",23377452531.1546
"262","C3",168431678.441963
"271","D",96163138.4736685
"271","B3",244739546.473291
"271","B1",285940739.031357
"271","B2",628356202.522601
"271","C1",317584102.135183
"271","C2",367228716.175123
"271","A",23387350717.4218
"271","C3",172059704.302434
"272","D",98652489.3224875
"272","B3",228620890.855524
"272","B1",265462396.702047
"272","B2",586361227.320078
"272","C1",323029450.311428
"272","C2",345806888.719267
"272","A",23399583925.4191
"272","C3",161519185.069638
"273","D",97335726.5675659
"273","B3",212872578.89784
"273","B1",248452339.269262
"273","B2",534521141.229937
"273","C1",312572168.128226
"273","C2",320578770.721725
"273","A",23092266116.7823
"273","C3",150449278.562969
"274","D",97050404.6173578
"274","B3",251488418.325862
"274","B1",295808765.390175
"274","B2",660438088.929107
"274","C1",322816693.106463
"274","C2",377283547.403615
"274","A",23566329822.8974
"274","C3",178849101.867664
"275","D",94424450.9457818
"275","B3",228719209.166655
"275","B1",265503655.760399
"275","B2",592628595.208373
"275","C1",298292742.424784
"275","C2",343011310.514298
"275","A",22705443785.666
"275","C3",159304036.000543
"276","A",23494042411.255
"281","D",97449339.6518345
"281","B3",239866546.610769
"281","B1",283481701.514343
"281","B2",642398208.797515
"281","C1",319365030.228406
"281","C2",371963429.650515
"281","A",23560058392.2454
"281","C3",167611990.782838
"282","D",95556555.9117189
"282","B3",235704001.588695
"282","B1",277856647.659565
"282","B2",620781193.007551
"282","C1",321240918.640723
"282","C2",359691582.795194
"282","A",23599237737.2029
"282","C3",165828516.021936
"283","D",101746095.766374
"283","B3",235892874.315232
"283","B1",271234126.832583
"283","B2",593825283.271445
"283","C1",327730283.427921
"283","C2",354568678.992173
"283","A",23738077721.4768
"283","C3",165097437.757312
"284","D",91407868.0933054
"284","B3",222577039.653124
"284","B1",261798471.924013
"284","B2",578353966.327108
"284","C1",305941802.149006
"284","C2",337744115.8288
"284","A",23034338103.0111
"284","C3",154168968.665717
"285","D",100806339.204956
"285","B3",238785661.151988
"285","B1",277703943.823741
"285","B2",629509906.21955
"285","C1",327884792.2228
"285","C2",365235875.276971
"285","A",23690242664.7915
"285","C3",165351121.897056
"286","A",24090318595.9942
"291","D",97544422.0677025
"291","B3",237742366.396954
"291","B1",278686924.788207
"291","B2",621484764.973588
"291","C1",311974506.662564
"291","C2",357393528.086712
"291","A",23216497286.3174
"291","C3",166029589.994508
"292","D",103471858.306828
"292","B3",260356644.648087
"292","B1",305749565.02423
"292","B2",665440340.781154
"292","C1",331978945.012075
"292","C2",389790224.898931
"292","A",23765200392.5364
"292","C3",186813298.837652
"293","D",94701089.5465554
"293","B3",251616640.462599
"293","B1",295237207.024118
"293","B2",647809209.032449
"293","C1",314073495.990844
"293","C2",379673398.206061
"293","A",23106253420.1035
"293","C3",178186092.751709
"294","D",96050125.0298335
"294","B3",226008010.915226
"294","B1",261630252.902835
"294","B2",576409321.978358
"294","C1",321984095.855242
"294","C2",343706859.223659
"294","A",23547261256.5833
"294","C3",153910163.596386
"295","D",111217230.050426
"295","B3",278909529.085813
"295","B1",322345378.817237
"295","B2",704812095.779979
"295","C1",360090917.878724
"295","C2",414823861.714596
"295","A",24536343579.3816
"295","C3",198310394.565869
"3","D",99317499.4802825
"3","B3",225215112.179666
"3","B1",262428778.630233
"3","B2",592787087.633972
"3","C1",331149535.20836
"3","C2",345986730.390644
"3","A",24154671078.7526
"3","C3",156931679.926342
"301","D",101322106.145407
"301","B3",247811805.433378
"301","B1",290667642.420115
"301","B2",650958042.960315
"301","C1",332772068.277395
"301","C2",379084175.849581
"301","A",23798570102.5569
"301","C3",169885470.985984
"302","D",94769758.8344914
"302","B3",239064238.794601
"302","B1",278170039.915313
"302","B2",613515384.408005
"302","C1",309434126.344938
"302","C2",357727472.482072
"302","A",23001434775.861
"302","C3",167902814.513983
"303","A",23740275839.3477
"311","D",94254106.5287855
"311","B3",232325903.908313
"311","B1",272923747.748286
"311","B2",601096886.885704
"311","C1",313467867.555799
"311","C2",347485711.398865
"311","A",23357891539.6296
"311","C3",163448266.454057
"312","D",98015244.8122945
"312","B3",225179209.642281
"312","B1",258746978.830938
"312","B2",578932759.368107
"312","C1",325873302.784203
"312","C2",340146574.550433
"312","A",23690783925.8958
"312","C3",156882687.400537
"313","A",22630902669.461
"321","D",91315690.6088714
"321","B3",236993710.493302
"321","B1",280055513.449871
"321","B2",623374608.891848
"321","C1",315570655.654048
"321","C2",359506597.982722
"321","A",23359762585.5287
"321","C3",166289060.444998
"322","D",99675430.8734371
"322","B3",249384620.642841
"322","B1",292803955.386845
"322","B2",667845375.273592
"322","C1",330721543.041655
"322","C2",381879112.881753
"322","A",23883913562.0126
"322","C3",171663688.690006
"323","D",99007345.530229
"323","B3",242480855.395275
"323","B1",283053972.237187
"323","B2",633275995.128415
"323","C1",328220152.005595
"323","C2",369118750.191953
"323","A",23829402500.6212
"323","C3",168132283.051553
"324","D",98622783.0938685
"324","B3",238570636.778425
"324","B1",280501577.638508
"324","B2",619436161.807981
"324","C1",319581264.93551
"324","C2",362221115.280452
"324","A",23366154865.329
"324","C3",165221127.86708
"325","B3",249191317.652002
"325","B1",288020049.170075
"325","B2",632990746.366639
"325","C1",345020642.949153
"325","A",24371973770.2174
"331","D",95247336.1215007
"331","B3",232048263.069952
"331","B1",273473172.807392
"331","B2",600124155.377985
"331","C1",313524936.162905
"331","C2",350027395.551443
"331","A",23162292620.8729
"331","C3",163489142.17554
"332","B3",237921270.130179
"332","B1",277124479.370552
"332","B2",606397741.844811
"332","A",23793556387.5877
"341","D",95041555.3637994
"341","B3",227744834.679965
"341","B1",265911428.611239
"341","B2",607166758.088685
"341","C1",316810227.271272
"341","C2",348680670.3996
"341","A",23290426690.4954
"341","C3",157514288.847307
"342","D",94300809.381207
"342","B3",220603771.322984
"342","B1",254780220.858425
"342","B2",571612906.905406
"342","C1",312198009.972298
"342","C2",337319032.779354
"342","A",23177299530.3218
"342","C3",152253065.443973
"343","B1",298172914.223474
"343","A",23848625309.7774
"351","D",100363923.405801
"351","B3",242998595.863298
"351","B1",284200751.430208
"351","B2",631254938.27332
"351","C1",336554998.294835
"351","C2",370090859.433392
"351","A",23966817247.1271
"351","C3",166035504.768876
"352","D",91883837.1066834
"352","B3",233315202.802749
"352","B1",270662559.486354
"352","B2",605198469.04529
"352","C1",304966631.802139
"352","C2",351671022.40987
"352","A",23171372125.9117
"352","C3",158910385.941377
"353","D",101656403.2036
"353","B3",246861663.304233
"353","B1",288077645.939973
"353","B2",641971882.555696
"353","C1",329072920.678031
"353","C2",371332006.378801
"353","A",23716911513.7692
"353","C3",173767697.134672
"354","D",98689243.2961313
"354","B3",235266590.231497
"354","B1",275064886.778815
"354","B2",633913488.781305
"354","C1",324746050.676996
"354","C2",359955866.379054
"354","A",23481538168.6406
"354","C3",168420426.001335
"355","B1",283182147.192484
"355","B2",617011461.069028
"355","A",23262733957.9802
"361","D",101612425.937815
"361","B3",250570967.537775
"361","B1",293143057.37614
"361","B2",646082407.836044
"361","C1",332338882.312826
"361","C2",378598503.887724
"361","A",23879001576.1113
"361","C3",175450255.16143
"362","D",101768313.133815
"362","B3",228334252.120957
"362","B1",262640654.527404
"362","B2",595230724.371566
"362","C1",326616469.830138
"362","C2",348233970.230822
"362","A",23865406464.9574
"362","C3",156759767.618285
"363","D",101631629.33192
"363","B3",245304080.546418
"363","B1",289635274.877627
"363","B2",634041897.406693
"363","C1",331195994.930838
"363","C2",372623358.224603
"363","A",23803996355.9107
"363","C3",172130813.529827
"364","D",100941751.835154
"364","B3",254172886.07017
"364","B1",303330093.760496
"364","B2",678424548.008349
"364","C1",321437486.646804
"364","C2",389642660.262847
"364","A",23546589579.4393
"364","C3",178143641.251771
"365","B1",250191323.531954
"365","A",22943821130.037
"371","D",104417381.194902
"371","B3",251237644.989363
"371","B1",291365021.111735
"371","B2",637326316.958534
"371","C1",341747835.515014
"371","C2",379811255.90777
"371","A",23985288577.7362
"371","C3",177341872.421192
"372","D",88012440.2073029
"372","B3",221019698.411336
"372","B1",263844803.858028
"372","B2",588828917.365767
"372","C1",294194669.132173
"372","C2",337911802.105513
"372","A",22559521048.744
"372","C3",154101923.927573
"373","D",92362975.43899
"373","B3",234689894.816395
"373","B1",277673439.630488
"373","B2",634727016.746945
"373","C1",311411804.055218
"373","C2",362459032.562041
"373","A",23373476773.0568
"373","C3",161341912.67686
"374","D",96109375.1750308
"374","B3",244086792.59324
"374","B1",287541352.373934
"374","B2",635316668.053576
"374","C1",318082840.237741
"374","C2",368230187.614079
"374","A",23371101234.4999
"374","C3",170872973.637066
"381","D",99921869.4718595
"381","B3",247435349.297137
"381","B1",287231834.620875
"381","B2",625174801.203626
"381","C1",320482557.337036
"381","C2",368598281.448917
"381","A",23531324082.1696
"381","C3",174074048.837361
"382","D",98380609.8844718
"382","B3",223801139.048002
"382","B1",259454470.917346
"382","B2",570560370.85958
"382","C1",321118994.541351
"382","C2",337246497.997173
"382","A",23341324743.1315
"382","C3",156040148.941913
"383","D",98494007.996279
"383","B3",231059201.063838
"383","B1",273132844.649925
"383","B2",607389755.375322
"383","C1",322086503.495667
"383","C2",353444913.218845
"383","A",23425531056.3127
"383","C3",161843998.182898
"384","B3",220447954.361
"384","B1",259925396.923162
"384","B2",583799813.468404
"384","C1",312167436.774853
"384","C2",340939767.807347
"384","A",23179171401.1717
"384","C3",153348224.024679
"391","D",93582840.6098976
"391","B3",234313141.245594
"391","B1",276737416.475194
"391","B2",621060887.966906
"391","C1",306800293.319294
"391","C2",354086522.384391
"391","A",23184639339.9536
"391","C3",160002264.597331
"392","D",98165742.0297701
"392","B3",237728313.387969
"392","B1",274170076.250127
"392","B2",601814243.916564
"392","C1",318140641.251609
"392","C2",359292529.983241
"392","A",23305604724.7974
"392","C3",166854759.971404
"393","D",89125583.0398193
"393","B3",216391392.493935
"393","B1",254802142.309211
"393","B2",568583386.7908
"393","C1",296795496.872227
"393","C2",328712839.572911
"393","A",22903471920.2879
"393","C3",149352190.517719
"394","B3",232230721.299164
"394","B1",270190230.261269
"394","B2",581059500.494581
"394","C1",317653594.964984
"394","A",23567883833.258
"4","D",93085355.2249563
"4","B3",234605460.22216
"4","B1",274908554.726761
"4","B2",616234376.37386
"4","C1",308553738.116472
"4","C2",352928277.732377
"4","A",23287936496.2382
"4","C3",163105348.149092
"401","D",92106018.5923312
"401","B3",214677440.767911
"401","B1",250368841.24593
"401","B2",557653225.991164
"401","C1",300964227.276486
"401","C2",326933581.404057
"401","A",22765264587.8137
"401","C3",150285410.073926
"402","D",94569736.35752
"402","B3",232515572.555791
"402","B1",270040272.379921
"402","B2",587578689.519144
"402","C1",307034997.400773
"402","C2",346002019.93466
"402","A",23074554469.6679
"402","C3",165026632.349251
"403","B3",221893594.436741
"403","B1",258506092.047886
"403","B2",569892643.812149
"403","C1",310882951.454379
"403","C2",331756799.636408
"403","A",23233327699.4678
"403","C3",154280769.271444
"411","D",99432031.7456214
"411","B3",250114608.10508
"411","B1",295047803.13447
"411","B2",647213945.63368
"411","C1",330707666.739525
"411","C2",380422429.653806
"411","A",23696812620.4223
"411","C3",178636672.027268
"412","D",100138997.880887
"412","B3",248425010.46234
"412","B1",291289307.516324
"412","B2",638504214.628468
"412","C1",329628347.112126
"412","C2",376032520.168394
"412","A",23926270820.4888
"412","C3",174061929.918293
"413","D",93743470.7827783
"413","B3",236010671.317754
"413","B1",278721354.806222
"413","B2",620532192.234185
"413","C1",314552958.368173
"413","C2",359568407.537951
"413","A",23352627541.9584
"413","C3",164933920.556498
"414","B3",231885563.148439
"414","B1",271089513.781805
"414","B2",614461411.906433
"414","A",23629198429.6161
"421","D",95335568.5410896
"421","B3",216184433.154398
"421","B1",252510254.366517
"421","B2",565401711.545405
"421","C1",312525670.885374
"421","C2",330466410.885854
"421","A",23173636043.9361
"421","C3",151337696.709313
"422","D",93693107.9378878
"422","B3",233867471.363967
"422","B1",276716021.298008
"422","B2",616065710.522053
"422","C1",305463091.922309
"422","C2",358366453.543868
"422","A",22688161332.076
"422","C3",165869884.400491
"423","D",95483488.9875612
"423","B3",230092961.789759
"423","B1",271109008.743194
"423","B2",610129346.750014
"423","C1",316848226.547781
"423","C2",352471981.712464
"423","A",23511765048.1074
"423","C3",159172987.46074
"424","B1",276822007.948397
"424","B2",620876450.494438
"424","A",22850464400.4669
"431","D",90036332.3052366
"431","B3",215658103.153831
"431","B1",254328996.771694
"431","B2",575646982.560823
"431","C1",298360791.779892
"431","C2",329474551.373206
"431","A",22838563936.6491
"431","C3",151902258.772185
"432","D",96191780.4607395
"432","B3",221738669.790504
"432","B1",256664946.773141
"432","B2",567786211.461941
"432","C1",313497999.000505
"432","C2",335241705.531399
"432","A",23196343811.3408
"432","C3",155559482.087578
"433","B3",218414696.585724
"433","B1",251988529.719005
"433","B2",556075078.055552
"433","C1",328424159.887003
"433","C2",331555741.805593
"433","A",23973670363.8687
"441","D",94384376.5965191
"441","B3",216158984.59946
"441","B1",253486228.241519
"441","B2",563056306.531712
"441","C1",312857506.595105
"441","C2",331140784.729614
"441","A",23472342436.3553
"441","C3",151336420.845386
"442","D",93324073.7693941
"442","B3",223315222.886933
"442","B1",258266921.043536
"442","B2",590577622.804332
"442","C1",314741885.365095
"442","C2",342203833.014701
"442","A",23279561925.7932
"442","C3",153200740.629012
