Pathway,ATB_Scenario,NPV,Technology
A,Advanced,778102874.780608,Coal
A,Moderate,795001556.702737,Coal
A,Conservative,811922749.591801,Coal
A,Advanced,69166709.429915,Wood
A,Moderate,69166709.429915,Wood
A,Conservative,69166709.429915,Wood
A,Advanced,1926467327.74807,Gas_CC
A,Moderate,1945335370.26077,Gas_CC
A,Conservative,1964079177.63157,Gas_CC
A,Advanced,211376724.342784,Gas_CT
A,Moderate,211376724.342784,Gas_CT
A,Conservative,211376724.342784,Gas_CT
A,Advanced,397232948.264513,Oil
A,Moderate,397232948.264513,Oil
A,Conservative,397232948.264513,Oil
B1,Advanced,294979928.119984,Coal
B1,Moderate,297653825.798918,Coal
B1,Conservative,300352681.786734,Coal
B1,Advanced,44140515.685182,Wood
B1,Moderate,44140515.685182,Wood
B1,Conservative,44140515.685182,Wood
B1,Advanced,956198184.280408,Gas_CC
B1,Moderate,963355717.936902,Gas_CC
B1,Conservative,970339384.818226,Gas_CC
B1,Advanced,85460167.5834068,Gas_CT
B1,Moderate,85460167.5834068,Gas_CT
B1,Conservative,85460167.5834068,Gas_CT
B1,Advanced,119937530.237485,Oil
B1,Moderate,119937530.237485,Oil
B1,Conservative,119937530.237485,Oil
B2,Advanced,299790435.025799,Coal
B2,Moderate,302512820.552453,Coal
B2,Conservative,305260790.994455,Coal
B2,Advanced,45827558.6888995,Wood
B2,Moderate,45827558.6888995,Wood
B2,Conservative,45827558.6888995,Wood
B2,Advanced,1123471872.66532,Gas_CC
B2,Moderate,1132245010.89389,Gas_CC
B2,Conservative,1140855554.27643,Gas_CC
B2,Advanced,93726178.5735708,Gas_CT
B2,Moderate,93726178.5735708,Gas_CT
B2,Conservative,93726178.5735708,Gas_CT
B2,Advanced,125293847.463661,Oil
B2,Moderate,125293847.463661,Oil
B2,Conservative,125293847.463661,Oil
B3,Advanced,296284990.400792,Coal
B3,Moderate,298972884.178599,Coal
B3,Conservative,301685779.007316,Coal
B3,Advanced,43957419.3362682,Wood
B3,Moderate,43957419.3362682,Wood
B3,Conservative,43957419.3362682,Wood
B3,Advanced,965125256.559281,Gas_CC
B3,Moderate,972214191.16321,Gas_CC
B3,Conservative,979139866.346172,Gas_CC
B3,Advanced,86554182.7438404,Gas_CT
B3,Moderate,86554182.7438404,Gas_CT
B3,Conservative,86554182.7438404,Gas_CT
B3,Advanced,121181281.365697,Oil
B3,Moderate,121181281.365697,Oil
B3,Conservative,121181281.365697,Oil
C1,Advanced,311264837.224799,Coal
C1,Moderate,314111996.614851,Coal
C1,Conservative,316985040.068857,Coal
C1,Advanced,38197258.1388932,Wood
C1,Moderate,38197258.1388932,Wood
C1,Conservative,38197258.1388932,Wood
C1,Advanced,1073784113.82071,Gas_CC
C1,Moderate,1080094973.78958,Gas_CC
C1,Conservative,1086360610.12758,Gas_CC
C1,Advanced,105050312.76177,Gas_CT
C1,Moderate,105050312.76177,Gas_CT
C1,Conservative,105050312.76177,Gas_CT
C1,Advanced,141317154.232657,Oil
C1,Moderate,141317154.232657,Oil
C1,Conservative,141317154.232657,Oil
C2,Advanced,301981019.881473,Coal
C2,Moderate,304726891.487151,Coal
C2,Conservative,307498394.465059,Coal
C2,Advanced,44729221.1130812,Wood
C2,Moderate,44729221.1130812,Wood
C2,Conservative,44729221.1130812,Wood
C2,Advanced,1085982687.99235,Gas_CC
C2,Moderate,1093877773.38301,Gas_CC
C2,Conservative,1101618896.87886,Gas_CC
C2,Advanced,93463003.093163,Gas_CT
C2,Moderate,93463003.093163,Gas_CT
C2,Conservative,93463003.093163,Gas_CT
C2,Advanced,127534596.121075,Oil
C2,Moderate,127534596.121075,Oil
C2,Conservative,127534596.121075,Oil
C3,Advanced,296304383.524693,Coal
C3,Moderate,298992492.570491,Coal
C3,Conservative,301705594.314865,Coal
C3,Advanced,42850965.4673622,Wood
C3,Moderate,42850965.4673622,Wood
C3,Conservative,42850965.4673622,Wood
C3,Advanced,903723442.3793,Gas_CC
C3,Moderate,910081218.466676,Gas_CC
C3,Conservative,916281142.499065,Gas_CC
C3,Advanced,83464330.6519579,Gas_CT
C3,Moderate,83464330.6519579,Gas_CT
C3,Conservative,83464330.6519579,Gas_CT
C3,Advanced,120867459.581137,Oil
C3,Moderate,120867459.581137,Oil
C3,Conservative,120867459.581137,Oil
D,Advanced,756793372.132567,Coal
D,Moderate,773129227.988866,Coal
D,Conservative,789487613.757529,Coal
D,Advanced,68438954.4646855,Wood
D,Moderate,68438954.4646855,Wood
D,Conservative,68438954.4646855,Wood
D,Advanced,2432042609.07387,Gas_CC
D,Moderate,2461303237.19621,Gas_CC
D,Conservative,2490396086.98493,Gas_CC
D,Advanced,178411659.987369,Gas_CT
D,Moderate,178411659.987369,Gas_CT
D,Conservative,178411659.987369,Gas_CT
D,Advanced,351807990.754672,Oil
D,Moderate,351807990.754672,Oil
D,Conservative,351807990.754672,Oil
