"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1","B2","Advanced",400863847.76803,"Nuclear"
"1","B2","Moderate",590746723.026571,"Nuclear"
"1","B2","Conservative",717335306.532265,"Nuclear"
"1","B2","Advanced",130522743.076885,"Biomass"
"1","B2","Moderate",130522743.076885,"Biomass"
"1","B2","Conservative",130522743.076885,"Biomass"
"1","B3","Advanced",400863847.76803,"Nuclear"
"1","B3","Moderate",590746723.026571,"Nuclear"
"1","B3","Conservative",717335306.532265,"Nuclear"
"1","B3","Advanced",130522743.076885,"Biomass"
"1","B3","Moderate",130522743.076885,"Biomass"
"1","B3","Conservative",130522743.076885,"Biomass"
"1","C1","Advanced",400863847.76803,"Nuclear"
"1","C1","Moderate",590746723.026571,"Nuclear"
"1","C1","Conservative",717335306.532265,"Nuclear"
"1","C1","Advanced",2139776321.054,"SMR"
"1","C1","Moderate",2528826561.24563,"SMR"
"1","C1","Conservative",2723351681.34145,"SMR"
"1","C1","Advanced",130522743.076885,"Biomass"
"1","C1","Moderate",130522743.076885,"Biomass"
"1","C1","Conservative",130522743.076885,"Biomass"
