Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD
2025,1,A,66599.1630413354,938057.291156337,25467618.5217597,138049.678729205,12235674.2972521,636992.885986722,39482991.8379254
2026,1,A,68553.0628574647,944355.650184944,26529339.1635507,139862.606634077,12696979.1220812,661118.248530858,41040207.8538392
2027,1,A,70031.1311097889,963666.796785572,27493171.8976841,140720.807005712,13118772.1530301,682587.648804192,42468950.4344194
2028,1,A,72136.1169380591,979036.257820111,28632445.0851957,143525.607712132,13619937.7504608,709125.956130706,44156206.7742575
2029,1,A,73868.0138358225,986106.778910019,29529535.8383315,144617.562884931,14006168.8376217,728902.348228126,45469199.379812
2030,1,A,74823.4727152688,995761.277979492,30160400.1947792,144460.492653105,14280844.6433807,742731.688138355,46399021.7696461
2031,1,A,75924.5505057203,994653.944458552,31065477.3225177,145890.33626282,14672523.9859712,763036.77276869,47717506.9124847
2032,1,A,77786.9507160258,1018137.49816597,31924937.3048408,147417.91665309,15056248.475168,782703.418256959,49007231.5638009
2033,1,A,80122.1069603321,1034707.90521889,32559217.9125386,149316.922306558,15326817.4906302,797699.445622302,49947881.7832769
2034,1,A,81264.4161896498,1035364.74901416,33088238.6736417,150131.602154396,15556030.2489025,809548.352862352,50720578.0427648
2035,1,A,82429.4371436213,1044945.24068078,33538207.1618051,150277.799788735,15752267.5900225,819391.237604192,51387518.467045
2036,1,A,83752.1058711843,1049405.75892264,33992542.3506185,151841.816374029,15952627.027681,830123.093594783,52060292.1530621
2037,1,A,84971.4018273848,1055892.87619362,34253377.284289,152508.50257843,16057987.8622052,836059.377910256,52440797.3050038
2038,1,A,85662.8431597716,1062825.12488709,34524899.8166957,153311.06643571,16175921.3064252,842465.439762063,52845085.5973656
2039,1,A,86261.2360962666,1059408.95036132,34742859.5366073,153711.041439135,16272874.9912633,847291.583848472,53162407.3396158
2040,1,A,86755.3311771304,1057676.39624969,34975739.6344812,154234.611979,16375353.1230116,852573.815055136,53502332.9119537
2041,1,A,87655.3875701894,1071786.99048218,35054547.3153256,154840.051659017,16406154.7367894,854737.213237214,53629721.6950635
2042,1,A,87905.4018862604,1069223.95888611,35145074.9779066,155121.847636279,16444321.9859934,856791.575024219,53758439.7473329
2043,1,A,88592.7010607361,1077568.75045103,35239045.2079605,155763.566449954,16483403.4517246,859285.173245553,53903658.8508925
2044,1,A,89168.5363379895,1084588.22475732,35365921.4716738,156178.267437186,16540065.3279016,862255.875460067,54098177.7035679
2045,1,A,87921.4261633232,1066070.78809359,35227497.801482,154127.64284127,16476629.4567086,858029.337224347,53870276.4525132
2046,1,A,86491.7448060745,1058700.969448,35040656.2863439,152342.493175517,16399573.3489731,852932.462924945,53590697.3056715
2047,1,A,86369.690190537,1059825.90037576,35030479.0571025,151949.689116469,16395528.5024606,852513.374026078,53576666.213272
2048,1,A,85568.1625074445,1051662.17504621,35019809.7566379,151553.065975891,16395255.7873322,852022.406635827,53555871.3541354
2049,1,A,85518.5099729543,1046795.26039683,34966653.7903963,151317.41471262,16365899.2327774,850755.66018357,53466939.8684397
2050,1,A,83017.5084594959,1030786.85348057,34568270.1468538,148684.680882628,16196177.267135,840532.658381522,52867469.115193
2025,1,B1,104870.315492066,381505.780325047,32646802.1712735,155029.89952047,15721325.0127568,796308.3377176,49805841.5170854
2026,1,B1,73742.9416462049,335441.463419107,27952296.0159855,143255.584554772,13676780.6033595,687638.348612116,42869154.9575772
2027,1,B1,70252.1909055621,313910.013646612,27487036.5080161,138505.508897686,13462623.3025883,675530.44426842,42147857.9683226
2028,1,B1,68293.9515012589,227619.646445986,27320034.9946286,127279.917144848,13369795.8772104,670234.405342882,41783258.792274
2029,1,B1,65591.372471705,216092.456059036,26943963.079371,125901.277392944,13205922.8774045,661390.238054777,41218861.300754
2030,1,B1,63152.756612942,196764.418256549,26679979.7050357,122244.784277077,12286708.3772271,643977.58146862,39992827.622878
2025,1,B2,91140.8229351024,421182.000268477,31763186.2763117,150149.266872356,15356069.2068218,775810.497794578,48557538.071004
2026,1,B2,79933.3130206549,410891.483385996,31097283.2792317,145921.053486319,15072957.7354998,759243.654033712,47566230.5186581
2027,1,B2,76307.6027891214,385860.496353999,30365536.9455024,140303.56971043,14741009.4585721,740986.619620935,46450004.692549
2028,1,B2,72538.2236468342,267338.607999727,29990713.1102854,128813.424659224,14559336.8101935,730966.464836876,45749706.6416216
2029,1,B2,68915.2564476391,253051.495554508,29192879.5913973,125990.81660113,14209438.9041814,711863.699927433,44562139.7641093
2030,1,B2,64984.3497170579,230654.728193023,28494268.7065683,122109.829180759,13086933.4225775,685013.24795616,42683964.2841927
2025,1,B3,107307.863004539,429983.05089542,32853877.2505048,154969.99095641,15828186.8991825,801719.906769257,50176044.9613129
2026,1,B3,76745.5547299653,381155.069718863,28288747.0145663,143523.982057053,13838393.892287,695973.221848515,43424538.7352078
2027,1,B3,73627.0113374617,359433.093948243,27934304.2047999,138909.680681791,13672208.6716605,686295.903429437,42864778.5658573
2028,1,B3,71683.9796463105,275539.039552186,27858924.3056944,128056.006242515,13619129.1704193,683242.537097232,42636575.0386519
2029,1,B3,69893.8794248046,265664.43126166,27590797.7136825,126781.721446722,13500926.9123371,676724.958264905,42230789.6164178
2030,1,B3,67346.936065066,244926.457357878,27401490.3875476,123192.16328655,12596088.2998574,660978.625914571,41094022.8700291
2025,1,C1,123025.305140938,597574.795936117,32646660.1533374,146950.269692053,15686155.4192512,795851.651177729,49996217.5945354
2026,1,C1,118873.23929834,603091.969931946,33673235.7833913,145476.438888046,16145835.9416418,817668.149005022,51504181.5221565
2027,1,C1,123207.883593718,593771.06080559,34550067.9184732,143015.196022006,16504172.5269233,835801.286334784,52750035.8721526
2028,1,C1,127535.510884173,486964.072726437,35656083.9395463,134773.701556384,16978499.192748,859879.907435997,54243736.3248973
2029,1,C1,131105.317968331,486305.858223333,36445570.6486072,133417.434065882,17305643.820059,875798.652692194,55377841.731616
2030,1,C1,134027.529283372,478844.844021592,37266792.4055749,133488.923675497,16800278.2243541,883662.243142808,55697094.1700523
2025,1,C2,100254.26955833,427825.602814218,32373653.1083402,153676.020221394,15600887.3468533,792808.210387351,49449104.5581748
2026,1,C2,88895.5826985451,419560.020920833,31927130.6961991,149662.738753229,15417835.0205069,781142.622515904,48784226.6815945
2027,1,C2,85704.7448908863,398738.985220756,31403240.8161098,144763.317627221,15172755.8049414,767818.582050905,47973022.2508409
2028,1,C2,82842.0724238571,282507.431482917,31249377.1850978,134050.469645814,15092573.9251318,763171.88994204,47604522.9737242
2029,1,C2,79387.3421601085,269073.579803152,30647473.3392787,131052.134875638,14827299.0931051,748145.943059377,46702431.4322821
2030,1,C2,75819.1612815199,245688.095730736,30191939.684101,127156.060092238,13804949.6083086,726356.041931495,45171908.6514455
2025,1,C3,111856.294692509,432764.363760157,32932537.6227441,155025.624862421,15852029.4417478,803166.939065417,50287380.2868725
2026,1,C3,80186.8220161823,383259.079164408,28388953.856319,143571.632135499,13870070.2778338,697868.654655742,43563910.3221246
2027,1,C3,76943.6310850376,361453.323055697,28038947.6650809,138956.476538733,13705627.4065594,688283.469211326,43010211.9715311
2028,1,C3,74920.841913644,277517.32596252,27967827.8887751,128100.095147438,13654560.0947718,685321.021181239,42788247.2677517
2029,1,C3,73142.6281537182,267638.694660766,27699891.2099441,126824.381624294,13536212.4874478,678800.600279418,42382510.0021102
2030,1,C3,70488.7999407689,246851.679941405,27515230.3538045,123233.137614221,12633888.3300198,663156.688126871,41252848.9894475
2025,1,D,55636.900013265,421461.781202904,30397919.9017168,146979.329563699,14376971.7925401,744438.383566322,46143408.088603
2026,1,D,48149.5249245727,394466.282794693,26730141.3971827,142076.160014586,12793558.3426078,661705.316370701,40770097.023895
2027,1,D,49957.4504416654,402447.006538124,27733501.0258726,142712.207938699,13231857.3795277,684272.24184974,42244747.3121686
2028,1,D,51817.2975162653,411392.96607855,28998263.3823256,145142.64624079,13785264.6692905,713339.07417298,44105220.0356246
2029,1,D,54024.7634299246,418709.742485844,29909489.8541794,146337.816029234,14183987.3322503,733592.940682331,45446142.4490571
2030,1,D,55203.3433633694,418776.473220741,30726271.8151937,146736.617244501,14536851.3245406,751948.448474116,46635788.0220371
2031,1,D,47857.1906739005,397473.915206656,27337135.3311464,142080.101145274,13070889.8422054,675721.90518868,41671158.2855664
2032,1,D,50484.0508303861,409065.274438351,28556262.1294245,144252.426104533,13607210.7878482,703857.508172726,43471132.1768187
2033,1,D,52842.6769232354,417050.841041509,29678971.3405386,145917.823976494,14093894.813963,729198.028821897,45117875.5252647
2034,1,D,54835.7463731924,418619.354320402,30714205.7940415,146516.996657755,14547480.1602009,752125.947373484,46633783.9989673
2035,1,D,57345.8348357619,426764.941589692,31605444.7866936,147273.716183299,14943071.8813412,771889.250631473,47951790.411275
2036,1,D,59187.1215408595,431603.121503267,32446601.4348681,148876.628733688,15304991.9037152,791216.849484207,49182477.0598453
2037,1,D,61091.5333508458,433310.053648825,33125011.6886871,149193.937543687,15598402.9187344,805933.087734723,50172943.2196996
2038,1,D,62492.6839221426,438712.960290523,33748813.5787502,149929.645853739,15872115.9960989,820027.255154349,51092092.1200698
2039,1,D,64909.2347889963,444941.787679962,34315403.7632953,152383.636487909,16125768.0754274,833743.138189209,51937149.6358687
2040,1,D,66486.3250828657,448770.791067521,34825756.8339019,152323.162109995,16353602.6727239,844871.060262644,52691810.8451488
2041,1,D,55887.1373395695,421183.010774075,31125259.3638295,146344.779621132,14745443.6655246,761433.835929371,47255551.7930182
2042,1,D,57032.3142244482,421396.21008982,31636058.7454883,146049.402863169,14963376.5519084,772412.337422854,47996325.561997
2043,1,D,58366.6472825813,422340.063552371,31989947.4629264,146803.44500282,15129122.5158147,780751.587774592,48527331.7223535
2044,1,D,58299.0829617682,419442.751235012,32163285.7231231,145722.179356115,15199470.9384174,783715.772568549,48769936.447662
2045,1,D,58023.2186856435,419980.315423669,32172256.5461351,145352.848210686,15194909.2025,783703.484913744,48774225.6158688
2046,1,D,56855.3240273888,419248.257410801,32084325.1180902,145081.276501888,15153363.2093815,781534.867949845,48640408.0533616
2047,1,D,56815.3981947947,420687.82586977,31920796.0855718,144503.230483269,15090272.6681294,778061.563582614,48411136.7718317
2048,1,D,55332.1963113218,415142.676950923,31650983.0627977,143781.330139959,14969815.3081367,771599.904501148,48006654.4788378
2049,1,D,54808.8848735082,410685.105126109,31294272.5566966,142798.759784634,14815658.8625373,763652.77709747,47481876.9461156
2050,1,D,51928.9309620751,407500.558502472,30469414.4478966,140609.294452362,14447044.6833408,744468.008175782,46260965.9233301
2025,10,A,66371.3776012009,903828.686625402,25146460.5080511,139141.68298789,12100398.7456818,630973.624293224,38987174.6252407
