Simulation,Pathway,NPV
1,A,1442272110.18248
1,B1,684352862.99403
1,B2,783371787.896629
1,B3,679663376.19247
1,C1,622054363.316384
1,C2,733336179.949414
1,C3,640873948.296489
1,D,1358739404.86167
10,A,1443849854.17379
10,B1,673281063.217063
10,B2,774059275.168908
10,B3,668524823.1987
10,C1,615936307.362001
10,C2,722420401.173239
10,C3,629618681.578946
10,D,1348086389.72889
100,A,1442807040.56478
100,B1,691766129.653583
100,B2,792850862.20175
100,B3,686663542.547434
100,C1,623008034.781221
100,C2,739146114.13508
100,C3,647520116.603556
100,D,1371425434.11979
1000,A,1455712830.99231
1000,B1,663027714.945398
1000,B2,765753496.48815
1000,B3,659034911.834048
1000,C1,612463907.985112
1000,C2,712749422.450042
1000,C3,621559084.527016
1000,D,1349116751.42568
1001,A,1429548324.3807
1001,B1,691449250.085133
1001,B2,793531215.214309
1001,B3,685302380.220891
1001,C1,622338830.35809
1001,C2,740655856.269311
1001,C3,646466827.905128
1001,D,1360420405.70029
1002,A,1449047614.96619
1002,B1,674716008.291581
1002,B2,775767493.176246
1002,B3,669775696.898105
1002,C1,614328157.604784
1002,C2,724239642.091445
1002,C3,631575174.317188
1002,D,1349534060.2453
1003,A,1452473023.78766
1003,B1,659623510.55958
1003,B2,761917399.303778
1003,B3,655391120.006169
1003,C1,608301106.790574
1003,C2,709310814.092075
1003,C3,617872651.108342
1003,D,1338447278.06722
1004,A,1446756784.39345
1004,B1,677735927.849329
1004,B2,778974929.784648
1004,B3,672835782.773149
1004,C1,618094716.648793
1004,C2,726995628.172598
1004,C3,633956342.948865
1004,D,1356429229.20513
1005,A,1444914240.26588
1005,B1,667261341.193663
1005,B2,765648515.00068
1005,B3,662621525.589207
1005,C1,611893675.091686
1005,C2,715447787.635449
1005,C3,624028715.312383
1005,D,1347605152.28232
1006,A,1448972130.89279
1006,B1,668971300.276545
1006,B2,769752357.6693
1006,B3,665080140.687568
1006,C1,612695792.930512
1006,C2,717491287.652629
1006,C3,626760355.61484
1006,D,1350102945.85231
1007,A,1450641004.66542
1007,B1,667813961.966312
1007,B2,769582995.748714
1007,B3,663286210.801599
1007,C1,613669240.978049
1007,C2,718099546.853459
1007,C3,625143163.355462
1007,D,1350612670.76006
