"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B1","Advanced",11983878049.4019,"FOM","Gas_CC"
"B2","Advanced",11983878049.4019,"FOM","Gas_CC"
"B3","Advanced",11983878049.4019,"FOM","Gas_CC"
"C1","Advanced",11983878049.4019,"FOM","Gas_CC"
"C2","Advanced",11983878049.4019,"FOM","Gas_CC"
"C3","Advanced",11983878049.4019,"FOM","Gas_CC"
"A","Advanced",14451017502.2545,"FOM","Gas_CC"
"D","Advanced",19161291036.7465,"FOM","Gas_CC"
"D","Advanced",23849717361.0815,"CAPEX","Gas_CC"
"B1","Moderate",12151118817.4563,"FOM","Gas_CC"
"B2","Moderate",12151118817.4563,"FOM","Gas_CC"
"B3","Moderate",12151118817.4563,"FOM","Gas_CC"
"C1","Moderate",12151118817.4563,"FOM","Gas_CC"
"C2","Moderate",12151118817.4563,"FOM","Gas_CC"
"C3","Moderate",12151118817.4563,"FOM","Gas_CC"
"A","Moderate",14658224057.6144,"FOM","Gas_CC"
"D","Moderate",19481939193.4541,"FOM","Gas_CC"
"D","Moderate",24143209573.8775,"CAPEX","Gas_CC"
"B1","Conservative",12344586894.6791,"FOM","Gas_CC"
"B2","Conservative",12344586894.6791,"FOM","Gas_CC"
"B3","Conservative",12344586894.6791,"FOM","Gas_CC"
"C1","Conservative",12344586894.6791,"FOM","Gas_CC"
"C2","Conservative",12344586894.6791,"FOM","Gas_CC"
"C3","Conservative",12344586894.6791,"FOM","Gas_CC"
"A","Conservative",14897067753.619,"FOM","Gas_CC"
"D","Conservative",19846633907.2654,"FOM","Gas_CC"
"D","Conservative",24438610035.1733,"CAPEX","Gas_CC"
"B1","Advanced",495937446.250107,"FOM","Coal"
"B2","Advanced",495937446.250107,"FOM","Coal"
"B3","Advanced",495937446.250107,"FOM","Coal"
"C1","Advanced",495937446.250107,"FOM","Coal"
"C2","Advanced",495937446.250107,"FOM","Coal"
"C3","Advanced",495937446.250107,"FOM","Coal"
"A","Advanced",1849200579.14189,"FOM","Coal"
"D","Advanced",1849200579.14189,"FOM","Coal"
"B1","Moderate",500711690.500436,"FOM","Coal"
"B2","Moderate",500711690.500436,"FOM","Coal"
"B3","Moderate",500711690.500436,"FOM","Coal"
"C1","Moderate",500711690.500436,"FOM","Coal"
"C2","Moderate",500711690.500436,"FOM","Coal"
