"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"A","CAPEX","Solar","Advanced",0
"A","CAPEX","Solar","Moderate",0
"A","CAPEX","Solar","Conservative",0
"A","FOM","Solar","Advanced",2756859369.88368
"A","FOM","Solar","Moderate",3061082802.38121
"A","FOM","Solar","Conservative",3479833862.21621
"A","CAPEX","Onshore Wind","Advanced",0
"A","CAPEX","Onshore Wind","Moderate",0
"A","CAPEX","Onshore Wind","Conservative",0
"A","FOM","Onshore Wind","Advanced",1604435285.69118
"A","FOM","Onshore Wind","Moderate",1941294514.36934
"A","FOM","Onshore Wind","Conservative",2084459551.75645
"A","CAPEX","Offshore Wind","Advanced",0
"A","CAPEX","Offshore Wind","Moderate",0
"A","CAPEX","Offshore Wind","Conservative",0
"A","FOM","Offshore Wind","Advanced",1436020611.79607
"A","FOM","Offshore Wind","Moderate",1558153206.10662
"A","FOM","Offshore Wind","Conservative",1758917012.00058
"A","CAPEX","Storage","Advanced",0
"A","CAPEX","Storage","Moderate",0
"A","CAPEX","Storage","Conservative",0
"A","FOM","Storage","Advanced",3648938175.40863
"A","FOM","Storage","Moderate",4718583623.06993
"A","FOM","Storage","Conservative",6548858835.26957
"A","CAPEX","Nuclear","Advanced",0
"A","CAPEX","Nuclear","Moderate",0
"A","CAPEX","Nuclear","Conservative",0
"A","FOM","Nuclear","Advanced",7013608006.99522
"A","FOM","Nuclear","Moderate",9741122231.93781
"A","FOM","Nuclear","Conservative",11355365344.6589
"A","CAPEX","SMR","Advanced",0
"A","CAPEX","SMR","Moderate",0
"A","CAPEX","SMR","Conservative",0
"A","FOM","SMR","Advanced",0
"A","FOM","SMR","Moderate",0
"A","FOM","SMR","Conservative",0
"A","CAPEX","Hydropower","Advanced",0
"A","CAPEX","Hydropower","Moderate",0
"A","CAPEX","Hydropower","Conservative",0
"A","FOM","Hydropower","Advanced",1663497054.82507
"A","FOM","Hydropower","Moderate",2985109125.29314
"A","FOM","Hydropower","Conservative",2985109125.29314
"A","CAPEX","Biomass","Advanced",0
"A","CAPEX","Biomass","Moderate",0
"A","CAPEX","Biomass","Conservative",0
"A","FOM","Biomass","Advanced",1400891554.98899
"A","FOM","Biomass","Moderate",1400891554.98899
"A","FOM","Biomass","Conservative",1400891554.98899
"B1","CAPEX","Solar","Advanced",41434082918.0665
"B1","CAPEX","Solar","Moderate",49481857400.0639
"B1","CAPEX","Solar","Conservative",61299903016.2878
"B1","FOM","Solar","Advanced",10692668690.4512
"B1","FOM","Solar","Moderate",12095027513.1164
"B1","FOM","Solar","Conservative",14083612281.8873
"B1","CAPEX","Onshore Wind","Advanced",11877219090.7203
"B1","CAPEX","Onshore Wind","Moderate",12639053943.4636
"B1","CAPEX","Onshore Wind","Conservative",14478432566.6728
"B1","FOM","Onshore Wind","Advanced",3922849299.72355
"B1","FOM","Onshore Wind","Moderate",4976927417.43461
"B1","FOM","Onshore Wind","Conservative",5404017033.56216
