"Pathway","NPV","Technology"
"A",1015521768.64754,"Coal"
"A",41245730934.4689,"Gas"
"A",6724400402.07974,"Gas"
"A",1148202568.79,"Wood"
"B1",250489138.748159,"Coal"
"B1",16098982087.2155,"Gas"
"B1",1475341612.55343,"Gas"
"B1",628205068.597572,"Wood"
"B2",254683923.579017,"Coal"
"B2",19684187446.0966,"Gas"
"B2",1595855586.44292,"Gas"
"B2",668009328.021227,"Wood"
"B3",251645760.847399,"Coal"
"B3",16037897250.9233,"Gas"
"B3",1490928231.86293,"Gas"
"B3",620946024.607898,"Wood"
"C1",265277466.551966,"Coal"
"C1",15440331160.6592,"Gas"
"C1",1753223690.42519,"Gas"
"C1",473724195.218908,"Wood"
"C2",256675832.18781,"Coal"
"C2",18012582343.1971,"Gas"
"C2",1593649721.872,"Gas"
"C2",635257616.678746,"Wood"
"C3",251644483.764219,"Coal"
"C3",14570212278.9134,"Gas"
"C3",1451084536.71947,"Gas"
"C3",596396145.692983,"Wood"
"D",982314936.692158,"Coal"
"D",63355470553.7444,"Gas"
"D",5675958537.64838,"Gas"
"D",1132631962.18805,"Wood"
