"Simulation","Pathway","NPV"
"1","A",498576568575.55
"1","B1",5502986717.88452
"1","B2",12077424468.9831
"1","B3",4703569916.9689
"1","C1",5766187399.32135
"1","C2",6995430541.29032
"1","C3",3297087927.56547
"1","D",2482758411.9716
"10","A",493553706278.316
"10","B1",4955380104.62096
"10","B2",11190149325.679
"10","B3",4198168791.80352
"10","C1",5456199767.74742
"10","C2",6319579998.12493
"10","C3",2913797629.85774
"10","D",2327622867.71663
"100","A",492701356887.912
"100","B1",5423169822.12984
"100","B2",11789531534.8616
"100","B3",4600678792.99842
"100","C1",5606355848.72212
"100","C2",6873644926.61621
"100","C3",3314858168.44674
"100","D",2419154986.51042
"1000","A",472164062343.83
"1000","B1",5593741449.76278
"1000","B2",12449655836.1376
"1000","B3",4646200009.56386
"1000","C1",5113316113.01634
"1000","C2",6919426544.20288
"1000","C3",3369584302.34411
"1000","D",2046922767.87589
"1001","A",504313704836.6
"1001","B1",5921243521.18284
"1001","B2",13192499519.5305
"1001","B3",4995207434.24457
"1001","C1",5891168558.90866
"1001","C2",7495581894.54993
"1001","C3",3559049410.94542
"1001","D",2598651261.85169
"1002","A",481608697649.14
"1002","B1",5335984714.47775
"1002","B2",11948754579.547
"1002","B3",4503563999.86375
"1002","C1",5315432360.2853
"1002","C2",6732353944.82255
"1002","C3",3167331747.46309
"1002","D",2188598141.52457
"1003","A",482665546296.951
"1003","B1",4977845734.34582
"1003","B2",11135781768.5473
"1003","B3",4187937675.16082
"1003","C1",5381639820.86106
"1003","C2",6283159667.64144
"1003","C3",2915160049.81301
"1003","D",2236004312.99815
"1004","A",482210117796.948
"1004","B1",5247755902.21841
"1004","B2",11518622527.8146
"1004","B3",4414022208.53174
"1004","C1",5383692179.53428
"1004","C2",6600747314.1046
"1004","C3",3133622092.46333
"1004","D",2264922703.1557
"1005","A",494151480297.996
"1005","B1",5538927118.14675
"1005","B2",12127071718.1592
"1005","B3",4666187249.54064
"1005","C1",5624837630.62743
"1005","C2",6907225314.69114
"1005","C3",3376019781.21233
"1005","D",2478234415.93989
"1006","A",490472563470.232
"1006","B1",5465746949.62943
"1006","B2",12193113191.2473
"1006","B3",4616488987.90086
"1006","C1",5530461898.18386
"1006","C2",6870102091.54467
"1006","C3",3281775772.71531
"1006","D",2408089228.56582
"1007","A",485455463288.784
"1007","B1",5101717192.83338
"1007","B2",11453851581.3226
"1007","B3",4297669992.77705
"1007","C1",5434981090.14591
"1007","C2",6450364533.77998
"1007","C3",3007146473.08905
"1007","D",2264549814.86301
