Pathway,ATB_Scenario,NPV,Technology
A,Advanced,1393539893.92327,Coal
A,Moderate,1431355342.96777,Coal
A,Conservative,1469216145.30741,Coal
A,Advanced,125457133.328613,Wood
A,Moderate,125457133.328613,Wood
A,Conservative,125457133.328613,Wood
A,Advanced,3504841819.05777,Gas_CC
A,Moderate,3546666239.38072,Gas_CC
A,Conservative,3588486864.50622,Gas_CC
A,Advanced,389673081.555692,Gas_CT
A,Moderate,389673081.555692,Gas_CT
A,Conservative,389673081.555692,Gas_CT
A,Advanced,732215113.405402,Oil
A,Moderate,732215113.405402,Oil
A,Conservative,732215113.405402,Oil
B1,Advanced,350380751.242305,Coal
B1,Moderate,353656134.320432,Coal
B1,Conservative,356958379.274242,Coal
B1,Advanced,68640159.1417891,Wood
B1,Moderate,68640159.1417891,Wood
B1,Conservative,68640159.1417891,Wood
B1,Advanced,1432007438.39682,Gas_CC
B1,Moderate,1444789283.45887,Gas_CC
B1,Conservative,1457412424.40083,Gas_CC
B1,Advanced,118492093.104351,Gas_CT
B1,Moderate,118492093.104351,Gas_CT
B1,Conservative,118492093.104351,Gas_CT
B1,Advanced,142651014.681253,Oil
B1,Moderate,142651014.681253,Oil
B1,Conservative,142651014.681253,Oil
B2,Advanced,356265793.375761,Coal
B2,Moderate,359601793.03226,Coal
B2,Conservative,362965307.92363,Coal
B2,Advanced,72989329.2423425,Wood
B2,Moderate,72989329.2423425,Wood
B2,Conservative,72989329.2423425,Wood
B2,Advanced,1736421293.61148,Gas_CC
B2,Moderate,1752710833.97998,Gas_CC
B2,Conservative,1768869209.84389,Gas_CC
B2,Advanced,132522083.495837,Gas_CT
B2,Moderate,132522083.495837,Gas_CT
B2,Conservative,132522083.495837,Gas_CT
B2,Advanced,149079320.777959,Oil
B2,Moderate,149079320.777959,Oil
B2,Conservative,149079320.777959,Oil
B3,Advanced,352009991.535823,Coal
B3,Moderate,355303235.019222,Coal
B3,Conservative,358623388.190431,Coal
B3,Advanced,67847007.4154255,Wood
B3,Moderate,67847007.4154255,Wood
B3,Conservative,67847007.4154255,Wood
B3,Advanced,1431404883.41025,Gas_CC
B3,Moderate,1443861350.05899,Gas_CC
B3,Conservative,1456175747.62632,Gas_CC
B3,Advanced,119565630.076832,Gas_CT
B3,Moderate,119565630.076832,Gas_CT
B3,Conservative,119565630.076832,Gas_CT
B3,Advanced,144280563.22967,Oil
B3,Moderate,144280563.22967,Oil
B3,Conservative,144280563.22967,Oil
C1,Advanced,371201084.887212,Coal
C1,Moderate,374703396.839842,Coal
C1,Conservative,378233511.390605,Coal
C1,Advanced,51760970.6997952,Wood
C1,Moderate,51760970.6997952,Wood
C1,Conservative,51760970.6997952,Wood
C1,Advanced,1426504943.61573,Gas_CC
C1,Moderate,1435563491.89531,Gas_CC
C1,Conservative,1444683877.80095,Gas_CC
C1,Advanced,138756580.916185,Gas_CT
C1,Moderate,138756580.916185,Gas_CT
C1,Conservative,138756580.916185,Gas_CT
C1,Advanced,168825099.405106,Oil
C1,Moderate,168825099.405106,Oil
C1,Conservative,168825099.405106,Oil
C2,Advanced,359072205.297236,Coal
C2,Moderate,362438991.851885,Coal
C2,Conservative,365833347.699929,Coal
C2,Advanced,69410748.3121814,Wood
C2,Moderate,69410748.3121814,Wood
C2,Conservative,69410748.3121814,Wood
C2,Advanced,1608944900.12146,Gas_CC
C2,Moderate,1622737593.9687,Gas_CC
C2,Conservative,1636409402.17258,Gas_CC
C2,Advanced,129392900.440999,Gas_CT
C2,Moderate,129392900.440999,Gas_CT
C2,Conservative,129392900.440999,Gas_CT
C2,Advanced,151845448.201001,Oil
C2,Moderate,151845448.201001,Oil
C2,Conservative,151845448.201001,Oil
C3,Advanced,352008213.915406,Coal
C3,Moderate,355301441.544334,Coal
C3,Conservative,358621578.700335,Coal
C3,Advanced,65164590.9882652,Wood
C3,Moderate,65164590.9882652,Wood
C3,Conservative,65164590.9882652,Wood
C3,Advanced,1307958161.17666,Gas_CC
C3,Moderate,1318853980.15929,Gas_CC
C3,Conservative,1329621087.39711,Gas_CC
C3,Advanced,113418140.472247,Gas_CT
C3,Moderate,113418140.472247,Gas_CT
C3,Conservative,113418140.472247,Gas_CT
C3,Advanced,143528799.050164,Oil
C3,Moderate,143528799.050164,Oil
C3,Conservative,143528799.050164,Oil
D,Advanced,1348295633.41945,Coal
D,Moderate,1384666086.82172,Coal
D,Conservative,1421081398.41197,Coal
D,Advanced,123755827.547242,Wood
D,Moderate,123755827.547242,Wood
D,Conservative,123755827.547242,Wood
D,Advanced,5184874371.92901,Gas_CC
D,Moderate,5258982678.13676,Gas_CC
D,Conservative,5333204714.6745,Gas_CC
D,Advanced,319711313.880459,Gas_CT
D,Moderate,319711313.880459,Gas_CT
D,Conservative,319711313.880459,Gas_CT
D,Advanced,638256574.827823,Oil
D,Moderate,638256574.827823,Oil
D,Conservative,638256574.827823,Oil
