"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1","A","Advanced",862173476.793197,"Nuclear"
"1","A","Moderate",1270571439.48471,"Nuclear"
"1","A","Conservative",1542836747.94572,"Nuclear"
"1","A","Advanced",236186346.398384,"Biomass"
"1","A","Moderate",236186346.398384,"Biomass"
"1","A","Conservative",236186346.398384,"Biomass"
"1","B1","Advanced",862173476.793197,"Nuclear"
"1","B1","Moderate",1270571439.48471,"Nuclear"
"1","B1","Conservative",1542836747.94572,"Nuclear"
"1","B1","Advanced",236186346.398384,"Biomass"
"1","B1","Moderate",236186346.398384,"Biomass"
"1","B1","Conservative",236186346.398384,"Biomass"
"1","B2","Advanced",862173476.793197,"Nuclear"
"1","B2","Moderate",1270571439.48471,"Nuclear"
"1","B2","Conservative",1542836747.94572,"Nuclear"
"1","B2","Advanced",236186346.398384,"Biomass"
"1","B2","Moderate",236186346.398384,"Biomass"
"1","B2","Conservative",236186346.398384,"Biomass"
"1","B3","Advanced",862173476.793197,"Nuclear"
"1","B3","Moderate",1270571439.48471,"Nuclear"
"1","B3","Conservative",1542836747.94572,"Nuclear"
"1","B3","Advanced",236186346.398384,"Biomass"
"1","B3","Moderate",236186346.398384,"Biomass"
"1","B3","Conservative",236186346.398384,"Biomass"
"1","C1","Advanced",862173476.793197,"Nuclear"
"1","C1","Moderate",1270571439.48471,"Nuclear"
"1","C1","Conservative",1542836747.94572,"Nuclear"
"1","C1","Advanced",5726116535.14185,"SMR"
"1","C1","Moderate",6767228632.44037,"SMR"
"1","C1","Conservative",7287784681.08963,"SMR"
"1","C1","Advanced",236186346.398384,"Biomass"
"1","C1","Moderate",236186346.398384,"Biomass"
"1","C1","Conservative",236186346.398384,"Biomass"
"1","C2","Advanced",862173476.793197,"Nuclear"
"1","C2","Moderate",1270571439.48471,"Nuclear"
"1","C2","Conservative",1542836747.94572,"Nuclear"
"1","C2","Advanced",741895635.103281,"SMR"
"1","C2","Moderate",876785750.576605,"SMR"
"1","C2","Conservative",944230808.313267,"SMR"
"1","C2","Advanced",236186346.398384,"Biomass"
"1","C2","Moderate",236186346.398384,"Biomass"
"1","C2","Conservative",236186346.398384,"Biomass"
"1","C3","Advanced",862173476.793197,"Nuclear"
"1","C3","Moderate",1270571439.48471,"Nuclear"
"1","C3","Conservative",1542836747.94572,"Nuclear"
"1","C3","Advanced",476162381.833683,"SMR"
"1","C3","Moderate",562737360.348898,"SMR"
"1","C3","Conservative",606024849.606505,"SMR"
"1","C3","Advanced",236186346.398384,"Biomass"
"1","C3","Moderate",236186346.398384,"Biomass"
"1","C3","Conservative",236186346.398384,"Biomass"
"1","D","Advanced",862173476.793197,"Nuclear"
"1","D","Moderate",1270571439.48471,"Nuclear"
"1","D","Conservative",1542836747.94572,"Nuclear"
"1","D","Advanced",236186346.398384,"Biomass"
"1","D","Moderate",236186346.398384,"Biomass"
"1","D","Conservative",236186346.398384,"Biomass"
"10","A","Advanced",862173476.793197,"Nuclear"
"10","A","Moderate",1270571439.48471,"Nuclear"
"10","A","Conservative",1542836747.94572,"Nuclear"
"10","A","Advanced",236186346.398384,"Biomass"
"10","A","Moderate",236186346.398384,"Biomass"
"10","A","Conservative",236186346.398384,"Biomass"
"10","B1","Advanced",862173476.793197,"Nuclear"
"10","B1","Moderate",1270571439.48471,"Nuclear"
"10","B1","Conservative",1542836747.94572,"Nuclear"
"10","B1","Advanced",236186346.398384,"Biomass"
"10","B1","Moderate",236186346.398384,"Biomass"
"10","B1","Conservative",236186346.398384,"Biomass"
"10","B2","Advanced",862173476.793197,"Nuclear"
"10","B2","Moderate",1270571439.48471,"Nuclear"
"10","B2","Conservative",1542836747.94572,"Nuclear"
"10","B2","Advanced",236186346.398384,"Biomass"
"10","B2","Moderate",236186346.398384,"Biomass"
"10","B2","Conservative",236186346.398384,"Biomass"
"10","B3","Advanced",862173476.793197,"Nuclear"
"10","B3","Moderate",1270571439.48471,"Nuclear"
"10","B3","Conservative",1542836747.94572,"Nuclear"
"10","B3","Advanced",236186346.398384,"Biomass"
"10","B3","Moderate",236186346.398384,"Biomass"
"10","B3","Conservative",236186346.398384,"Biomass"
"10","C1","Advanced",862173476.793197,"Nuclear"
"10","C1","Moderate",1270571439.48471,"Nuclear"
"10","C1","Conservative",1542836747.94572,"Nuclear"
"10","C1","Advanced",5726116535.14185,"SMR"
"10","C1","Moderate",6767228632.44037,"SMR"
"10","C1","Conservative",7287784681.08963,"SMR"
"10","C1","Advanced",236186346.398384,"Biomass"
"10","C1","Moderate",236186346.398384,"Biomass"
"10","C1","Conservative",236186346.398384,"Biomass"
"10","C2","Advanced",862173476.793197,"Nuclear"
"10","C2","Moderate",1270571439.48471,"Nuclear"
"10","C2","Conservative",1542836747.94572,"Nuclear"
"10","C2","Advanced",741895635.103281,"SMR"
"10","C2","Moderate",876785750.576605,"SMR"
"10","C2","Conservative",944230808.313267,"SMR"
"10","C2","Advanced",236186346.398384,"Biomass"
"10","C2","Moderate",236186346.398384,"Biomass"
"10","C2","Conservative",236186346.398384,"Biomass"
"10","C3","Advanced",862173476.793197,"Nuclear"
"10","C3","Moderate",1270571439.48471,"Nuclear"
"10","C3","Conservative",1542836747.94572,"Nuclear"
"10","C3","Advanced",476162381.833683,"SMR"
"10","C3","Moderate",562737360.348898,"SMR"
"10","C3","Conservative",606024849.606505,"SMR"
"10","C3","Advanced",236186346.398384,"Biomass"
"10","C3","Moderate",236186346.398384,"Biomass"
"10","C3","Conservative",236186346.398384,"Biomass"
"10","D","Advanced",862173476.793197,"Nuclear"
"10","D","Moderate",1270571439.48471,"Nuclear"
"10","D","Conservative",1542836747.94572,"Nuclear"
"10","D","Advanced",236186346.398384,"Biomass"
"10","D","Moderate",236186346.398384,"Biomass"
"10","D","Conservative",236186346.398384,"Biomass"
"100","A","Advanced",862173476.793197,"Nuclear"
"100","A","Moderate",1270571439.48471,"Nuclear"
"100","A","Conservative",1542836747.94572,"Nuclear"
"100","A","Advanced",236186346.398384,"Biomass"
"100","A","Moderate",236186346.398384,"Biomass"
"100","A","Conservative",236186346.398384,"Biomass"
"100","B1","Advanced",862173476.793197,"Nuclear"
"100","B1","Moderate",1270571439.48471,"Nuclear"
"100","B1","Conservative",1542836747.94572,"Nuclear"
"100","B1","Advanced",236186346.398384,"Biomass"
"100","B1","Moderate",236186346.398384,"Biomass"
"100","B1","Conservative",236186346.398384,"Biomass"
"100","B2","Advanced",862173476.793197,"Nuclear"
"100","B2","Moderate",1270571439.48471,"Nuclear"
"100","B2","Conservative",1542836747.94572,"Nuclear"
"100","B2","Advanced",236186346.398384,"Biomass"
"100","B2","Moderate",236186346.398384,"Biomass"
"100","B2","Conservative",236186346.398384,"Biomass"
"100","B3","Advanced",862173476.793197,"Nuclear"
"100","B3","Moderate",1270571439.48471,"Nuclear"
"100","B3","Conservative",1542836747.94572,"Nuclear"
"100","B3","Advanced",236186346.398384,"Biomass"
"100","B3","Moderate",236186346.398384,"Biomass"
"100","B3","Conservative",236186346.398384,"Biomass"
"100","C1","Advanced",862173476.793197,"Nuclear"
"100","C1","Moderate",1270571439.48471,"Nuclear"
"100","C1","Conservative",1542836747.94572,"Nuclear"
"100","C1","Advanced",5726116535.14185,"SMR"
"100","C1","Moderate",6767228632.44037,"SMR"
"100","C1","Conservative",7287784681.08963,"SMR"
"100","C1","Advanced",236186346.398384,"Biomass"
"100","C1","Moderate",236186346.398384,"Biomass"
"100","C1","Conservative",236186346.398384,"Biomass"
"100","C2","Advanced",862173476.793197,"Nuclear"
"100","C2","Moderate",1270571439.48471,"Nuclear"
"100","C2","Conservative",1542836747.94572,"Nuclear"
"100","C2","Advanced",741895635.103281,"SMR"
"100","C2","Moderate",876785750.576605,"SMR"
"100","C2","Conservative",944230808.313267,"SMR"
"100","C2","Advanced",236186346.398384,"Biomass"
"100","C2","Moderate",236186346.398384,"Biomass"
"100","C2","Conservative",236186346.398384,"Biomass"
"100","C3","Advanced",862173476.793197,"Nuclear"
"100","C3","Moderate",1270571439.48471,"Nuclear"
"100","C3","Conservative",1542836747.94572,"Nuclear"
"100","C3","Advanced",476162381.833683,"SMR"
"100","C3","Moderate",562737360.348898,"SMR"
"100","C3","Conservative",606024849.606505,"SMR"
"100","C3","Advanced",236186346.398384,"Biomass"
"100","C3","Moderate",236186346.398384,"Biomass"
"100","C3","Conservative",236186346.398384,"Biomass"
"100","D","Advanced",862173476.793197,"Nuclear"
"100","D","Moderate",1270571439.48471,"Nuclear"
"100","D","Conservative",1542836747.94572,"Nuclear"
"100","D","Advanced",236186346.398384,"Biomass"
"100","D","Moderate",236186346.398384,"Biomass"
"100","D","Conservative",236186346.398384,"Biomass"
"1000","A","Advanced",862173476.793197,"Nuclear"
"1000","A","Moderate",1270571439.48471,"Nuclear"
"1000","A","Conservative",1542836747.94572,"Nuclear"
"1000","A","Advanced",236186346.398384,"Biomass"
"1000","A","Moderate",236186346.398384,"Biomass"
"1000","A","Conservative",236186346.398384,"Biomass"
"1000","B1","Advanced",862173476.793197,"Nuclear"
"1000","B1","Moderate",1270571439.48471,"Nuclear"
"1000","B1","Conservative",1542836747.94572,"Nuclear"
"1000","B1","Advanced",236186346.398384,"Biomass"
"1000","B1","Moderate",236186346.398384,"Biomass"
"1000","B1","Conservative",236186346.398384,"Biomass"
"1000","B2","Advanced",862173476.793197,"Nuclear"
"1000","B2","Moderate",1270571439.48471,"Nuclear"
"1000","B2","Conservative",1542836747.94572,"Nuclear"
"1000","B2","Advanced",236186346.398384,"Biomass"
"1000","B2","Moderate",236186346.398384,"Biomass"
"1000","B2","Conservative",236186346.398384,"Biomass"
"1000","B3","Advanced",862173476.793197,"Nuclear"
"1000","B3","Moderate",1270571439.48471,"Nuclear"
"1000","B3","Conservative",1542836747.94572,"Nuclear"
"1000","B3","Advanced",236186346.398384,"Biomass"
"1000","B3","Moderate",236186346.398384,"Biomass"
"1000","B3","Conservative",236186346.398384,"Biomass"
"1000","C1","Advanced",862173476.793197,"Nuclear"
"1000","C1","Moderate",1270571439.48471,"Nuclear"
"1000","C1","Conservative",1542836747.94572,"Nuclear"
"1000","C1","Advanced",5726116535.14185,"SMR"
"1000","C1","Moderate",6767228632.44037,"SMR"
"1000","C1","Conservative",7287784681.08963,"SMR"
"1000","C1","Advanced",236186346.398384,"Biomass"
"1000","C1","Moderate",236186346.398384,"Biomass"
"1000","C1","Conservative",236186346.398384,"Biomass"
"1000","C2","Advanced",862173476.793197,"Nuclear"
"1000","C2","Moderate",1270571439.48471,"Nuclear"
"1000","C2","Conservative",1542836747.94572,"Nuclear"
"1000","C2","Advanced",741895635.103281,"SMR"
"1000","C2","Moderate",876785750.576605,"SMR"
"1000","C2","Conservative",944230808.313267,"SMR"
"1000","C2","Advanced",236186346.398384,"Biomass"
"1000","C2","Moderate",236186346.398384,"Biomass"
"1000","C2","Conservative",236186346.398384,"Biomass"
"1000","C3","Advanced",862173476.793197,"Nuclear"
"1000","C3","Moderate",1270571439.48471,"Nuclear"
"1000","C3","Conservative",1542836747.94572,"Nuclear"
"1000","C3","Advanced",476162381.833683,"SMR"
"1000","C3","Moderate",562737360.348898,"SMR"
"1000","C3","Conservative",606024849.606505,"SMR"
"1000","C3","Advanced",236186346.398384,"Biomass"
"1000","C3","Moderate",236186346.398384,"Biomass"
"1000","C3","Conservative",236186346.398384,"Biomass"
"1000","D","Advanced",862173476.793197,"Nuclear"
"1000","D","Moderate",1270571439.48471,"Nuclear"
"1000","D","Conservative",1542836747.94572,"Nuclear"
"1000","D","Advanced",236186346.398384,"Biomass"
"1000","D","Moderate",236186346.398384,"Biomass"
"1000","D","Conservative",236186346.398384,"Biomass"
"1001","A","Advanced",862173476.793197,"Nuclear"
"1001","A","Moderate",1270571439.48471,"Nuclear"
"1001","A","Conservative",1542836747.94572,"Nuclear"
"1001","A","Advanced",236186346.398384,"Biomass"
"1001","A","Moderate",236186346.398384,"Biomass"
"1001","A","Conservative",236186346.398384,"Biomass"
"1001","B1","Advanced",862173476.793197,"Nuclear"
"1001","B1","Moderate",1270571439.48471,"Nuclear"
"1001","B1","Conservative",1542836747.94572,"Nuclear"
"1001","B1","Advanced",236186346.398384,"Biomass"
"1001","B1","Moderate",236186346.398384,"Biomass"
"1001","B1","Conservative",236186346.398384,"Biomass"
"1001","B2","Advanced",862173476.793197,"Nuclear"
"1001","B2","Moderate",1270571439.48471,"Nuclear"
"1001","B2","Conservative",1542836747.94572,"Nuclear"
"1001","B2","Advanced",236186346.398384,"Biomass"
"1001","B2","Moderate",236186346.398384,"Biomass"
"1001","B2","Conservative",236186346.398384,"Biomass"
"1001","B3","Advanced",862173476.793197,"Nuclear"
"1001","B3","Moderate",1270571439.48471,"Nuclear"
"1001","B3","Conservative",1542836747.94572,"Nuclear"
"1001","B3","Advanced",236186346.398384,"Biomass"
"1001","B3","Moderate",236186346.398384,"Biomass"
"1001","B3","Conservative",236186346.398384,"Biomass"
"1001","C1","Advanced",862173476.793197,"Nuclear"
"1001","C1","Moderate",1270571439.48471,"Nuclear"
"1001","C1","Conservative",1542836747.94572,"Nuclear"
"1001","C1","Advanced",5726116535.14185,"SMR"
"1001","C1","Moderate",6767228632.44037,"SMR"
"1001","C1","Conservative",7287784681.08963,"SMR"
"1001","C1","Advanced",236186346.398384,"Biomass"
"1001","C1","Moderate",236186346.398384,"Biomass"
"1001","C1","Conservative",236186346.398384,"Biomass"
"1001","C2","Advanced",862173476.793197,"Nuclear"
"1001","C2","Moderate",1270571439.48471,"Nuclear"
"1001","C2","Conservative",1542836747.94572,"Nuclear"
"1001","C2","Advanced",741895635.103281,"SMR"
"1001","C2","Moderate",876785750.576605,"SMR"
"1001","C2","Conservative",944230808.313267,"SMR"
"1001","C2","Advanced",236186346.398384,"Biomass"
"1001","C2","Moderate",236186346.398384,"Biomass"
"1001","C2","Conservative",236186346.398384,"Biomass"
"1001","C3","Advanced",862173476.793197,"Nuclear"
"1001","C3","Moderate",1270571439.48471,"Nuclear"
"1001","C3","Conservative",1542836747.94572,"Nuclear"
"1001","C3","Advanced",476162381.833683,"SMR"
"1001","C3","Moderate",562737360.348898,"SMR"
"1001","C3","Conservative",606024849.606505,"SMR"
"1001","C3","Advanced",236186346.398384,"Biomass"
"1001","C3","Moderate",236186346.398384,"Biomass"
"1001","C3","Conservative",236186346.398384,"Biomass"
"1001","D","Advanced",862173476.793197,"Nuclear"
"1001","D","Moderate",1270571439.48471,"Nuclear"
"1001","D","Conservative",1542836747.94572,"Nuclear"
"1001","D","Advanced",236186346.398384,"Biomass"
"1001","D","Moderate",236186346.398384,"Biomass"
"1001","D","Conservative",236186346.398384,"Biomass"
"1002","A","Advanced",862173476.793197,"Nuclear"
"1002","A","Moderate",1270571439.48471,"Nuclear"
"1002","A","Conservative",1542836747.94572,"Nuclear"
"1002","A","Advanced",236186346.398384,"Biomass"
"1002","A","Moderate",236186346.398384,"Biomass"
"1002","A","Conservative",236186346.398384,"Biomass"
"1002","B1","Advanced",862173476.793197,"Nuclear"
"1002","B1","Moderate",1270571439.48471,"Nuclear"
"1002","B1","Conservative",1542836747.94572,"Nuclear"
"1002","B1","Advanced",236186346.398384,"Biomass"
"1002","B1","Moderate",236186346.398384,"Biomass"
"1002","B1","Conservative",236186346.398384,"Biomass"
"1002","B2","Advanced",862173476.793197,"Nuclear"
"1002","B2","Moderate",1270571439.48471,"Nuclear"
"1002","B2","Conservative",1542836747.94572,"Nuclear"
"1002","B2","Advanced",236186346.398384,"Biomass"
"1002","B2","Moderate",236186346.398384,"Biomass"
"1002","B2","Conservative",236186346.398384,"Biomass"
"1002","B3","Advanced",862173476.793197,"Nuclear"
"1002","B3","Moderate",1270571439.48471,"Nuclear"
"1002","B3","Conservative",1542836747.94572,"Nuclear"
"1002","B3","Advanced",236186346.398384,"Biomass"
"1002","B3","Moderate",236186346.398384,"Biomass"
"1002","B3","Conservative",236186346.398384,"Biomass"
"1002","C1","Advanced",862173476.793197,"Nuclear"
"1002","C1","Moderate",1270571439.48471,"Nuclear"
"1002","C1","Conservative",1542836747.94572,"Nuclear"
"1002","C1","Advanced",5726116535.14185,"SMR"
"1002","C1","Moderate",6767228632.44037,"SMR"
"1002","C1","Conservative",7287784681.08963,"SMR"
"1002","C1","Advanced",236186346.398384,"Biomass"
"1002","C1","Moderate",236186346.398384,"Biomass"
"1002","C1","Conservative",236186346.398384,"Biomass"
"1002","C2","Advanced",862173476.793197,"Nuclear"
"1002","C2","Moderate",1270571439.48471,"Nuclear"
"1002","C2","Conservative",1542836747.94572,"Nuclear"
"1002","C2","Advanced",741895635.103281,"SMR"
"1002","C2","Moderate",876785750.576605,"SMR"
"1002","C2","Conservative",944230808.313267,"SMR"
"1002","C2","Advanced",236186346.398384,"Biomass"
"1002","C2","Moderate",236186346.398384,"Biomass"
"1002","C2","Conservative",236186346.398384,"Biomass"
"1002","C3","Advanced",862173476.793197,"Nuclear"
"1002","C3","Moderate",1270571439.48471,"Nuclear"
"1002","C3","Conservative",1542836747.94572,"Nuclear"
"1002","C3","Advanced",476162381.833683,"SMR"
"1002","C3","Moderate",562737360.348898,"SMR"
"1002","C3","Conservative",606024849.606505,"SMR"
"1002","C3","Advanced",236186346.398384,"Biomass"
"1002","C3","Moderate",236186346.398384,"Biomass"
"1002","C3","Conservative",236186346.398384,"Biomass"
"1002","D","Advanced",862173476.793197,"Nuclear"
"1002","D","Moderate",1270571439.48471,"Nuclear"
"1002","D","Conservative",1542836747.94572,"Nuclear"
"1002","D","Advanced",236186346.398384,"Biomass"
"1002","D","Moderate",236186346.398384,"Biomass"
"1002","D","Conservative",236186346.398384,"Biomass"
"1003","A","Advanced",862173476.793197,"Nuclear"
"1003","A","Moderate",1270571439.48471,"Nuclear"
"1003","A","Conservative",1542836747.94572,"Nuclear"
"1003","A","Advanced",236186346.398384,"Biomass"
"1003","A","Moderate",236186346.398384,"Biomass"
"1003","A","Conservative",236186346.398384,"Biomass"
"1003","B1","Advanced",862173476.793197,"Nuclear"
"1003","B1","Moderate",1270571439.48471,"Nuclear"
"1003","B1","Conservative",1542836747.94572,"Nuclear"
"1003","B1","Advanced",236186346.398384,"Biomass"
"1003","B1","Moderate",236186346.398384,"Biomass"
"1003","B1","Conservative",236186346.398384,"Biomass"
"1003","B2","Advanced",862173476.793197,"Nuclear"
"1003","B2","Moderate",1270571439.48471,"Nuclear"
"1003","B2","Conservative",1542836747.94572,"Nuclear"
"1003","B2","Advanced",236186346.398384,"Biomass"
"1003","B2","Moderate",236186346.398384,"Biomass"
"1003","B2","Conservative",236186346.398384,"Biomass"
"1003","B3","Advanced",862173476.793197,"Nuclear"
"1003","B3","Moderate",1270571439.48471,"Nuclear"
"1003","B3","Conservative",1542836747.94572,"Nuclear"
"1003","B3","Advanced",236186346.398384,"Biomass"
"1003","B3","Moderate",236186346.398384,"Biomass"
"1003","B3","Conservative",236186346.398384,"Biomass"
"1003","C1","Advanced",862173476.793197,"Nuclear"
"1003","C1","Moderate",1270571439.48471,"Nuclear"
"1003","C1","Conservative",1542836747.94572,"Nuclear"
"1003","C1","Advanced",5726116535.14185,"SMR"
"1003","C1","Moderate",6767228632.44037,"SMR"
"1003","C1","Conservative",7287784681.08963,"SMR"
"1003","C1","Advanced",236186346.398384,"Biomass"
"1003","C1","Moderate",236186346.398384,"Biomass"
"1003","C1","Conservative",236186346.398384,"Biomass"
"1003","C2","Advanced",862173476.793197,"Nuclear"
"1003","C2","Moderate",1270571439.48471,"Nuclear"
"1003","C2","Conservative",1542836747.94572,"Nuclear"
"1003","C2","Advanced",741895635.103281,"SMR"
"1003","C2","Moderate",876785750.576605,"SMR"
"1003","C2","Conservative",944230808.313267,"SMR"
"1003","C2","Advanced",236186346.398384,"Biomass"
"1003","C2","Moderate",236186346.398384,"Biomass"
"1003","C2","Conservative",236186346.398384,"Biomass"
"1003","C3","Advanced",862173476.793197,"Nuclear"
"1003","C3","Moderate",1270571439.48471,"Nuclear"
"1003","C3","Conservative",1542836747.94572,"Nuclear"
"1003","C3","Advanced",476162381.833683,"SMR"
"1003","C3","Moderate",562737360.348898,"SMR"
"1003","C3","Conservative",606024849.606505,"SMR"
"1003","C3","Advanced",236186346.398384,"Biomass"
"1003","C3","Moderate",236186346.398384,"Biomass"
"1003","C3","Conservative",236186346.398384,"Biomass"
"1003","D","Advanced",862173476.793197,"Nuclear"
"1003","D","Moderate",1270571439.48471,"Nuclear"
"1003","D","Conservative",1542836747.94572,"Nuclear"
"1003","D","Advanced",236186346.398384,"Biomass"
"1003","D","Moderate",236186346.398384,"Biomass"
"1003","D","Conservative",236186346.398384,"Biomass"
"1004","A","Advanced",862173476.793197,"Nuclear"
"1004","A","Moderate",1270571439.48471,"Nuclear"
"1004","A","Conservative",1542836747.94572,"Nuclear"
"1004","A","Advanced",236186346.398384,"Biomass"
"1004","A","Moderate",236186346.398384,"Biomass"
"1004","A","Conservative",236186346.398384,"Biomass"
"1004","B1","Advanced",862173476.793197,"Nuclear"
"1004","B1","Moderate",1270571439.48471,"Nuclear"
"1004","B1","Conservative",1542836747.94572,"Nuclear"
"1004","B1","Advanced",236186346.398384,"Biomass"
"1004","B1","Moderate",236186346.398384,"Biomass"
"1004","B1","Conservative",236186346.398384,"Biomass"
"1004","B2","Advanced",862173476.793197,"Nuclear"
"1004","B2","Moderate",1270571439.48471,"Nuclear"
"1004","B2","Conservative",1542836747.94572,"Nuclear"
"1004","B2","Advanced",236186346.398384,"Biomass"
"1004","B2","Moderate",236186346.398384,"Biomass"
"1004","B2","Conservative",236186346.398384,"Biomass"
"1004","B3","Advanced",862173476.793197,"Nuclear"
"1004","B3","Moderate",1270571439.48471,"Nuclear"
"1004","B3","Conservative",1542836747.94572,"Nuclear"
"1004","B3","Advanced",236186346.398384,"Biomass"
"1004","B3","Moderate",236186346.398384,"Biomass"
"1004","B3","Conservative",236186346.398384,"Biomass"
"1004","C1","Advanced",862173476.793197,"Nuclear"
"1004","C1","Moderate",1270571439.48471,"Nuclear"
"1004","C1","Conservative",1542836747.94572,"Nuclear"
"1004","C1","Advanced",5726116535.14185,"SMR"
"1004","C1","Moderate",6767228632.44037,"SMR"
"1004","C1","Conservative",7287784681.08963,"SMR"
"1004","C1","Advanced",236186346.398384,"Biomass"
"1004","C1","Moderate",236186346.398384,"Biomass"
"1004","C1","Conservative",236186346.398384,"Biomass"
"1004","C2","Advanced",862173476.793197,"Nuclear"
"1004","C2","Moderate",1270571439.48471,"Nuclear"
"1004","C2","Conservative",1542836747.94572,"Nuclear"
"1004","C2","Advanced",741895635.103281,"SMR"
"1004","C2","Moderate",876785750.576605,"SMR"
"1004","C2","Conservative",944230808.313267,"SMR"
"1004","C2","Advanced",236186346.398384,"Biomass"
"1004","C2","Moderate",236186346.398384,"Biomass"
"1004","C2","Conservative",236186346.398384,"Biomass"
"1004","C3","Advanced",862173476.793197,"Nuclear"
"1004","C3","Moderate",1270571439.48471,"Nuclear"
"1004","C3","Conservative",1542836747.94572,"Nuclear"
"1004","C3","Advanced",476162381.833683,"SMR"
"1004","C3","Moderate",562737360.348898,"SMR"
"1004","C3","Conservative",606024849.606505,"SMR"
"1004","C3","Advanced",236186346.398384,"Biomass"
"1004","C3","Moderate",236186346.398384,"Biomass"
"1004","C3","Conservative",236186346.398384,"Biomass"
"1004","D","Advanced",862173476.793197,"Nuclear"
"1004","D","Moderate",1270571439.48471,"Nuclear"
"1004","D","Conservative",1542836747.94572,"Nuclear"
"1004","D","Advanced",236186346.398384,"Biomass"
"1004","D","Moderate",236186346.398384,"Biomass"
"1004","D","Conservative",236186346.398384,"Biomass"
"1005","A","Advanced",862173476.793197,"Nuclear"
"1005","A","Moderate",1270571439.48471,"Nuclear"
"1005","A","Conservative",1542836747.94572,"Nuclear"
"1005","A","Advanced",236186346.398384,"Biomass"
"1005","A","Moderate",236186346.398384,"Biomass"
"1005","A","Conservative",236186346.398384,"Biomass"
"1005","B1","Advanced",862173476.793197,"Nuclear"
"1005","B1","Moderate",1270571439.48471,"Nuclear"
"1005","B1","Conservative",1542836747.94572,"Nuclear"
"1005","B1","Advanced",236186346.398384,"Biomass"
"1005","B1","Moderate",236186346.398384,"Biomass"
"1005","B1","Conservative",236186346.398384,"Biomass"
"1005","B2","Advanced",862173476.793197,"Nuclear"
"1005","B2","Moderate",1270571439.48471,"Nuclear"
"1005","B2","Conservative",1542836747.94572,"Nuclear"
"1005","B2","Advanced",236186346.398384,"Biomass"
"1005","B2","Moderate",236186346.398384,"Biomass"
"1005","B2","Conservative",236186346.398384,"Biomass"
"1005","B3","Advanced",862173476.793197,"Nuclear"
"1005","B3","Moderate",1270571439.48471,"Nuclear"
"1005","B3","Conservative",1542836747.94572,"Nuclear"
"1005","B3","Advanced",236186346.398384,"Biomass"
"1005","B3","Moderate",236186346.398384,"Biomass"
"1005","B3","Conservative",236186346.398384,"Biomass"
"1005","C1","Advanced",862173476.793197,"Nuclear"
"1005","C1","Moderate",1270571439.48471,"Nuclear"
"1005","C1","Conservative",1542836747.94572,"Nuclear"
"1005","C1","Advanced",5726116535.14185,"SMR"
"1005","C1","Moderate",6767228632.44037,"SMR"
"1005","C1","Conservative",7287784681.08963,"SMR"
"1005","C1","Advanced",236186346.398384,"Biomass"
"1005","C1","Moderate",236186346.398384,"Biomass"
"1005","C1","Conservative",236186346.398384,"Biomass"
"1005","C2","Advanced",862173476.793197,"Nuclear"
"1005","C2","Moderate",1270571439.48471,"Nuclear"
"1005","C2","Conservative",1542836747.94572,"Nuclear"
"1005","C2","Advanced",741895635.103281,"SMR"
"1005","C2","Moderate",876785750.576605,"SMR"
"1005","C2","Conservative",944230808.313267,"SMR"
"1005","C2","Advanced",236186346.398384,"Biomass"
"1005","C2","Moderate",236186346.398384,"Biomass"
"1005","C2","Conservative",236186346.398384,"Biomass"
"1005","C3","Advanced",862173476.793197,"Nuclear"
"1005","C3","Moderate",1270571439.48471,"Nuclear"
"1005","C3","Conservative",1542836747.94572,"Nuclear"
"1005","C3","Advanced",476162381.833683,"SMR"
"1005","C3","Moderate",562737360.348898,"SMR"
"1005","C3","Conservative",606024849.606505,"SMR"
"1005","C3","Advanced",236186346.398384,"Biomass"
"1005","C3","Moderate",236186346.398384,"Biomass"
