Simulation,Pathway,NPV
1,A,1352445606.43003
1,B1,654779932.958809
1,B2,747674633.401534
1,B3,651004989.473028
1,C1,602775620.930978
1,C2,702779339.029537
1,C3,614808267.362196
1,D,1275956768.72082
10,A,1353738794.69815
10,B1,644216092.558923
10,B2,738773384.232746
10,B3,640335194.430449
10,C1,596834639.954854
10,C2,692329122.545714
10,C3,604024382.972141
10,D,1265880613.89387
100,A,1353060265.31497
100,B1,661806487.86457
100,B2,756609309.259798
100,B3,657642418.319326
100,C1,603724533.392347
100,C2,708277843.286765
100,C3,621121471.193079
100,D,1287939458.25288
1000,A,1364599009.88311
1000,B1,634424528.32972
1000,B2,730809757.496823
1000,B3,631283031.645855
1000,C1,593426142.576282
1000,C2,683096740.615567
1000,C3,596299843.651661
1000,D,1266798054.41412
1001,A,1340623041.71696
1001,B1,661425466.886486
1001,B2,757122215.588294
1001,B3,656276171.700907
1001,C1,603074536.621371
1001,C2,709594667.625523
1001,C3,620054461.143273
1001,D,1277599642.15578
1002,A,1358509465.51115
1002,B1,645471128.228366
1002,B2,740266997.826445
1002,B3,641441090.523893
1002,C1,595251288.785931
1002,C2,693965599.309896
1002,C3,605800502.444344
1002,D,1267149290.10549
1003,A,1361468214.33785
1003,B1,631077344.622701
1003,B2,727053089.121767
1003,B3,627720290.488674
1003,C1,589386504.001257
1003,C2,679723453.289428
1003,C3,592705216.833719
1003,D,1256652453.89821
1004,A,1356412707.84038
1004,B1,648394255.591646
1004,B2,743329179.578711
1004,B3,644399207.154618
1004,C1,598903693.326709
1004,C2,696609026.678394
1004,C3,608126583.602951
1004,D,1273649582.07914
1005,A,1354607942.42601
1005,B1,638479376.100077
1005,B2,730768954.488847
1005,B3,634684699.758257
1005,C1,592879453.122618
1005,C2,685664232.896048
1005,C3,598656490.570171
1005,D,1265358022.47901
1006,A,1358500049.21045
1006,B1,640156735.688193
1006,B2,734745890.446315
1006,B3,637109821.473636
1006,C1,593696704.41518
1006,C2,687671841.055721
1006,C3,601345827.907725
1006,D,1267752642.33798
1007,A,1359979919.74469
1007,B1,638943288.394789
1007,B2,734416743.726013
1007,B3,635299890.395017
1007,C1,594615703.117125
1007,C2,688150465.584671
1007,C3,599692672.225518
1007,D,1268188473.2788
1008,A,1354055064.1452
1008,B1,647702885.788522
1008,B2,741650568.197551
1008,B3,643117670.025025
1008,C1,596707944.047799
1008,C2,695306565.849178
1008,C3,607340378.359607
1008,D,1270897376.49104
1009,A,1359200472.24444
1009,B1,645479582.506745
1009,B2,738238735.840108
1009,B3,641534245.004749
1009,C1,601924749.290248
1009,C2,693290404.243934
1009,C3,605588008.768304
1009,D,1276693219.48355
101,A,1351631378.78906
101,B1,654677318.893264
101,B2,750054636.433974
101,B3,650743135.661493
101,C1,601839171.702916
101,C2,702588556.048202
101,C3,613687412.222689
101,D,1273909627.42068
1010,A,1345892851.82569
1010,B1,667581173.128627
1010,B2,763684370.605559
1010,B3,662902523.510129
1010,C1,606929869.807764
1010,C2,713404128.55161
1010,C3,625795221.652961
1010,D,1286773774.38661
102,A,1355549678.30461
102,B1,642637979.432942
102,B2,739410560.62286
102,B3,637539901.513561
102,C1,593464584.630605
102,C2,690420438.063344
102,C3,602826696.018531
102,D,1266347150.41912
103,A,1349479757.38542
103,B1,656189532.307552
103,B2,752076954.942614
103,B3,652932019.585095
103,C1,604685074.502838
103,C2,703641672.538772
103,C3,616272135.377038
103,D,1281237300.94144
104,A,1358618423.08109
104,B1,649229892.912074
104,B2,744981363.220706
104,B3,643350864.769561
104,C1,597591421.42017
104,C2,696391460.342736
104,C3,607040881.367035
104,D,1269037625.91285
105,A,1352218616.69337
105,B1,646341721.949546
105,B2,742122641.756517
105,B3,642860076.565855
105,C1,597289169.189515
105,C2,694775902.189404
105,C3,606648636.700091
105,D,1270052583.78585
106,A,1346082969.99604
106,B1,658500205.189699
106,B2,752948868.758133
106,B3,654428392.287402
106,C1,603177394.3214
106,C2,705992148.33412
106,C3,617948354.571605
106,D,1279598648.68817
107,A,1347507577.27825
107,B1,650986239.244045
107,B2,744408088.217849
107,B3,646587738.085995
107,C1,600352187.953479
107,C2,698096883.525139
107,C3,611250402.247346
107,D,1279051057.1765
108,A,1359466576.39439
108,B1,645346066.711574
108,B2,738183054.045943
108,B3,641732592.802998
108,C1,597384667.270067
108,C2,693500745.763076
108,C3,605955363.700501
108,D,1269741069.84858
109,A,1363029182.27449
109,B1,650641996.885009
109,B2,745830513.825242
109,B3,645929012.746906
109,C1,598686412.241802
109,C2,698450007.633336
109,C3,609568917.310474
109,D,1274781800.91865
11,A,1357298087.37122
11,B1,662729993.897661
11,B2,760754808.272767
11,B3,658543297.076389
11,C1,604343696.487567
11,C2,711052456.640392
11,C3,621789232.54768
11,D,1282550204.58956
110,A,1361249629.05516
110,B1,630091724.174124
110,B2,724475444.363233
110,B3,626330787.129153
110,C1,590965961.68112
110,C2,678715167.156241
110,C3,591158495.405425
110,D,1260892790.18116
111,A,1346544480.56176
111,B1,652588500.126047
111,B2,747312084.420435
111,B3,649041766.858631
111,C1,599368684.817919
111,C2,700751257.135606
111,C3,611884746.314087
111,D,1274381022.16983
112,A,1355257296.78908
112,B1,644999244.824853
112,B2,739846876.626571
112,B3,640729753.209332
112,C1,593825432.018686
112,C2,692932406.502307
112,C3,604792920.435159
112,D,1268226660.73129
113,A,1337086032.83566
113,B1,671802197.288258
113,B2,766412858.539634
113,B3,667032626.088214
113,C1,611063323.094597
113,C2,717420096.022582
113,C3,629401431.197079
113,D,1286047508.31757
114,A,1343904753.86465
114,B1,658262200.940454
114,B2,754047555.982947
114,B3,653970556.824296
114,C1,601792197.126121
114,C2,705885469.344225
114,C3,617693262.157435
114,D,1279104496.07923
115,A,1353554381.39491
115,B1,652051860.705443
115,B2,747177076.811127
115,B3,647422312.202019
115,C1,599345528.856567
115,C2,699324433.199905
115,C3,610573126.357933
115,D,1276034803.29787
116,A,1352325617.52013
116,B1,652101112.925627
116,B2,745914663.755889
116,B3,647943830.153654
116,C1,600307912.742983
116,C2,699738663.061272
116,C3,611860190.967239
116,D,1277078742.36303
117,A,1356173044.9394
117,B1,643521280.616208
117,B2,738690876.44426
117,B3,638667801.12072
117,C1,595442271.400702
117,C2,690353899.097757
117,C3,603792126.957528
117,D,1266085685.0501
118,A,1356059339.19973
118,B1,647402499.519049
118,B2,740214487.904428
118,B3,644049043.31641
118,C1,596542635.977846
118,C2,695038744.549371
118,C3,607460811.817401
118,D,1275485754.10235
119,A,1351603875.20844
119,B1,645710156.144822
119,B2,742778411.089357
119,B3,641589965.174803
119,C1,595014747.645414
119,C2,694055462.289463
119,C3,605934345.34639
119,D,1272537812.17608
12,A,1350071690.91921
12,B1,647109255.870629
12,B2,742709838.942007
12,B3,644114724.957436
12,C1,598561060.330626
12,C2,695834941.123856
12,C3,607245589.334111
12,D,1272280161.88129
120,A,1344502766.38919
120,B1,660572730.177735
120,B2,757432817.103682
120,B3,656084402.205451
120,C1,603040400.944307
120,C2,707691615.69729
120,C3,620216625.630802
120,D,1278605880.64491
121,A,1354229588.69807
121,B1,640586470.768245
121,B2,733272168.83395
121,B3,637238382.931031
121,C1,594499363.216319
121,C2,688316643.56764
121,C3,601862304.068383
121,D,1268696550.20109
122,A,1351806981.31394
122,B1,640962123.28568
122,B2,735742519.156964
122,B3,636899086.55427
122,C1,596456606.488287
122,C2,689135496.524202
122,C3,601084254.644913
122,D,1270204118.69585
123,A,1358389875.35325
123,B1,635293518.82128
123,B2,729370932.745613
123,B3,630589962.159268
123,C1,592410493.555684
123,C2,683156962.641759
123,C3,595831252.692166
123,D,1262548806.19969
124,A,1352880338.6583
124,B1,644592530.200979
124,B2,739316476.158293
124,B3,640421897.903346
124,C1,597119597.610672
124,C2,693187657.364312
124,C3,605083174.903761
124,D,1268651287.31276
125,A,1358266293.66266
125,B1,647308425.778701
125,B2,742748168.180951
125,B3,642367724.231835
125,C1,596513527.893717
125,C2,694691180.992412
125,C3,607352398.98058
125,D,1270337858.99224
126,A,1364318568.83245
126,B1,637307000.489899
126,B2,734514902.784439
126,B3,633429174.179698
126,C1,595043927.949421
126,C2,686610042.060229
126,C3,597453315.130545
126,D,1268664858.56481
127,A,1344390160.62094
127,B1,668654433.680265
127,B2,766023001.526644
127,B3,663400793.289457
127,C1,604326620.718997
127,C2,715481458.243357
127,C3,625908199.854893
127,D,1279768697.56081
128,A,1353143954.95161
128,B1,648677275.48591
128,B2,742595246.4494
128,B3,644814529.796054
