Simulation,Pathway,NPV
1,D,281093326.7455
10,D,281093326.7455
100,D,281093326.7455
1000,D,281093326.7455
1001,D,281093326.7455
1002,D,281093326.7455
1003,D,281093326.7455
1004,D,281093326.7455
1005,D,281093326.7455
1006,D,281093326.7455
1007,D,281093326.7455
1008,D,281093326.7455
1009,D,281093326.7455
101,D,281093326.7455
1010,D,281093326.7455
102,D,281093326.7455
103,D,281093326.7455
104,D,281093326.7455
105,D,281093326.7455
106,D,281093326.7455
107,D,281093326.7455
108,D,281093326.7455
109,D,281093326.7455
11,D,281093326.7455
110,D,281093326.7455
294,D,281093326.7455
295,D,281093326.7455
296,D,281093326.7455
297,D,281093326.7455
298,D,281093326.7455
299,D,281093326.7455
3,D,281093326.7455
30,D,281093326.7455
300,D,281093326.7455
301,D,281093326.7455
302,D,281093326.7455
303,D,281093326.7455
304,D,281093326.7455
305,D,281093326.7455
306,D,281093326.7455
307,D,281093326.7455
308,D,281093326.7455
309,D,281093326.7455
31,D,281093326.7455
310,D,281093326.7455
311,D,281093326.7455
312,D,281093326.7455
313,D,281093326.7455
314,D,281093326.7455
315,D,281093326.7455
316,D,281093326.7455
317,D,281093326.7455
318,D,281093326.7455
319,D,281093326.7455
32,D,281093326.7455
320,D,281093326.7455
321,D,281093326.7455
322,D,281093326.7455
323,D,281093326.7455
324,D,281093326.7455
325,D,281093326.7455
326,D,281093326.7455
327,D,281093326.7455
328,D,281093326.7455
329,D,281093326.7455
33,D,281093326.7455
330,D,281093326.7455
331,D,281093326.7455
332,D,281093326.7455
333,D,281093326.7455
334,D,281093326.7455
335,D,281093326.7455
336,D,281093326.7455
337,D,281093326.7455
338,D,281093326.7455
339,D,281093326.7455
34,D,281093326.7455
340,D,281093326.7455
341,D,281093326.7455
342,D,281093326.7455
343,D,281093326.7455
344,D,281093326.7455
345,D,281093326.7455
346,D,281093326.7455
347,D,281093326.7455
348,D,281093326.7455
349,D,281093326.7455
35,D,281093326.7455
350,D,281093326.7455
351,D,281093326.7455
352,D,281093326.7455
353,D,281093326.7455
354,D,281093326.7455
355,D,281093326.7455
356,D,281093326.7455
357,D,281093326.7455
358,D,281093326.7455
359,D,281093326.7455
36,D,281093326.7455
360,D,281093326.7455
361,D,281093326.7455
362,D,281093326.7455
363,D,281093326.7455
364,D,281093326.7455
365,D,281093326.7455
366,D,281093326.7455
367,D,281093326.7455
368,D,281093326.7455
369,D,281093326.7455
37,D,281093326.7455
370,D,281093326.7455
371,D,281093326.7455
372,D,281093326.7455
373,D,281093326.7455
374,D,281093326.7455
375,D,281093326.7455
376,D,281093326.7455
377,D,281093326.7455
378,D,281093326.7455
379,D,281093326.7455
38,D,281093326.7455
380,D,281093326.7455
381,D,281093326.7455
382,D,281093326.7455
383,D,281093326.7455
384,D,281093326.7455
385,D,281093326.7455
386,D,281093326.7455
387,D,281093326.7455
388,D,281093326.7455
389,D,281093326.7455
39,D,281093326.7455
391,D,281093326.7455
392,D,281093326.7455
393,D,281093326.7455
394,D,281093326.7455
395,D,281093326.7455
396,D,281093326.7455
397,D,281093326.7455
398,D,281093326.7455
399,D,281093326.7455
4,D,281093326.7455
40,D,281093326.7455
