"Pathway","NPV_CAPEX","NPV_FOM","Cost_Type"
"A",0,94252622.0719389,"Lower"
"B1",3275950510.61302,142109030.78929,"Lower"
"B2",887444735.004156,106047863.606579,"Lower"
"B3",4231672671.52221,151111838.554354,"Lower"
"C1",0,94252622.0719389,"Lower"
"C2",887444735.004156,106047863.606579,"Lower"
"C3",3275950510.61302,142109030.78929,"Lower"
"D",3275950510.61302,142109030.78929,"Lower"
"A",0,134646602.959913,"Upper"
"B1",4679929300.87575,203012901.127557,"Upper"
"B2",1267778192.86308,151496948.009398,"Upper"
"B3",6045246673.60316,215874055.077648,"Upper"
"C1",0,134646602.959913,"Upper"
"C2",1267778192.86308,151496948.009398,"Upper"
"C3",4679929300.87575,203012901.127557,"Upper"
"D",4679929300.87575,203012901.127557,"Upper"
