"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B1","Advanced",11312295309.2016,"FOM","Gas_CC"
"B2","Advanced",11312295309.2016,"FOM","Gas_CC"
"B3","Advanced",11312295309.2016,"FOM","Gas_CC"
"C1","Advanced",11312295309.2016,"FOM","Gas_CC"
"C2","Advanced",11312295309.2016,"FOM","Gas_CC"
"C3","Advanced",11312295309.2016,"FOM","Gas_CC"
"A","Advanced",13621746368.4072,"FOM","Gas_CC"
"D","Advanced",17895028375.0644,"FOM","Gas_CC"
"D","Advanced",21960752321.4215,"CAPEX","Gas_CC"
"B1","Moderate",11466319420.6075,"FOM","Gas_CC"
"B2","Moderate",11466319420.6075,"FOM","Gas_CC"
"B3","Moderate",11466319420.6075,"FOM","Gas_CC"
"C1","Moderate",11466319420.6075,"FOM","Gas_CC"
"C2","Moderate",11466319420.6075,"FOM","Gas_CC"
"C3","Moderate",11466319420.6075,"FOM","Gas_CC"
"A","Moderate",13812326281.857,"FOM","Gas_CC"
"D","Moderate",18188045784.4685,"FOM","Gas_CC"
"D","Moderate",22228113127.4797,"CAPEX","Gas_CC"
"B1","Conservative",11645067340.6731,"FOM","Gas_CC"
"B2","Conservative",11645067340.6731,"FOM","Gas_CC"
"B3","Conservative",11645067340.6731,"FOM","Gas_CC"
"C1","Conservative",11645067340.6731,"FOM","Gas_CC"
"C2","Conservative",11645067340.6731,"FOM","Gas_CC"
"C3","Conservative",11645067340.6731,"FOM","Gas_CC"
"A","Conservative",14032714819.852,"FOM","Gas_CC"
"D","Conservative",18522064264.0608,"FOM","Gas_CC"
"D","Conservative",22497218163.4793,"CAPEX","Gas_CC"
"B1","Advanced",487807357.085612,"FOM","Coal"
"B2","Advanced",487807357.085612,"FOM","Coal"
"B3","Advanced",487807357.085612,"FOM","Coal"
"C1","Advanced",487807357.085612,"FOM","Coal"
"C2","Advanced",487807357.085612,"FOM","Coal"
"C3","Advanced",487807357.085612,"FOM","Coal"
"A","Advanced",1741496059.17526,"FOM","Coal"
"D","Advanced",1741496059.17526,"FOM","Coal"
"B1","Moderate",492490460.578457,"FOM","Coal"
"B2","Moderate",492490460.578457,"FOM","Coal"
"B3","Moderate",492490460.578457,"FOM","Coal"
"C1","Moderate",492490460.578457,"FOM","Coal"
"C2","Moderate",492490460.578457,"FOM","Coal"
"C3","Moderate",492490460.578457,"FOM","Coal"
"A","Moderate",1788653568.75832,"FOM","Coal"
"D","Moderate",1788653568.75832,"FOM","Coal"
"B1","Conservative",497074902.168426,"FOM","Coal"
"B2","Conservative",497074902.168426,"FOM","Coal"
"B3","Conservative",497074902.168426,"FOM","Coal"
"C1","Conservative",497074902.168426,"FOM","Coal"
"C2","Conservative",497074902.168426,"FOM","Coal"
"C3","Conservative",497074902.168426,"FOM","Coal"
"A","Conservative",1835802047.90602,"FOM","Coal"
"D","Conservative",1835802047.90602,"FOM","Coal"
"B1","Advanced",330031874.266128,"FOM","Wood"
"B2","Advanced",330031874.266128,"FOM","Wood"
"B3","Advanced",330031874.266128,"FOM","Wood"
"C1","Advanced",330031874.266128,"FOM","Wood"
"C2","Advanced",330031874.266128,"FOM","Wood"
"C3","Advanced",330031874.266128,"FOM","Wood"
"A","Advanced",673445052.455441,"FOM","Wood"
"D","Advanced",673445052.455441,"FOM","Wood"
"B1","Moderate",330031874.266128,"FOM","Wood"
"B2","Moderate",330031874.266128,"FOM","Wood"
"B3","Moderate",330031874.266128,"FOM","Wood"
"C1","Moderate",330031874.266128,"FOM","Wood"
"C2","Moderate",330031874.266128,"FOM","Wood"
"C3","Moderate",330031874.266128,"FOM","Wood"
"A","Moderate",673445052.455441,"FOM","Wood"
"D","Moderate",673445052.455441,"FOM","Wood"
"B1","Conservative",330031874.266128,"FOM","Wood"
"B2","Conservative",330031874.266128,"FOM","Wood"
"B3","Conservative",330031874.266128,"FOM","Wood"
"C1","Conservative",330031874.266128,"FOM","Wood"
"C2","Conservative",330031874.266128,"FOM","Wood"
"C3","Conservative",330031874.266128,"FOM","Wood"
"A","Conservative",673445052.455441,"FOM","Wood"
"D","Conservative",673445052.455441,"FOM","Wood"
"B1","Advanced",551478701.798024,"FOM","Gas_CT"
"B2","Advanced",551478701.798024,"FOM","Gas_CT"
"B3","Advanced",551478701.798024,"FOM","Gas_CT"
"C1","Advanced",551478701.798024,"FOM","Gas_CT"
"C2","Advanced",551478701.798024,"FOM","Gas_CT"
"C3","Advanced",551478701.798024,"FOM","Gas_CT"
