"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"A","CAPEX","Solar","Advanced",0
"A","CAPEX","Solar","Moderate",0
"A","CAPEX","Solar","Conservative",0
"A","FOM","Solar","Advanced",2609964926.54789
"A","FOM","Solar","Moderate",2894311091.12436
"A","FOM","Solar","Conservative",3284823215.64096
"A","CAPEX","Onshore Wind","Advanced",0
"A","CAPEX","Onshore Wind","Moderate",0
"A","CAPEX","Onshore Wind","Conservative",0
"A","FOM","Onshore Wind","Advanced",1518084122.46578
"A","FOM","Onshore Wind","Moderate",1829405877.49365
"A","FOM","Onshore Wind","Conservative",1962368040.56402
"A","CAPEX","Offshore Wind","Advanced",0
"A","CAPEX","Offshore Wind","Moderate",0
"A","CAPEX","Offshore Wind","Conservative",0
"A","FOM","Offshore Wind","Advanced",1353368391.2302
"A","FOM","Offshore Wind","Moderate",1468003452.86006
"A","FOM","Offshore Wind","Conservative",1655796895.80346
"A","CAPEX","Storage","Advanced",0
"A","CAPEX","Storage","Moderate",0
"A","CAPEX","Storage","Conservative",0
"A","FOM","Storage","Advanced",3454251777.47016
"A","FOM","Storage","Moderate",4458616283.50434
"A","FOM","Storage","Conservative",6171801798.27252
"A","CAPEX","Nuclear","Advanced",0
"A","CAPEX","Nuclear","Moderate",0
"A","CAPEX","Nuclear","Conservative",0
"A","FOM","Nuclear","Advanced",6503537935.08848
"A","FOM","Nuclear","Moderate",9032691576.51178
"A","FOM","Nuclear","Conservative",10529537609.1909
"A","CAPEX","SMR","Advanced",0
"A","CAPEX","SMR","Moderate",0
"A","CAPEX","SMR","Conservative",0
"A","FOM","SMR","Advanced",0
"A","FOM","SMR","Moderate",0
"A","FOM","SMR","Conservative",0
"A","CAPEX","Hydropower","Advanced",0
"A","CAPEX","Hydropower","Moderate",0
"A","CAPEX","Hydropower","Conservative",0
"A","FOM","Hydropower","Advanced",1573026717.34992
"A","FOM","Hydropower","Moderate",2806884488.29927
"A","FOM","Hydropower","Conservative",2806884488.29927
"A","CAPEX","Biomass","Advanced",0
"A","CAPEX","Biomass","Moderate",0
"A","CAPEX","Biomass","Conservative",0
"A","FOM","Biomass","Advanced",1317251936.34316
"A","FOM","Biomass","Moderate",1317251936.34316
"A","FOM","Biomass","Conservative",1317251936.34316
"B1","CAPEX","Solar","Advanced",39182864348.0342
"B1","CAPEX","Solar","Moderate",46695934437.2685
"B1","CAPEX","Solar","Conservative",57708284888.6285
"B1","FOM","Solar","Advanced",9911104609.73579
"B1","FOM","Solar","Moderate",11204046326.1341
"B1","FOM","Solar","Conservative",13033490474.9358
"B1","CAPEX","Onshore Wind","Advanced",11143650945.2815
"B1","CAPEX","Onshore Wind","Moderate",11848905245.4193
"B1","CAPEX","Onshore Wind","Conservative",13553645962.6917
"B1","FOM","Onshore Wind","Advanced",3655544978.38793
"B1","FOM","Onshore Wind","Moderate",4619023962.61038
"B1","FOM","Onshore Wind","Conservative",5010885168.66052
