"Pathway","NPV","Technology"
"A",955146840.7898,"Coal"
"A",38622093468.8763,"Gas"
"A",6299692822.57124,"Gas"
"A",1079581833.59747,"Wood"
"B1",246441427.341919,"Coal"
"B1",15375021732.3138,"Gas"
"B1",1437514173.03492,"Gas"
"B1",599545235.160518,"Wood"
"B2",250557796.758283,"Coal"
"B2",18738194273.5948,"Gas"
"B2",1552728590.5083,"Gas"
"B2",635921947.948628,"Wood"
"B3",247574565.03047,"Coal"
"B3",15338322848.5853,"Gas"
"B3",1453116825.87822,"Gas"
"B3",593156981.291859,"Wood"
"C1",260931554.369514,"Coal"
"C1",14990112433.386,"Gas"
"C1",1713986745.48085,"Gas"
"C1",459523067.000231,"Wood"
"C2",252509245.54886,"Coal"
"C2",17238121646.2926,"Gas"
"C2",1553049770.86544,"Gas"
"C2",606419588.001851,"Wood"
"C3",247573307.215766,"Coal"
"C3",13967112935.7828,"Gas"
"C3",1415726588.05045,"Gas"
"C3",570465256.443262,"Wood"
"D",924286393.177205,"Coal"
"D",58462798266.0159,"Gas"
"D",5328886409.98613,"Gas"
"D",1065134737.83231,"Wood"
