"Pathway","Simulation","sum_NPV"
"A",1,47.1024324547414
"B1",1,17.8735355937676
"B2",1,21.3487585558044
"B3",1,17.8325592156147
"C1",1,17.5498166930405
"C2",1,19.8216446643563
"C3",1,16.426626238892
"D",1,66.0722293376633
"A",10,47.1242824660184
"B1",10,17.5879408191064
"B2",10,21.0750287356773
"B3",10,17.5621313157928
"C1",10,17.4126260386259
"C2",10,19.5727748212761
"C3",10,16.1559388454002
"D",10,65.8086138926248
"A",100,47.3935119627568
"B1",100,18.1868747370108
"B2",100,21.6925911650882
"B3",100,18.1430724504994
"C1",100,17.7266861128581
"C2",100,20.1261465468536
"C3",100,16.7140898649846
"D",100,66.4682046228729
"A",1000,47.298653201607
"B1",1000,17.2189286758822
"B2",1000,20.8150105606538
"B3",1000,17.1789496057017
"C1",1000,17.2321945029132
"C2",1000,19.2370136981606
"C3",1000,15.8048474915483
"D",1000,65.442344050357
"A",1001,47.1437388415522
"B1",1001,18.1540645041646
"B2",1001,21.6696680392992
"B3",1001,18.1007026047111
"C1",1001,17.6726584799588
"C2",1001,20.1077845370977
"C3",1001,16.6750435210151
"D",1001,66.291069751228
"A",1002,47.3017559183841
"B1",1002,17.6274564092788
"B2",1002,21.2088357404551
"B3",1002,17.5768606462232
"C1",1002,17.377200594725
"C2",1002,19.6351528029948
"C3",1002,16.1741017970685
"D",1002,65.8399617176266
"A",1003,46.9649425259901
"B1",1003,17.0680304076771
"B2",1003,20.641424960122
"B3",1003,17.0258353246707
"C1",1003,17.0610339722015
"C2",1003,19.0731252949743
"C3",1003,15.6512528200237
"D",1003,65.1926311636462
"A",1004,47.354268783436
"B1",1004,17.7167310664728
"B2",1004,21.300359143904
"B3",1004,17.6755042967428
"C1",1004,17.4551617955766
"C2",1004,19.7151304824248
"C3",1004,16.2433472965193
"D",1004,65.9719651151309
"A",1005,46.9223060884971
"B1",1005,17.3498624326191
"B2",1005,20.8230158647084
"B3",1005,17.3227808093802
"C1",1005,17.2363297124665
"C2",1005,19.3249514035723
"C3",1005,15.9362546594395
"D",1005,65.4906763258295
"A",1006,47.0648144666793
"B1",1006,17.4168878818877
"B2",1006,20.9084552467867
"B3",1006,17.3881883484238
"C1",1006,17.3071526949939
"C2",1006,19.392547313263
"C3",1006,15.9931542732567
"D",1006,65.619015846524
"A",1007,47.1245702019518
"B1",1007,17.3891261270205
"B2",1007,20.9325418301974
"B3",1007,17.3608752224055
"C1",1007,17.2782929901594
"C2",1007,19.3986113915791
"C3",1007,15.9769428209049
"D",1007,65.584406573406
"A",1008,47.141478992134
"B1",1008,17.646303083244
"B2",1008,21.1632441486246
"B3",1008,17.6112418204594
"C1",1008,17.4266760573072
"C2",1008,19.6334925273799
"C3",1008,16.2065672378951
"D",1008,65.8272044959906
"A",1009,47.4000871524832
"B1",1009,17.5987429725737
"B2",1009,21.0890499764354
"B3",1009,17.5816555095539
"C1",1009,17.5204760143501
"C2",1009,19.6014667614446
"C3",1009,16.1793656647959
"D",1009,66.0006603507217
"A",101,47.1879737658655
"B1",101,17.9162421110318
"B2",101,21.4487274296939
"B3",101,17.8631262657051
"C1",101,17.531193246223
"C2",101,19.8766617225195
"C3",101,16.4454086671155
"D",101,66.0655380916446
"A",1010,47.3954096020929
"B1",1010,18.3913647221967
"B2",1010,21.929990068471
"B3",1010,18.3364736655257
"C1",1010,17.850923791957
"C2",1010,20.3382197618839
"C3",1010,16.9068766358056
"D",1010,66.6629172659901
"A",102,47.083368298837
"B1",102,17.520581172382
"B2",102,21.1093498460165
"B3",102,17.4688056788595
"C1",102,17.2688367789216
"C2",102,19.5030538071633
"C3",102,16.0731226211356
"D",102,65.5544445017717
"A",103,47.2293529080516
"B1",103,18.0089728721086
"B2",103,21.5260650964335
"B3",103,17.9762279447723
"C1",103,17.6599581142622
"C2",103,19.9599290420676
"C3",103,16.5413615970715
"D",103,66.3048269284848
"A",104,47.211257833295
"B1",104,17.7527285152317
"B2",104,21.3628566702476
"B3",104,17.6936152697444
"C1",104,17.4149384779779
"C2",104,19.7424189637713
"C3",104,16.2683292266678
"D",104,65.8742218784709
"A",105,47.0745395761449
"B1",105,17.6165799633953
"B2",105,21.1676168199062
"B3",105,17.5789368253507
"C1",105,17.3767175191219
"C2",105,19.5934793959166
"C3",105,16.1704362112787
"D",105,65.8024115260948
"A",106,47.2862987317785
"B1",106,18.0519450010779
"B2",106,21.5608441380704
"B3",106,18.0151828250803
"C1",106,17.6840586805118
"C2",106,20.0116747312313
"C3",106,16.5871059086868
"D",106,66.3328715163683
"A",107,47.2679115495608
"B1",107,17.8638015637686
"B2",107,21.3542859322871
"B3",107,17.8249198838032
"C1",107,17.5768341556992
"C2",107,19.8322311087167
"C3",107,16.4090285016742
"D",107,66.1659605815335
"A",108,47.3450804578224
"B1",108,17.6247219389517
"B2",108,21.1321747906774
"B3",108,17.5825476942388
"C1",108,17.4356686523379
"C2",108,19.6096583766715
"C3",108,16.1764627421967
"D",108,65.9174101307415
"A",109,47.3663614671392
"B1",109,17.7971590723998
"B2",109,21.3726183571305
"B3",109,17.7342660098593
"C1",109,17.4723309331683
"C2",109,19.7851398935765
"C3",109,16.3128949806459
"D",109,65.9803026941115
"A",11,47.4696671406522
"B1",11,18.1967800027976
"B2",11,21.8207546131793
"B3",11,18.1337918561119
"C1",11,17.7022639679482
"C2",11,20.1769531637958
"C3",11,16.7094894164167
"D",11,66.3629396508952
"A",110,47.1275031387262
"B1",110,17.0635959787757
"B2",110,20.5994220999588
"B3",110,17.0475462898798
"C1",110,17.1644889119654
"C2",110,19.0803673212896
"C3",110,15.6675775665695
"D",110,65.3310014613242
"A",111,47.1257863893585
"B1",111,17.9124505038476
"B2",111,21.4332711490134
"B3",111,17.8662334859362
"C1",111,17.5566330299161
"C2",111,19.8692454165064
"C3",111,16.445346230666
"D",111,66.1441831183774
"A",112,47.0352314940915
"B1",112,17.5369637118468
"B2",112,21.0846163125222
"B3",112,17.485915902771
"C1",112,17.3062573087306
"C2",112,19.5258230761804
"C3",112,16.0869823194003
"D",112,65.6212573175774
"A",113,47.289062925195
"B1",113,18.5489624319507
"B2",113,22.0322807714147
"B3",113,18.4892032828354
"C1",113,17.9077004101555
"C2",113,20.4583289453183
"C3",113,17.0529329834512
"D",113,66.7825486513662
"A",114,47.3658660467832
"B1",114,18.1162826484939
"B2",114,21.6527747805296
"B3",114,18.0574326081329
"C1",114,17.6715462364163
"C2",114,20.0859660217119
"C3",114,16.6377495481879
"D",114,66.373731073371
"A",115,47.3345514705694
"B1",115,17.8583486792089
"B2",115,21.4184204469626
"B3",115,17.824079284201
"C1",115,17.5456836391898
"C2",115,19.8453251702198
"C3",115,16.3941788107329
"D",115,66.153557263084
"A",116,47.2264396295724
"B1",116,17.7930139361192
"B2",116,21.3061957914429
"B3",116,17.7592495621591
"C1",116,17.5253230843161
"C2",116,19.765336222108
"C3",116,16.3422566857186
"D",116,66.0823460687485
"A",117,47.1475198020305
"B1",117,17.5701831674744
"B2",117,21.1471499057666
"B3",117,17.5132680157816
"C1",117,17.3597165271566
"C2",117,19.5603399149643
"C3",117,16.1277531958291
"D",117,65.7069010316749
"A",118,47.1652971073519
"B1",118,17.6517960622072
"B2",118,21.1592046253079
"B3",118,17.6157580799516
"C1",118,17.4243851206906
"C2",118,19.6238283257479
"C3",118,16.2194198137441
