"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1","A","Advanced",3114140097.05323,"Biopower"
"1","A","Moderate",3114140097.05323,"Biopower"
"1","A","Conservative",3114140097.05323,"Biopower"
"1","B1","Advanced",3114140097.05323,"Biopower"
"1","B1","Moderate",3114140097.05323,"Biopower"
"1","B1","Conservative",3114140097.05323,"Biopower"
"1","B2","Advanced",3114140097.05323,"Biopower"
"1","B2","Moderate",3114140097.05323,"Biopower"
"1","B2","Conservative",3114140097.05323,"Biopower"
"1","B3","Advanced",3114140097.05323,"Biopower"
"1","B3","Moderate",3114140097.05323,"Biopower"
"1","B3","Conservative",3114140097.05323,"Biopower"
"1","C1","Advanced",23692754917.1315,"Nuclear"
"1","C1","Moderate",26083766881.2456,"Nuclear"
"1","C1","Conservative",28692143569.3702,"Nuclear"
"1","C1","Advanced",3114140097.05323,"Biopower"
"1","C1","Moderate",3114140097.05323,"Biopower"
"1","C1","Conservative",3114140097.05323,"Biopower"
"1","C2","Advanced",3077420864.06465,"Nuclear"
"1","C2","Moderate",3387986272.36475,"Nuclear"
"1","C2","Conservative",3726784899.60123,"Nuclear"
"1","C2","Advanced",3114140097.05323,"Biopower"
"1","C2","Moderate",3114140097.05323,"Biopower"
"1","C2","Conservative",3114140097.05323,"Biopower"
"1","C3","Advanced",1987947115.10774,"Nuclear"
"1","C3","Moderate",2188565631.31127,"Nuclear"
"1","C3","Conservative",2407422194.4424,"Nuclear"
"1","C3","Advanced",3114140097.05323,"Biopower"
"1","C3","Moderate",3114140097.05323,"Biopower"
"1","C3","Conservative",3114140097.05323,"Biopower"
"1","D","Advanced",3114140097.05323,"Biopower"
"1","D","Moderate",3114140097.05323,"Biopower"
"1","D","Conservative",3114140097.05323,"Biopower"
"10","A","Advanced",3114140097.05323,"Biopower"
"10","A","Moderate",3114140097.05323,"Biopower"
"10","A","Conservative",3114140097.05323,"Biopower"
"10","B1","Advanced",3114140097.05323,"Biopower"
"10","B1","Moderate",3114140097.05323,"Biopower"
"10","B1","Conservative",3114140097.05323,"Biopower"
"10","B2","Advanced",3114140097.05323,"Biopower"
"10","B2","Moderate",3114140097.05323,"Biopower"
"10","B2","Conservative",3114140097.05323,"Biopower"
"10","B3","Advanced",3114140097.05323,"Biopower"
"10","B3","Moderate",3114140097.05323,"Biopower"
"10","B3","Conservative",3114140097.05323,"Biopower"
"10","C1","Advanced",23692754917.1315,"Nuclear"
"10","C1","Moderate",26083766881.2456,"Nuclear"
"10","C1","Conservative",28692143569.3702,"Nuclear"
"10","C1","Advanced",3114140097.05323,"Biopower"
"10","C1","Moderate",3114140097.05323,"Biopower"
"10","C1","Conservative",3114140097.05323,"Biopower"
"10","C2","Advanced",3077420864.06465,"Nuclear"
"10","C2","Moderate",3387986272.36475,"Nuclear"
"10","C2","Conservative",3726784899.60123,"Nuclear"
"10","C2","Advanced",3114140097.05323,"Biopower"
"10","C2","Moderate",3114140097.05323,"Biopower"
"10","C2","Conservative",3114140097.05323,"Biopower"
"10","C3","Advanced",1987947115.10774,"Nuclear"
"10","C3","Moderate",2188565631.31127,"Nuclear"
"10","C3","Conservative",2407422194.4424,"Nuclear"
"10","C3","Advanced",3114140097.05323,"Biopower"
"10","C3","Moderate",3114140097.05323,"Biopower"
"10","C3","Conservative",3114140097.05323,"Biopower"
"10","D","Advanced",3114140097.05323,"Biopower"
"10","D","Moderate",3114140097.05323,"Biopower"
"10","D","Conservative",3114140097.05323,"Biopower"
"100","A","Advanced",3114140097.05323,"Biopower"
"100","A","Moderate",3114140097.05323,"Biopower"
"100","A","Conservative",3114140097.05323,"Biopower"
"100","B1","Advanced",3114140097.05323,"Biopower"
"100","B1","Moderate",3114140097.05323,"Biopower"
"100","B1","Conservative",3114140097.05323,"Biopower"
"100","B2","Advanced",3114140097.05323,"Biopower"
"100","B2","Moderate",3114140097.05323,"Biopower"
"100","B2","Conservative",3114140097.05323,"Biopower"
"100","B3","Advanced",3114140097.05323,"Biopower"
"100","B3","Moderate",3114140097.05323,"Biopower"
"100","B3","Conservative",3114140097.05323,"Biopower"
"100","C1","Advanced",23692754917.1315,"Nuclear"
"100","C1","Moderate",26083766881.2456,"Nuclear"
"100","C1","Conservative",28692143569.3702,"Nuclear"
"100","C1","Advanced",3114140097.05323,"Biopower"
"100","C1","Moderate",3114140097.05323,"Biopower"
"100","C1","Conservative",3114140097.05323,"Biopower"
"100","C2","Advanced",3077420864.06465,"Nuclear"
"100","C2","Moderate",3387986272.36475,"Nuclear"
"100","C2","Conservative",3726784899.60123,"Nuclear"
"100","C2","Advanced",3114140097.05323,"Biopower"
"100","C2","Moderate",3114140097.05323,"Biopower"
"100","C2","Conservative",3114140097.05323,"Biopower"
"100","C3","Advanced",1987947115.10774,"Nuclear"
"100","C3","Moderate",2188565631.31127,"Nuclear"
"100","C3","Conservative",2407422194.4424,"Nuclear"
"100","C3","Advanced",3114140097.05323,"Biopower"
"100","C3","Moderate",3114140097.05323,"Biopower"
"100","C3","Conservative",3114140097.05323,"Biopower"
"100","D","Advanced",3114140097.05323,"Biopower"
"100","D","Moderate",3114140097.05323,"Biopower"
"100","D","Conservative",3114140097.05323,"Biopower"
"1000","A","Advanced",3114140097.05323,"Biopower"
"1000","A","Moderate",3114140097.05323,"Biopower"
"1000","A","Conservative",3114140097.05323,"Biopower"
"1000","B1","Advanced",3114140097.05323,"Biopower"
"1000","B1","Moderate",3114140097.05323,"Biopower"
"1000","B1","Conservative",3114140097.05323,"Biopower"
"1000","B2","Advanced",3114140097.05323,"Biopower"
"1000","B2","Moderate",3114140097.05323,"Biopower"
