"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1","A","QC","Lower",4899299750.42101
"1","A","QC","Upper",14590044224.3226
"1","A","NYISO","Lower",4358356411.44631
"1","A","NYISO","Upper",13096022870.9324
"1","A","NB","Lower",744283892.203794
"1","A","NB","Upper",2216466731.14279
"1","B1","QC","Lower",26273874113.3423
"1","B1","QC","Upper",78243219395.7941
"1","B1","NYISO","Lower",7102235752.98306
"1","B1","NYISO","Upper",21340852623.1462
"1","B1","NB","Lower",744283892.203794
"1","B1","NB","Upper",2216466731.14279
"1","B2","QC","Lower",4899299750.42101
"1","B2","QC","Upper",14590044224.3226
"1","B2","NYISO","Lower",7102235752.98306
"1","B2","NYISO","Upper",21340852623.1462
"1","B2","NB","Lower",744283892.203794
"1","B2","NB","Upper",2216466731.14279
"1","B3","QC","Lower",35464791864.8315
"1","B3","QC","Upper",105613640330.912
"1","B3","NYISO","Lower",7102235752.98306
"1","B3","NYISO","Upper",21340852623.1462
"1","B3","NB","Lower",744283892.203794
"1","B3","NB","Upper",2216466731.14279
"1","C1","QC","Lower",4899299750.42101
"1","C1","QC","Upper",14590044224.3226
"1","C1","NYISO","Lower",4358356411.44631
"1","C1","NYISO","Upper",13096022870.9324
"1","C1","NB","Lower",744283892.203794
"1","C1","NB","Upper",2216466731.14279
"1","C2","QC","Lower",4899299750.42101
"1","C2","QC","Upper",14590044224.3226
"1","C2","NYISO","Lower",7102235752.98306
"1","C2","NYISO","Upper",21340852623.1462
"1","C2","NB","Lower",744283892.203794
"1","C2","NB","Upper",2216466731.14279
"1","C3","QC","Lower",26273874113.3423
"1","C3","QC","Upper",78243219395.7941
"1","C3","NYISO","Lower",7102235752.98306
"1","C3","NYISO","Upper",21340852623.1462
"1","C3","NB","Lower",744283892.203794
"1","C3","NB","Upper",2216466731.14279
"1","D","QC","Lower",26273874113.3423
"1","D","QC","Upper",78243219395.7941
"1","D","NYISO","Lower",7102235752.98306
"1","D","NYISO","Upper",21340852623.1462
"1","D","NB","Lower",744283892.203794
"1","D","NB","Upper",2216466731.14279
"10","A","QC","Lower",4959479616.9036
"10","A","QC","Upper",14769259001.5609
"10","A","NYISO","Lower",4503361883.29915
"10","A","NYISO","Upper",13531736428.1825
"10","A","NB","Lower",759445695.77567
"10","A","NB","Upper",2261618364.21345
"10","B1","QC","Lower",26406700639.64
"10","B1","QC","Upper",78638774881.5917
"10","B1","NYISO","Lower",7337749588.53726
"10","B1","NYISO","Upper",22048526407.8644
"10","B1","NB","Lower",759445695.77567
"10","B1","NB","Upper",2261618364.21345
"10","B2","QC","Lower",4959479616.9036
"10","B2","QC","Upper",14769259001.5609
"10","B2","NYISO","Lower",7337749588.53726
"10","B2","NYISO","Upper",22048526407.8644
"10","B2","NB","Lower",759445695.77567
"10","B2","NB","Upper",2261618364.21345
"10","B3","QC","Lower",35615758688.138
"10","B3","QC","Upper",106063217360.416
"10","B3","NYISO","Lower",7337749588.53726
"10","B3","NYISO","Upper",22048526407.8644
"10","B3","NB","Lower",759445695.77567
"10","B3","NB","Upper",2261618364.21345
"10","C1","QC","Lower",4959479616.9036
"10","C1","QC","Upper",14769259001.5609
"10","C1","NYISO","Lower",4503361883.29915
"10","C1","NYISO","Upper",13531736428.1825
"10","C1","NB","Lower",759445695.77567
"10","C1","NB","Upper",2261618364.21345
"10","C2","QC","Lower",4959479616.9036
"10","C2","QC","Upper",14769259001.5609
"10","C2","NYISO","Lower",7337749588.53726
"10","C2","NYISO","Upper",22048526407.8644
"10","C2","NB","Lower",759445695.77567
"10","C2","NB","Upper",2261618364.21345
"10","C3","QC","Lower",26406700639.64
"10","C3","QC","Upper",78638774881.5917
"10","C3","NYISO","Lower",7337749588.53726
"10","C3","NYISO","Upper",22048526407.8644
"10","C3","NB","Lower",759445695.77567
"10","C3","NB","Upper",2261618364.21345
"10","D","QC","Lower",26406700639.64
"10","D","QC","Upper",78638774881.5917
"10","D","NYISO","Lower",7337749588.53726
