"Simulation","Pathway","NPV"
"1","A",452187786771.492
"1","B1",5084017794.83391
"1","B2",11143144370.1885
"1","B3",4358135159.4985
"1","C1",5536606087.08657
"1","C2",6501116788.08775
"1","C3",3051109367.55526
"1","D",2330102563.5513
"10","A",447601243620.349
"10","B1",4579986603.10282
"10","B2",10330602406.8581
"10","B3",3891388328.6707
"10","C1",5237979808.59393
"10","C2",5875100238.58608
"10","C3",2697353216.27956
"10","D",2183676792.49491
"100","A",446832186324.267
"100","B1",5012339216.34287
"100","B2",10885037019.0983
"100","B3",4262478227.21052
"100","C1",5381491344.07853
"100","C2",6389144256.57847
"100","C3",3067219899.02634
"100","D",2269278348.1345
"1000","A",428099970681.505
"1000","B1",5162923607.37292
"1000","B2",11478527605.5314
"1000","B3",4298393348.7598
"1000","C1",4908032508.04442
"1000","C2",6420332805.90262
"1000","C3",3112616217.33835
"1000","D",1920763301.81254
"1001","A",457405823245.145
"1001","B1",5465541826.80983
"1001","B2",12168903856.8954
"1001","B3",4622609314.06728
"1001","C1",5656712246.27957
"1001","C2",6960255251.88713
"1001","C3",3288151935.78068
"1001","D",2438505143.15588
"1002","A",436715109523.984
"1002","B1",4925563815.28477
"1002","B2",11019871700.3224
"1002","B3",4167833877.87298
"1002","C1",5100887008.81475
"1002","C2",6249465721.3067
"1002","C3",2926417070.968
"1002","D",2050077080.30892
"1003","A",437680379461.615
"1003","B1",4605057554.46269
"1003","B2",10286046275.1612
"1003","B3",3883990716.9179
"1003","C1",5166712579.3693
"1003","C2",5844569051.14134
"1003","C3",2701012967.39478
"1003","D",2099734872.37794
"1004","A",437256492035.615
"1004","B1",4844873691.67299
"1004","B2",10621959265.0761
"1004","B3",4085973077.5169
"1004","C1",5167503373.38897
"1004","C2",6128617310.39963
"1004","C3",2896081343.6707
"1004","D",2124519004.90469
"1005","A",448160284126.099
"1005","B1",5115289367.38336
"1005","B2",11186267320.842
"1005","B3",4320677219.43374
"1005","C1",5400844797.00891
"1005","C2",6414480925.40313
"1005","C3",3122294629.22981
"1005","D",2325372663.95679
"1006","A",444788507894.84
"1006","B1",5053215707.56466
"1006","B2",11254270941.8691
"1006","B3",4279394176.84618
"1006","C1",5307945833.64788
"1006","C2",6386658961.94049
"1006","C3",3038613443.37549
"1006","D",2258282044.36856
"1007","A",440231294501.335
"1007","B1",4713936896.42217
"1007","B2",10567194568.8546
"1007","B3",3982987788.39905
"1007","C1",5217928137.81646
"1007","C2",5995679836.86781
"1007","C3",2783443494.84443
"1007","D",2125232811.07828
"1008","A",447387981682.422
"1008","B1",4964903003.084
"1008","B2",10730769933.3038
"1008","B3",4286706305.17631
"1008","C1",5438175272.13156
"1008","C2",6294150782.1445
"1008","C3",3060899266.20453
"1008","D",2314865347.88434
"1009","A",437999194771.774
"1009","B1",5064992583.8871
"1009","B2",10939061092.3521
"1009","B3",4249900127.06899
"1009","C1",5194458692.27396
"1009","C2",6274313067.52043
"1009","C3",3087632816.60263
"1009","D",2149734869.44917
"101","A",448835470237.579
"101","B1",4913611742.53052
"101","B2",10917881764.1502
"101","B3",4209185579.6608
"101","C1",5455159176.66609
"101","C2",6249406281.52588
"101","C3",2999669989.90831
"101","D",2335319095.81208
"1010","A",452435340138.337
"1010","B1",5295078399.34294
"1010","B2",11526124275.229
"1010","B3",4484659292.56521
"1010","C1",5590471767.40289
"1010","C2",6723398883.48016
"1010","C3",3143277873.93711
"1010","D",2372094276.32871
"102","A",442238807334.947
"102","B1",5343802534.75487
"102","B2",12002975454.4441
"102","B3",4456182774.38401
"102","C1",5302990697.4814
"102","C2",6734696804.68162
"102","C3",3169164042.04558
"102","D",2206621248.79249
"103","A",452579818395.243
"103","B1",5185655036.92807
"103","B2",11514800995.7532
"103","B3",4367450214.66882
"103","C1",5524298495.04192
"103","C2",6614664711.75629
"103","C3",3056297958.91929
"103","D",2306862916.06404
"104","A",442893443666.325
"104","B1",4747908135.53563
"104","B2",10621281600.3826
"104","B3",4004400958.03814
"104","C1",5156579540.53936
"104","C2",6057416916.07495
"104","C3",2842682916.28277
"104","D",2184037676.80585
"105","A",449052381288.22
"105","B1",4532612069.09807
"105","B2",10273023754.6227
"105","B3",3909549321.94097
"105","C1",5386615436.84343
"105","C2",5854991484.82879
"105","C3",2751209351.56811
"105","D",2253872404.43059
"106","A",450826442337.892
"106","B1",4801415869.70978
"106","B2",10684307547.9672
"106","B3",4086991933.24418
"106","C1",5479769799.46229
"106","C2",6150161519.3791
"106","C3",2885067248.66797
"106","D",2312277310.0273
"107","A",449628366778.552
"107","B1",4996859340.97586
"107","B2",11117808248.3268
"107","B3",4264947073.7809
"107","C1",5488770540.13862
"107","C2",6401618597.44691
"107","C3",3019479866.68487
"107","D",2339481465.53934
"108","A",436054633630.99
"108","B1",4940740603.9579
"108","B2",10972436580.2967
"108","B3",4177717560.58123
"108","C1",5173540046.54938
"108","C2",6271026611.4214
"108","C3",2967695188.46959
"108","D",2117538270.07736
"109","A",437335169488.279
"109","B1",5071139247.82368
"109","B2",11235220860.3991
"109","B3",4298665700.39948
"109","C1",5229408819.26839
"109","C2",6446323953.22541
"109","C3",3056963816.50448
"109","D",2097801866.63243
"11","A",441640315226.454
"11","B1",4993803519.1776
"11","B2",11392094725.4426
"11","B3",4205559612.18719
"11","C1",5254349780.70161
"11","C2",6362448231.34852
"11","C3",2934455691.84867
"11","D",2116769047.68962
"110","A",435044645659.07
"110","B1",4619653578.19695
"110","B2",10063657571.8859
"110","B3",3925518498.54241
"110","C1",5167265833.93152
"110","C2",5836921610.73314
"110","C3",2794606950.95696
"110","D",2052931251.39996
"294","A",444758732125.949
"294","B1",4699123890.6052
"294","B2",10382072015.4694
"294","B3",4016969146.50498
"294","C1",5351871472.19069
"294","C2",6082758112.54016
"294","C3",2791566781.99149
"294","D",2141332029.29728
"295","A",463604583734.421
"295","B1",5810104458.14558
"295","B2",12772600778.8472
"295","B3",4976466149.5883
"295","C1",5939117628.87407
"295","C2",7368508838.63607
"295","C3",3572983606.02213
"295","D",2629921895.37844
"296","A",428604122386.606
"296","B1",4739707681.58728
"296","B2",10407459106.9704
"296","B3",4010899486.13311
"296","C1",4871509988.48385
"296","C2",5946912602.17712
"296","C3",2851413463.34022
"296","D",1953765337.47545
"297","A",447983997765.522
"297","B1",4771918183.90997
"297","B2",10678137359.6535
"297","B3",4085755055.18772
"297","C1",5363168079.20129
"297","C2",6094605771.89169
"297","C3",2842222001.76518
"297","D",2306216279.67404
"298","A",436093454940.37
"298","B1",4711406796.58105
"298","B2",10710924754.4392
"298","B3",3972304244.97839
"298","C1",5070546487.75925
"298","C2",5991095388.63803
"298","C3",2812044280.82611
"298","D",2074146833.04936
"299","A",440903718086.193
"299","B1",4544878055.35358
"299","B2",10416478821.8573
"299","B3",3880784573.6989
"299","C1",5228029657.93244
"299","C2",5836197772.88033
"299","C3",2707926972.48498
"299","D",2141627387.65208
"3","A",456597007973.571
"3","B1",4705803978.98903
"3","B2",10639688994.7688
"3","B3",3998926217.5428
"3","C1",5502016565.35913
"3","C2",6058023800.91663
"3","C3",2837618219.28587
"3","D",2345745721.22627
"30","A",438820149088.827
"30","B1",4615799731.34754
"30","B2",10422749769.2509
"30","B3",3913729573.22344
"30","C1",5171588113.61524
"30","C2",5931957309.44011
"30","C3",2716459347.27997
"30","D",2084011054.89118
"300","A",452643898396.304
"300","B1",4997514405.54365
"300","B2",11127325983.594
"300","B3",4273569770.83053
"300","C1",5543475933.3489
"300","C2",6451072662.3235
"300","C3",3002089948.66353
"300","D",2376948800.30206
"301","A",449448245551.871
"301","B1",5246368341.43066
"301","B2",11754731441.376
"301","B3",4417064612.24367
"301","C1",5520641494.09039
"301","C2",6691010815.71268
"301","C3",3108796337.15814
"301","D",2348242733.20922
"302","A",433731279845.13
"302","B1",5026807486.19758
"302","B2",11168297018.0626
"302","B3",4283742913.82013
"302","C1",5143545905.95252
"302","C2",6372450373.88272
"302","C3",3049595756.40767
"302","D",2074867326.4683
"303","A",448570523762.657
"303","B1",4913755640.29461
"303","B2",11204762348.3622
"303","B3",4127629183.88942
"303","C1",5343492044.98749
"303","C2",6285552998.81869
"303","C3",2903664808.19863
"303","D",2292247880.91826
"304","A",431696193101.252
"304","B1",4691544870.86429
"304","B2",10426193100.3102
"304","B3",3995255068.79055
"304","C1",5112570367.89368
"304","C2",6040196284.28951
"304","C3",2845249965.55221
"304","D",2002751454.43781
"305","A",437947116900.227
"305","B1",4704241239.65311
"305","B2",10490445276.1563
"305","B3",4028486738.91305
"305","C1",5166325055.29197
"305","C2",6021661566.92723
"305","C3",2810605137.99405
"305","D",2091516435.34591
"306","A",453736184596.464
"306","B1",4810466798.44765
"306","B2",10742096354.563
"306","B3",4111134023.84878
"306","C1",5524538639.74361
"306","C2",6149760576.48527
"306","C3",2916251680.93229
"306","D",2347942877.04834
"307","A",445117248941.398
"307","B1",5126124967.28165
"307","B2",11302037668.0969
"307","B3",4384429146.22286
"307","C1",5395375624.6466
"307","C2",6528494336.68899
"307","C3",3121647601.26199
"307","D",2236517984.93959
"308","A",456437245066.38
"308","B1",5568296507.74949
"308","B2",12436161037.9028
"308","B3",4627113898.85754
"308","C1",5619621537.04237
"308","C2",7061423845.9468
"308","C3",3303852625.77749
"308","D",2432543971.18789
"309","A",442466155829.927
"309","B1",4970690869.45625
"309","B2",11083269121.6141
"309","B3",4212150067.63193
"309","C1",5283821224.03212
"309","C2",6287691755.07796
"309","C3",3012568532.02764
"309","D",2179424479.66286
"31","A",447251020042.108
"31","B1",4761244735.50038
"31","B2",10386201620.5556
"31","B3",4044658796.10208
"31","C1",5331797965.87894
"31","C2",6040162298.24233
"31","C3",2901606726.07769
"31","D",2208023277.09021
"310","A",443303892291.159
"310","B1",5109393450.62021
"310","B2",11254719360.6094
"310","B3",4359935453.95947
"310","C1",5347767591.94415
"310","C2",6492683148.29911
"310","C3",3113200776.73813
"310","D",2206826151.61514
"311","A",440880187210.308
"311","B1",4971261532.67903
"311","B2",10900283681.9466
"311","B3",4193092743.3458
"311","C1",5204194776.29587
"311","C2",6188037131.63264
"311","C3",2996424822.37963
"311","D",2097831308.43533
"312","A",447549751482.348
"312","B1",4648299387.68494
"312","B2",10443796904.0874
"312","B3",4022759029.75147
"312","C1",5400638204.90606
"312","C2",5975883760.96739
"312","C3",2855518424.23854
"312","D",2249225812.08237
"313","A",426809815394.774
"313","B1",4820935965.79368
"313","B2",10608953026.7692
"313","B3",4059019634.81944
"313","C1",4845783916.67108
"313","C2",6057996474.2232
"313","C3",2832780072.3609
"313","D",1900043307.91382
"314","A",432369283835.707
"314","B1",4401734317.05142
"314","B2",9878256263.91794
"314","B3",3744657460.44078
"314","C1",5135673028.78815
"314","C2",5722485244.15384
"314","C3",2593089520.12589
"314","D",1960308538.48889
"315","A",458686765122.31
"315","B1",5073994369.08804
"315","B2",11248230728.0607
"315","B3",4385400169.38263
"315","C1",5722113050.63904
"315","C2",6552630184.41867
"315","C3",3066525103.95167
"315","D",2493088773.16572
"316","A",454912010048.312
"316","B1",5433540257.81683
"316","B2",12453651781.1447
"316","B3",4467374389.28645
"316","C1",5487833320.10167
"316","C2",6857806130.05553
"316","C3",3188699645.95495
"316","D",2437535517.84432
"317","A",456655791694.852
"317","B1",5178875192.00091
"317","B2",11424349825.2017
