Pathway,ATB_Scenario,NPV,Technology
A,Advanced,1311911086.96371,Coal
A,Moderate,1346807105.43661,Coal
A,Conservative,1381745215.92457,Coal
A,Advanced,117959361.630342,Wood
A,Moderate,117959361.630342,Wood
A,Conservative,117959361.630342,Wood
A,Advanced,3292382434.54228,Gas_CC
A,Moderate,3330990565.39282,Gas_CC
A,Conservative,3369576196.12744,Gas_CC
A,Advanced,365594124.236162,Gas_CT
A,Moderate,365594124.236162,Gas_CT
A,Conservative,365594124.236162,Gas_CT
A,Advanced,686985116.732727,Oil
A,Moderate,686985116.732727,Oil
A,Conservative,686985116.732727,Oil
B1,Advanced,344678206.030474,Coal
B1,Moderate,347890971.132453,Coal
B1,Conservative,351130432.431086,Coal
B1,Advanced,65508672.9019721,Wood
B1,Moderate,65508672.9019721,Wood
B1,Conservative,65508672.9019721,Wood
B1,Advanced,1371109826.08677,Gas_CC
B1,Moderate,1383138156.66796,Gas_CC
B1,Conservative,1395005745.01871,Gas_CC
B1,Advanced,114384006.206576,Gas_CT
B1,Moderate,114384006.206576,Gas_CT
B1,Conservative,114384006.206576,Gas_CT
B1,Advanced,140210038.406707,Oil
B1,Moderate,140210038.406707,Oil
B1,Conservative,140210038.406707,Oil
B2,Advanced,350452752.582926,Coal
B2,Moderate,353724904.087741,Coal
B2,Conservative,357024399.74983,Coal
B2,Advanced,69483335.7623104,Wood
B2,Moderate,69483335.7623104,Wood
B2,Conservative,69483335.7623104,Wood
B2,Advanced,1657439530.85406,Gas_CC
B2,Moderate,1672713097.97991,Gas_CC
B2,Conservative,1687851751.7789,Gas_CC
B2,Advanced,127661407.192616,Gas_CT
B2,Moderate,127661407.192616,Gas_CT
B2,Conservative,127661407.192616,Gas_CT
B2,Advanced,146492034.739948,Oil
B2,Moderate,146492034.739948,Oil
B2,Conservative,146492034.739948,Oil
B3,Advanced,346274198.377328,Coal
B3,Moderate,349504424.822363,Coal
B3,Conservative,352761396.142905,Coal
B3,Advanced,64810667.1326748,Wood
B3,Moderate,64810667.1326748,Wood
B3,Conservative,64810667.1326748,Wood
B3,Advanced,1372283749.37817,Gas_CC
B3,Moderate,1384027059.52434,Gas_CC
B3,Conservative,1395625600.06966,Gas_CC
B3,Advanced,115488576.678818,Gas_CT
B3,Moderate,115488576.678818,Gas_CT
B3,Conservative,115488576.678818,Gas_CT
B3,Advanced,141807986.651141,Oil
B3,Moderate,141807986.651141,Oil
B3,Conservative,141807986.651141,Oil
C1,Advanced,365076699.207151,Coal
C1,Moderate,368511391.23581,Coal
C1,Conservative,371973724.959931,Coal
C1,Advanced,50209299.5184419,Wood
C1,Moderate,50209299.5184419,Wood
C1,Conservative,50209299.5184419,Wood
C1,Advanced,1386182628.0508,Gas_CC
C1,Moderate,1394916523.49155,Gas_CC
C1,Conservative,1403700791.68328,Gas_CC
C1,Advanced,134864086.131892,Gas_CT
C1,Moderate,134864086.131892,Gas_CT
C1,Conservative,134864086.131892,Gas_CT
C1,Advanced,165930178.668473,Oil
C1,Moderate,165930178.668473,Oil
C1,Conservative,165930178.668473,Oil
C2,Advanced,353201862.674372,Coal
C2,Moderate,356504109.86314,Coal
C2,Conservative,359833757.253859,Coal
C2,Advanced,66259791.7588754,Wood
C2,Moderate,66259791.7588754,Wood
C2,Conservative,66259791.7588754,Wood
C2,Advanced,1543345364.83378,Gas_CC
C2,Moderate,1556359033.39635,Gas_CC
C2,Conservative,1569248221.41432,Gas_CC
C2,Advanced,124985537.321018,Gas_CT
C2,Moderate,124985537.321018,Gas_CT
C2,Conservative,124985537.321018,Gas_CT
C2,Advanced,149228922.289441,Oil
C2,Moderate,149228922.289441,Oil
C2,Conservative,149228922.289441,Oil
C3,Advanced,346272447.676524,Coal
C3,Moderate,349502658.528278,Coal
C3,Conservative,352759614.094963,Coal
C3,Advanced,62331279.9346591,Wood
C3,Moderate,62331279.9346591,Wood
C3,Conservative,62331279.9346591,Wood
C3,Advanced,1256825431.91144,Gas_CC
C3,Moderate,1267117745.16538,Gas_CC
C3,Conservative,1277277599.5215,Gas_CC
C3,Advanced,109725890.514128,Gas_CT
C3,Moderate,109725890.514128,Gas_CT
C3,Conservative,109725890.514128,Gas_CT
C3,Advanced,141093052.673214,Oil
C3,Moderate,141093052.673214,Oil
C3,Conservative,141093052.673214,Oil
D,Advanced,1269816945.30516,Coal
D,Moderate,1303390576.63278,Coal
D,Conservative,1337005879.79397,Coal
D,Advanced,116380815.066445,Wood
D,Moderate,116380815.066445,Wood
D,Conservative,116380815.066445,Wood
D,Advanced,4799325741.66141,Gas_CC
D,Moderate,4866966580.61306,Gas_CC
D,Conservative,4934671289.49506,Gas_CC
D,Advanced,300773470.201109,Gas_CT
D,Moderate,300773470.201109,Gas_CT
D,Conservative,300773470.201109,Gas_CT
D,Advanced,599858797.1569,Oil
D,Moderate,599858797.1569,Oil
D,Conservative,599858797.1569,Oil
