"Pathway","NPV_CAPEX","NPV_FOM","Cost_Type"
"A",0,89029602.2276134,"Lower"
"B1",3127386771.79922,133265398.333718,"Lower"
"B2",839137763.608483,99858935.0162171,"Lower"
"B3",4009881767.21374,141452005.966492,"Lower"
"C1",0,89029602.2276134,"Lower"
"C2",839137763.608483,99858935.0162171,"Lower"
"C3",3127386771.79922,133265398.333718,"Lower"
"D",3127386771.79922,133265398.333718,"Lower"
"A",0,127185146.039448,"Upper"
"B1",4467695388.28459,190379140.47674,"Upper"
"B2",1198768233.7264,142655621.451739,"Upper"
"B3",5728402524.59105,202074294.237846,"Upper"
"C1",0,127185146.039448,"Upper"
"C2",1198768233.7264,142655621.451739,"Upper"
"C3",4467695388.28459,190379140.47674,"Upper"
"D",4467695388.28459,190379140.47674,"Upper"
