"Pathway","Simulation","sum_NPV"
"A",1,44.1939342536116
"B1",1,17.1247157337151
"B2",1,20.3908396489822
"B3",1,17.1063608028836
"C1",1,17.0593336850345
"C2",1,19.022310831155
"C3",1,15.7926226259183
"D",1,61.1964453780737
"A",10,44.209521163584
"B1",10,16.8528955410674
"B2",10,20.131454856081
"B3",10,16.8487409403742
"C1",10,16.9270346993678
"C2",10,18.7858697005623
"C3",10,15.5347961196691
"D",10,60.9467713028551
"A",100,44.4699128986512
"B1",100,17.4221326940972
"B2",100,20.7159632736907
"B3",100,17.4014106994767
"C1",100,17.2307955648096
"C2",100,19.3117875319236
"C3",100,16.066322949091
"D",100,61.5698229090504
"A",1000,44.3635154784772
"B1",1000,16.5007019132976
"B2",1000,19.8810579014373
"B3",1000,16.4831317776435
"C1",1000,16.7531873369378
"C2",1000,18.4657063989581
"C3",1000,15.1986300531593
"D",1000,60.6000233385928
"A",1001,44.2368879455607
"B1",1001,17.3896628233749
"B2",1001,20.692176450203
"B3",1001,17.3602852297196
"C1",1001,17.1777830079144
"C2",1001,19.2920645108393
"C3",1001,16.0281657774423
"D",1001,61.4046456489739
"A",1002,44.3721605504109
"B1",1002,16.8870118840459
"B2",1002,20.2530699779329
"B3",1002,16.8599229131597
"C1",1002,16.893405377828
"C2",1002,18.8421755255112
"C3",1002,15.548945648781
"D",1002,60.9731362801858
"A",1003,44.0487209409893
"B1",1003,16.3552437804984
"B2",1003,19.7149031181239
"B3",1003,16.3356737169553
"C1",1003,16.5874424138321
"C2",1003,18.3080360266976
"C3",1003,15.0508560408844
"D",1003,60.3624901106807
"A",1004,44.4235376720056
"B1",1004,16.9727462536396
"B2",1004,20.3403163365981
"B3",1004,16.9543311932072
"C1",1004,16.9685281692793
"C2",1004,18.918259910332
"C3",1004,15.6163278555401
"D",1004,61.0979286665275
"A",1005,44.0158738591911
"B1",1005,16.6249625695094
"B2",1005,19.8903882207691
"B3",1005,16.6195123471513
"C1",1005,16.7564137870803
"C2",1005,18.5484442349498
"C3",1005,15.3236298807477
"D",1005,60.6458044292503
"A",1006,44.1511800576119
"B1",1006,16.6904475307254
"B2",1006,19.9731639008188
"B3",1006,16.6833353012983
"C1",1006,16.8257163758592
"C2",1006,18.6146781394961
"C3",1006,15.3795086669579
"D",1006,60.7677989583502
"A",1007,44.2048224967159
"B1",1007,16.6622819696879
"B2",1007,19.9930582062964
"B3",1007,16.6557528752836
"C1",1007,16.7975956619036
"C2",1007,18.6185769752002
"C3",1007,15.3621316771854
"D",1007,60.7342075658547
"A",1008,44.2260947744582
"B1",1008,16.9073433568843
"B2",1008,20.213011029574
"B3",1008,16.8946272287379
"C1",1008,16.9407893781473
"C2",1008,18.8422681180653
"C3",1008,15.5819596370354
"D",1008,60.9641323785187
"A",1009,44.4687355061851
"B1",1009,16.8642594080337
"B2",1009,20.1456119347363
"B3",1009,16.8685018759686
"C1",1009,17.0320439799709
"C2",1009,18.8143664587582
"C3",1009,15.5576010984537
"D",1009,61.1279037055263
"A",101,44.2727700654925
"B1",101,17.1627096714384
"B2",101,20.4828696813857
"B3",101,17.1332682438177
"C1",101,17.041460207401
"C2",101,19.0725712216261
"C3",101,15.8087075329875
"D",101,61.1890188192837
"A",1010,44.4767585019778
"B1",1010,17.6171908507526
"B2",1010,20.9401857564816
"B3",1010,17.5867448040998
"C1",1010,17.3509866071608
"C2",1010,19.5135170900211
"C3",1010,16.2511071299917
"D",1010,61.755532363274
"A",102,44.1668665596431
"B1",102,16.7830511674968
"B2",102,20.1553150527186
"B3",102,16.7546446667927
"C1",102,16.7888424449378
"C2",102,18.7143339341613
"C3",102,15.4507585302348
"D",102,60.7058987960246
"A",103,44.3160792025088
"B1",103,17.2537827127992
"B2",103,20.5575222461583
"B3",103,17.2438442471718
"C1",103,17.1662956717549
"C2",103,19.1541412481304
"C3",103,15.9034370524954
"D",103,61.4170177438666
"A",104,44.2902068594239
"B1",104,17.0056060729563
"B2",104,20.3980495391478
"B3",104,16.970402532164
"C1",104,16.9299289793734
"C2",104,18.9437926254001
"C3",104,15.638644422233
"D",104,61.0067428088829
"A",105,44.1627842196725
