"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1","A","Advanced",2932986690.07649,"Biopower"
"1","A","Moderate",2932986690.07649,"Biopower"
"1","A","Conservative",2932986690.07649,"Biopower"
"1","B1","Advanced",2932986690.07649,"Biopower"
"1","B1","Moderate",2932986690.07649,"Biopower"
"1","B1","Conservative",2932986690.07649,"Biopower"
"1","B2","Advanced",2932986690.07649,"Biopower"
"1","B2","Moderate",2932986690.07649,"Biopower"
"1","B2","Conservative",2932986690.07649,"Biopower"
"1","B3","Advanced",2932986690.07649,"Biopower"
"1","B3","Moderate",2932986690.07649,"Biopower"
"1","B3","Conservative",2932986690.07649,"Biopower"
"1","C1","Advanced",21576422502.6672,"Nuclear"
"1","C1","Moderate",23753859635.9639,"Nuclear"
"1","C1","Conservative",26129245599.5603,"Nuclear"
"1","C1","Advanced",2932986690.07649,"Biopower"
"1","C1","Moderate",2932986690.07649,"Biopower"
"1","C1","Conservative",2932986690.07649,"Biopower"
"1","C2","Advanced",2809490048.24762,"Nuclear"
"1","C2","Moderate",3093016566.87811,"Nuclear"
"1","C2","Conservative",3402318223.56592,"Nuclear"
"1","C2","Advanced",2932986690.07649,"Biopower"
"1","C2","Moderate",2932986690.07649,"Biopower"
"1","C2","Conservative",2932986690.07649,"Biopower"
"1","C3","Advanced",1826679953.81536,"Nuclear"
"1","C3","Moderate",2011023802.36554,"Nuclear"
"1","C3","Conservative",2212126182.60209,"Nuclear"
"1","C3","Advanced",2932986690.07649,"Biopower"
"1","C3","Moderate",2932986690.07649,"Biopower"
"1","C3","Conservative",2932986690.07649,"Biopower"
"1","D","Advanced",2932986690.07649,"Biopower"
"1","D","Moderate",2932986690.07649,"Biopower"
"1","D","Conservative",2932986690.07649,"Biopower"
"10","A","Advanced",2932986690.07649,"Biopower"
"10","A","Moderate",2932986690.07649,"Biopower"
"10","A","Conservative",2932986690.07649,"Biopower"
"10","B1","Advanced",2932986690.07649,"Biopower"
"10","B1","Moderate",2932986690.07649,"Biopower"
"10","B1","Conservative",2932986690.07649,"Biopower"
"10","B2","Advanced",2932986690.07649,"Biopower"
"10","B2","Moderate",2932986690.07649,"Biopower"
"10","B2","Conservative",2932986690.07649,"Biopower"
"10","B3","Advanced",2932986690.07649,"Biopower"
"10","B3","Moderate",2932986690.07649,"Biopower"
"10","B3","Conservative",2932986690.07649,"Biopower"
"10","C1","Advanced",21576422502.6672,"Nuclear"
"10","C1","Moderate",23753859635.9639,"Nuclear"
"10","C1","Conservative",26129245599.5603,"Nuclear"
"10","C1","Advanced",2932986690.07649,"Biopower"
"10","C1","Moderate",2932986690.07649,"Biopower"
"10","C1","Conservative",2932986690.07649,"Biopower"
"10","C2","Advanced",2809490048.24762,"Nuclear"
"10","C2","Moderate",3093016566.87811,"Nuclear"
"10","C2","Conservative",3402318223.56592,"Nuclear"
"10","C2","Advanced",2932986690.07649,"Biopower"
"10","C2","Moderate",2932986690.07649,"Biopower"
"10","C2","Conservative",2932986690.07649,"Biopower"
"10","C3","Advanced",1826679953.81536,"Nuclear"
"10","C3","Moderate",2011023802.36554,"Nuclear"
"10","C3","Conservative",2212126182.60209,"Nuclear"
"10","C3","Advanced",2932986690.07649,"Biopower"
"10","C3","Moderate",2932986690.07649,"Biopower"
"10","C3","Conservative",2932986690.07649,"Biopower"
"10","D","Advanced",2932986690.07649,"Biopower"
"10","D","Moderate",2932986690.07649,"Biopower"
"10","D","Conservative",2932986690.07649,"Biopower"
"100","A","Advanced",2932986690.07649,"Biopower"
"100","A","Moderate",2932986690.07649,"Biopower"
"100","A","Conservative",2932986690.07649,"Biopower"
"100","B1","Advanced",2932986690.07649,"Biopower"
"100","B1","Moderate",2932986690.07649,"Biopower"
"100","B1","Conservative",2932986690.07649,"Biopower"
"100","B2","Advanced",2932986690.07649,"Biopower"
"100","B2","Moderate",2932986690.07649,"Biopower"
"100","B2","Conservative",2932986690.07649,"Biopower"
"100","B3","Advanced",2932986690.07649,"Biopower"
"100","B3","Moderate",2932986690.07649,"Biopower"
