"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1","A","QC","Lower",4614301134.26562
"1","A","QC","Upper",13741322442.5577
"1","A","NYISO","Lower",4104797903.74106
"1","A","NYISO","Upper",12334128316.5296
"1","A","NB","Lower",700986431.331258
"1","A","NB","Upper",2087527515.10954
"1","B1","QC","Lower",24328957234.2509
"1","B1","QC","Upper",72451284890.0239
"1","B1","NYISO","Lower",6620945662.66155
"1","B1","NYISO","Upper",19894668457.5167
"1","B1","NB","Lower",700986431.331258
"1","B1","NB","Upper",2087527515.10954
"1","B2","QC","Lower",4614301134.26562
"1","B2","QC","Upper",13741322442.5577
"1","B2","NYISO","Lower",6620945662.66155
"1","B2","NYISO","Upper",19894668457.5167
"1","B2","NB","Lower",700986431.331258
"1","B2","NB","Upper",2087527515.10954
"1","B3","QC","Lower",32660115917.6521
"1","B3","QC","Upper",97261355680.2887
"1","B3","NYISO","Lower",6620945662.66155
"1","B3","NYISO","Upper",19894668457.5167
"1","B3","NB","Lower",700986431.331258
"1","B3","NB","Upper",2087527515.10954
"1","C1","QC","Lower",4614301134.26562
"1","C1","QC","Upper",13741322442.5577
"1","C1","NYISO","Lower",4104797903.74106
"1","C1","NYISO","Upper",12334128316.5296
"1","C1","NB","Lower",700986431.331258
"1","C1","NB","Upper",2087527515.10954
"1","C2","QC","Lower",4614301134.26562
"1","C2","QC","Upper",13741322442.5577
"1","C2","NYISO","Lower",6620945662.66155
"1","C2","NYISO","Upper",19894668457.5167
"1","C2","NB","Lower",700986431.331258
"1","C2","NB","Upper",2087527515.10954
"1","C3","QC","Lower",24328957234.2509
"1","C3","QC","Upper",72451284890.0239
"1","C3","NYISO","Lower",6620945662.66155
"1","C3","NYISO","Upper",19894668457.5167
"1","C3","NB","Lower",700986431.331258
"1","C3","NB","Upper",2087527515.10954
"1","D","QC","Lower",24328957234.2509
"1","D","QC","Upper",72451284890.0239
"1","D","NYISO","Lower",6620945662.66155
"1","D","NYISO","Upper",19894668457.5167
"1","D","NB","Lower",700986431.331258
"1","D","NB","Upper",2087527515.10954
"10","A","QC","Lower",4670974789.63801
"10","A","QC","Upper",13910095773.5151
"10","A","NYISO","Lower",4241463930.65955
"10","A","NYISO","Upper",12744783445.4914
"10","A","NB","Lower",715270992.459188
"10","A","NB","Upper",2130066732.79338
"10","B1","QC","Lower",24452923147.3112
"10","B1","QC","Upper",72820453596.9809
"10","B1","NYISO","Lower",6840624316.54547
"10","B1","NYISO","Upper",20554760566.5429
"10","B1","NB","Lower",715270992.459188
"10","B1","NB","Upper",2130066732.79338
"10","B2","QC","Lower",4670974789.63801
"10","B2","QC","Upper",13910095773.5151
"10","B2","NYISO","Lower",6840624316.54547
"10","B2","NYISO","Upper",20554760566.5429
"10","B2","NB","Lower",715270992.459188
"10","B2","NB","Upper",2130066732.79338
"10","B3","QC","Lower",32800574030.8807
"10","B3","QC","Upper",97679637922.2551
"10","B3","NYISO","Lower",6840624316.54547
"10","B3","NYISO","Upper",20554760566.5429
"10","B3","NB","Lower",715270992.459188
"10","B3","NB","Upper",2130066732.79338
"10","C1","QC","Lower",4670974789.63801
"10","C1","QC","Upper",13910095773.5151
"10","C1","NYISO","Lower",4241463930.65955
"10","C1","NYISO","Upper",12744783445.4914
"10","C1","NB","Lower",715270992.459188
"10","C1","NB","Upper",2130066732.79338
"10","C2","QC","Lower",4670974789.63801
"10","C2","QC","Upper",13910095773.5151
"10","C2","NYISO","Lower",6840624316.54547
"10","C2","NYISO","Upper",20554760566.5429
"10","C2","NB","Lower",715270992.459188
"10","C2","NB","Upper",2130066732.79338
"10","C3","QC","Lower",24452923147.3112
"10","C3","QC","Upper",72820453596.9809
"10","C3","NYISO","Lower",6840624316.54547
"10","C3","NYISO","Upper",20554760566.5429
"10","C3","NB","Lower",715270992.459188
"10","C3","NB","Upper",2130066732.79338
"10","D","QC","Lower",24452923147.3112
"10","D","QC","Upper",72820453596.9809
"10","D","NYISO","Lower",6840624316.54547
"10","D","NYISO","Upper",20554760566.5429
"10","D","NB","Lower",715270992.459188
"10","D","NB","Upper",2130066732.79338
"100","A","QC","Lower",4642718099.43936
"100","A","QC","Upper",13825947756.3222
"100","A","NYISO","Lower",3906156822.42654
"100","A","NYISO","Upper",11737250067.3874
"100","A","NB","Lower",725479454.13836
"100","A","NB","Upper",2160467384.9169
"100","B1","QC","Lower",24390830661.2381
"100","B1","QC","Upper",72635543066.0979
"100","B1","NYISO","Lower",6300138509.17676
"100","B1","NYISO","Upper",18930704654.9782
"100","B1","NB","Lower",725479454.13836
"100","B1","NB","Upper",2160467384.9169
"100","B2","QC","Lower",4642718099.43936
"100","B2","QC","Upper",13825947756.3222
"100","B2","NYISO","Lower",6300138509.17676
"100","B2","NYISO","Upper",18930704654.9782
"100","B2","NB","Lower",725479454.13836
"100","B2","NB","Upper",2160467384.9169
"100","B3","QC","Lower",32730095465.718
"100","B3","QC","Upper",97469753768.4017
"100","B3","NYISO","Lower",6300138509.17676
"100","B3","NYISO","Upper",18930704654.9782
"100","B3","NB","Lower",725479454.13836
"100","B3","NB","Upper",2160467384.9169
"100","C1","QC","Lower",4642718099.43936
"100","C1","QC","Upper",13825947756.3222
"100","C1","NYISO","Lower",3906156822.42654
"100","C1","NYISO","Upper",11737250067.3874
"100","C1","NB","Lower",725479454.13836
"100","C1","NB","Upper",2160467384.9169
"100","C2","QC","Lower",4642718099.43936
"100","C2","QC","Upper",13825947756.3222
"100","C2","NYISO","Lower",6300138509.17676
"100","C2","NYISO","Upper",18930704654.9782
"100","C2","NB","Lower",725479454.13836
"100","C2","NB","Upper",2160467384.9169
"100","C3","QC","Lower",24390830661.2381
"100","C3","QC","Upper",72635543066.0979
"100","C3","NYISO","Lower",6300138509.17676
"100","C3","NYISO","Upper",18930704654.9782
"100","C3","NB","Lower",725479454.13836
"100","C3","NB","Upper",2160467384.9169
"100","D","QC","Lower",24390830661.2381
"100","D","QC","Upper",72635543066.0979
"100","D","NYISO","Lower",6300138509.17676
"100","D","NYISO","Upper",18930704654.9782
"100","D","NB","Lower",725479454.13836
"100","D","NB","Upper",2160467384.9169
"1000","A","QC","Lower",4642919857.187
"1000","A","QC","Upper",13826548587.9942
"1000","A","NYISO","Lower",5052158604.45068
"1000","A","NYISO","Upper",15180765037.4119
"1000","A","NB","Lower",713558731.670516
"1000","A","NB","Upper",2124967644.78021
"1000","B1","QC","Lower",24391461991.2099
"1000","B1","QC","Upper",72637423157.6781
"1000","B1","NYISO","Lower",8149415388.33439
"1000","B1","NYISO","Upper",24487426046.6778
"1000","B1","NB","Lower",713558731.670516
"1000","B1","NB","Upper",2124967644.78021
"1000","B2","QC","Lower",4642919857.187
"1000","B2","QC","Upper",13826548587.9942
"1000","B2","NYISO","Lower",8149415388.33439
"1000","B2","NYISO","Upper",24487426046.6778
"1000","B2","NB","Lower",713558731.670516
"1000","B2","NB","Upper",2124967644.78021
"1000","B3","QC","Lower",32730924211.8941
"1000","B3","QC","Upper",97472221762.6002
"1000","B3","NYISO","Lower",8149415388.33439
"1000","B3","NYISO","Upper",24487426046.6778
"1000","B3","NB","Lower",713558731.670516
"1000","B3","NB","Upper",2124967644.78021
"1000","C1","QC","Lower",4642919857.187
"1000","C1","QC","Upper",13826548587.9942
"1000","C1","NYISO","Lower",5052158604.45068
"1000","C1","NYISO","Upper",15180765037.4119
"1000","C1","NB","Lower",713558731.670516
"1000","C1","NB","Upper",2124967644.78021
"1000","C2","QC","Lower",4642919857.187
"1000","C2","QC","Upper",13826548587.9942
"1000","C2","NYISO","Lower",8149415388.33439
"1000","C2","NYISO","Upper",24487426046.6778
"1000","C2","NB","Lower",713558731.670516
"1000","C2","NB","Upper",2124967644.78021
"1000","C3","QC","Lower",24391461991.2099
"1000","C3","QC","Upper",72637423157.6781
"1000","C3","NYISO","Lower",8149415388.33439
"1000","C3","NYISO","Upper",24487426046.6778
"1000","C3","NB","Lower",713558731.670516
"1000","C3","NB","Upper",2124967644.78021
"1000","D","QC","Lower",24391461991.2099
"1000","D","QC","Upper",72637423157.6781
"1000","D","NYISO","Lower",8149415388.33439
"1000","D","NYISO","Upper",24487426046.6778
"1000","D","NB","Lower",713558731.670516
"1000","D","NB","Upper",2124967644.78021
"1001","A","QC","Lower",4581528129.01044
"1001","A","QC","Upper",13643724904.0532
"1001","A","NYISO","Lower",4129015236.04036
"1001","A","NYISO","Upper",12406896742.9097
"1001","A","NB","Lower",654113704.652648
"1001","A","NB","Upper",1947941208.9039
"1001","B1","QC","Lower",24257467766.873
"1001","B1","QC","Upper",72238390283.9064
"1001","B1","NYISO","Lower",6660125867.20728
"1001","B1","NYISO","Upper",20012397437.5219
"1001","B1","NB","Lower",654113704.652648
"1001","B1","NB","Upper",1947941208.9039
"1001","B2","QC","Lower",4581528129.01044
"1001","B2","QC","Upper",13643724904.0532
"1001","B2","NYISO","Lower",6660125867.20728
"1001","B2","NYISO","Upper",20012397437.5219
"1001","B2","NB","Lower",654113704.652648
"1001","B2","NB","Upper",1947941208.9039
"1001","B3","QC","Lower",32579129433.09
"1001","B3","QC","Upper",97020179093.5262
"1001","B3","NYISO","Lower",6660125867.20728
"1001","B3","NYISO","Upper",20012397437.5219
"1001","B3","NB","Lower",654113704.652648
"1001","B3","NB","Upper",1947941208.9039
"1001","C1","QC","Lower",4581528129.01044
"1001","C1","QC","Upper",13643724904.0532
"1001","C1","NYISO","Lower",4129015236.04036
"1001","C1","NYISO","Upper",12406896742.9097
"1001","C1","NB","Lower",654113704.652648
"1001","C1","NB","Upper",1947941208.9039
"1001","C2","QC","Lower",4581528129.01044
"1001","C2","QC","Upper",13643724904.0532
"1001","C2","NYISO","Lower",6660125867.20728
"1001","C2","NYISO","Upper",20012397437.5219
"1001","C2","NB","Lower",654113704.652648
"1001","C2","NB","Upper",1947941208.9039
"1001","C3","QC","Lower",24257467766.873
"1001","C3","QC","Upper",72238390283.9064
"1001","C3","NYISO","Lower",6660125867.20728
"1001","C3","NYISO","Upper",20012397437.5219
"1001","C3","NB","Lower",654113704.652648
"1001","C3","NB","Upper",1947941208.9039
"1001","D","QC","Lower",24257467766.873
"1001","D","QC","Upper",72238390283.9064
"1001","D","NYISO","Lower",6660125867.20728
"1001","D","NYISO","Upper",20012397437.5219
"1001","D","NB","Lower",654113704.652648
"1001","D","NB","Upper",1947941208.9039
"1002","A","QC","Lower",4718731843.81354
"1002","A","QC","Upper",14052315594.2934
"1002","A","NYISO","Lower",4131891729.85509
"1002","A","NYISO","Upper",12415540053.6511
"1002","A","NB","Lower",761723081.007809
"1002","A","NB","Upper",2268400384.69502
"1002","B1","QC","Lower",24557164540.7187
"1002","B1","QC","Upper",73130882967.9721
"1002","B1","NYISO","Lower",6664980207.34241
"1002","B1","NYISO","Upper",20026983796.101
"1002","B1","NB","Lower",761723081.007809
"1002","B1","NB","Upper",2268400384.69502
"1002","B2","QC","Lower",4718731843.81354
"1002","B2","QC","Upper",14052315594.2934
"1002","B2","NYISO","Lower",6664980207.34241
"1002","B2","NYISO","Upper",20026983796.101
"1002","B2","NB","Lower",761723081.007809
"1002","B2","NB","Upper",2268400384.69502
"1002","B3","QC","Lower",32918542967.2933
"1002","B3","QC","Upper",98030947718.9678
"1002","B3","NYISO","Lower",6664980207.34241
"1002","B3","NYISO","Upper",20026983796.101
"1002","B3","NB","Lower",761723081.007809
"1002","B3","NB","Upper",2268400384.69502
"1002","C1","QC","Lower",4718731843.81354
"1002","C1","QC","Upper",14052315594.2934
"1002","C1","NYISO","Lower",4131891729.85509
"1002","C1","NYISO","Upper",12415540053.6511
"1002","C1","NB","Lower",761723081.007809
"1002","C1","NB","Upper",2268400384.69502
"1002","C2","QC","Lower",4718731843.81354
"1002","C2","QC","Upper",14052315594.2934
"1002","C2","NYISO","Lower",6664980207.34241
"1002","C2","NYISO","Upper",20026983796.101
"1002","C2","NB","Lower",761723081.007809
"1002","C2","NB","Upper",2268400384.69502
"1002","C3","QC","Lower",24557164540.7187
"1002","C3","QC","Upper",73130882967.9721
"1002","C3","NYISO","Lower",6664980207.34241
"1002","C3","NYISO","Upper",20026983796.101
"1002","C3","NB","Lower",761723081.007809
"1002","C3","NB","Upper",2268400384.69502
"1002","D","QC","Lower",24557164540.7187
"1002","D","QC","Upper",73130882967.9721
"1002","D","NYISO","Lower",6664980207.34241
"1002","D","NYISO","Upper",20026983796.101
"1002","D","NB","Lower",761723081.007809
"1002","D","NB","Upper",2268400384.69502
"1003","A","QC","Lower",4756502857.20028
"1003","A","QC","Upper",14164797129.1623
"1003","A","NYISO","Lower",4324687538.58472
"1003","A","NYISO","Upper",12994854382.7666
"1003","A","NB","Lower",774045680.300299
"1003","A","NB","Upper",2305096908.23812
"1003","B1","QC","Lower",24639546132.7285
"1003","B1","QC","Upper",73376214164.6578
"1003","B1","NYISO","Lower",6974852352.82167
"1003","B1","NYISO","Upper",20958090002.469
"1003","B1","NB","Lower",774045680.300299
"1003","B1","NB","Upper",2305096908.23812
"1003","B2","QC","Lower",4756502857.20028
"1003","B2","QC","Upper",14164797129.1623
"1003","B2","NYISO","Lower",6974852352.82167
"1003","B2","NYISO","Upper",20958090002.469
"1003","B2","NB","Lower",774045680.300299
"1003","B2","NB","Upper",2305096908.23812
