Facility,fips,NH3,PM2.5,NOx,SO2,VOC,PM10
TVA COLBERT,1033,931,859,186,961,162,119
TVA COLBERT,1033,931,859,186,961,163,119
TVA COLBERT,1033,931,859,186,961,162,119
TVA COLBERT,1033,931,859,186,961,163,119
TVA COLBERT,1033,939,868,186,963,164,121
ALABAMA POWER COMPANY GREENE COUNTY,1063,757,648,164,701,137,87
ALABAMA POWER COMPANY GREENE COUNTY,1063,757,648,164,701,137,87
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,929,782,172,774,153,107
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,927,779,172,773,152,106
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,931,783,173,775,153,107
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,931,783,173,775,153,107
BARRY,1097,540,494,154,515,120,65
BARRY,1097,540,494,154,515,120,65
BARRY,1097,540,494,154,515,120,65
BARRY,1097,553,500,154,516,120,66
BARRY,1097,518,484,154,514,118,64
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,919,763,165,782,150,104
GORGAS,1127,1021,818,172,786,156,109
GORGAS,1127,1021,818,172,786,156,109
GORGAS,1127,1021,818,172,786,156,109
NAVAJO,4005,319,504,253,578,125,90
NAVAJO,4005,319,504,253,578,125,90
NAVAJO,4005,319,504,253,578,125,90
SRP-KYRENE STEAM PLANT,4013,356,661,235,478,140,111
SRP-KYRENE STEAM PLANT,4013,356,661,235,478,140,111
CHOLLA,4017,353,557,268,608,131,96
FLINT CREEK,5007,501,803,319,972,165,118
INDEPENDENCE,5063,677,734,266,895,159,107
INDEPENDENCE,5063,677,734,266,895,159,107
WHITE BLUFF,5069,546,702,263,893,152,101
WHITE BLUFF,5069,546,702,263,893,153,101
NATURAL GAS PIPELINE COMPANY OF AMERICA,5121,777,799,261,920,168,116
Duke Energy MOSS LANDING,6053,70,59,70,70,70,11
Duke Energy MOSS LANDING,6053,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
TRI STATE GENERATION CRAIG,8081,417,531,298,578,131,104
PUBLIC SERVICE CO PAWNEE,8087,411,567,317,529,136,106
PUBLIC SERVICE CO COMANCHE,8101,476,576,298,531,134,108
PUBLIC SERVICE CO COMANCHE,8101,475,575,298,531,134,108
PUBLIC SERVICE CO HAYDEN,8107,454,550,309,589,134,107
MIDDLETOWN,9007,1093,748,97,513,146,114
NEW HAVEN HARBOR,9009,1312,882,101,555,160,129
CONN LIGHT & POWER CO,9011,3268,2589,139,1320,347,384
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4763,3876,227,1697,484,534
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"DELMARVA POWER, INDIAN RIVER",10005,1622,2010,226,1719,284,280
BENNING,11001,2215,1869,183,1260,271,266
FLORIDA POWER CORPORATION,12017,809,744,136,640,143,88
FLORIDA POWER CORPORATION,12017,796,735,136,638,142,87
FLORIDA POWER CORPORATION,12017,787,729,136,635,142,87
FLORIDA POWER CORPORATION,12017,787,729,136,635,142,87
JACKSONVILLE ELECTRIC AUTHORITY,12031,623,561,135,594,125,75
GULF POWER CO,12033,823,687,156,625,139,88
GULF POWER CO,12033,823,687,156,625,139,88
Tampa Electric Company (Big Bend),12057,805,720,122,584,140,84
Tampa Electric Company (Big Bend),12057,805,720,122,584,140,84
FLORIDA POWER & LIGHT COMPANY,12071,994,764,113,550,145,89
FLORIDA POWER & LIGHT (Manatee),12081,997,812,118,580,150,92
FLORIDA POWER & LIGHT (Manatee),12081,997,812,118,580,150,92
FLORIDA POWER & LIGHT Martin,12085,860,798,130,613,148,94
FLORIDA POWER & LIGHT Martin,12085,860,798,130,613,148,94
"Progress Energy Florida, Inc. (Anclote)",12101,968,829,136,651,152,94
"Progress Energy Florida, Inc. (Anclote)",12101,968,829,136,651,152,94
"Progress Energy Florida, Inc. (Suwanee River)",12121,700,653,149,697,135,86
"Progress Energy Florida, Inc. (Suwanee River)",12121,700,653,149,697,135,86
"Progress Energy Florida, Inc. (Suwanee River)",12121,700,653,149,697,135,86
GA POWER CO:  BOWEN,13015,1101,1041,196,967,180,142
GA POWER CO:  BOWEN,13015,1101,1041,196,967,180,142
GA POWER CO:  BOWEN,13015,1046,1012,196,963,177,138
GA POWER CO:  BOWEN,13015,1046,1012,196,963,177,138
ARKWRIGHT,13021,947,854,168,851,158,117
ARKWRIGHT,13021,947,854,168,851,158,117
ARKWRIGHT,13021,947,854,168,851,158,117
ARKWRIGHT,13021,947,854,168,851,158,117
GA POWER CO:  MCDONOUGH,13067,1126,1042,193,937,179,142
GA POWER CO:  MCDONOUGH,13067,1126,1042,193,937,179,142
GA POWER CO: YATES,13077,1418,1156,190,970,191,159
GA POWER CO: YATES,13077,1418,1156,190,970,191,159
GA POWER CO: YATES,13077,1418,1156,190,970,191,159
GA POWER CO: YATES,13077,1355,1117,189,953,187,154
GA POWER CO: YATES,13077,1355,1117,189,953,187,154
GA POWER CO: HAMMOND,13115,1139,1085,196,975,185,149
GA POWER CO: HAMMOND,13115,1139,1085,196,975,185,149
GA POWER CO: HAMMOND,13115,1139,1085,196,975,185,149
GA POWER CO: HAMMOND,13115,1047,1026,195,967,178,141
Owens Corning Asphalt/Roofing,13121,1122,1019,191,941,177,139
GA POWER CO:  WANSLEY,13149,1143,1012,188,947,176,139
GA POWER CO:  WANSLEY,13149,1143,1012,188,947,176,139
GA POWER CO: SCHERER,13207,947,866,170,870,160,118
GA POWER CO: SCHERER,13207,947,866,170,870,160,118
GA POWER CO: SCHERER,13207,942,862,170,864,159,117
GA POWER CO: SCHERER,13207,948,868,170,871,160,118
GA POWER CO: HARLLEE BRANCH,13237,941,877,170,886,161,120
GA POWER CO: HARLLEE BRANCH,13237,941,877,170,886,161,120
GA POWER CO: HARLLEE BRANCH,13237,934,872,170,885,160,119
GA POWER CO: HARLLEE BRANCH,13237,934,872,170,885,160,119
"KINCAID GENERATION, LLC",17021,1546,1157,284,1106,218,170
