County,fips,NH3,PM2.5,NOx,SO2,VOC,PM10
Autauga County,1001,2054,1261,96,816,148,165
Baldwin County,1003,4901,2564,85,1315,280,300
Barbour County,1005,1232,1039,103,815,124,143
Bibb County,1007,1753,1159,109,822,136,151
Blount County,1009,1681,1905,179,1187,219,244
Bullock County,1011,1532,1207,106,843,143,160
Butler County,1013,935,890,102,733,105,113
Calhoun County,1015,1491,2236,205,1304,253,282
Chambers County,1017,3414,1904,105,1037,217,248
Cherokee County,1019,1446,1824,189,1216,216,270
Chilton County,1021,2098,1313,103,867,154,174
Choctaw County,1023,999,859,109,713,104,110
Clarke County,1025,1241,848,91,703,101,110
Clay County,1027,1513,1580,145,1041,183,200
Cleburne County,1029,1611,2034,182,1228,233,270
Coffee County,1031,849,1199,124,831,140,155
Colbert County,1033,1095,1784,218,1246,213,237
Conecuh County,1035,1493,1034,94,760,121,133
Coosa County,1037,2233,1420,105,930,164,185
Covington County,1039,931,982,111,768,114,123
Crenshaw County,1041,991,1089,112,792,128,138
Cullman County,1043,1573,1808,181,1157,208,233
Dale County,1045,752,1510,156,912,175,193
Dallas County,1047,1763,1116,97,801,132,140
DeKalb County,1049,1285,1912,196,1373,224,255
Elmore County,1051,2535,1507,98,901,175,194
Escambia County,1053,1679,1020,83,720,118,131
Etowah County,1055,1354,2343,214,1314,264,289
Fayette County,1057,1390,1465,160,975,170,181
Franklin County,1059,940,1364,185,972,167,183
Geneva County,1061,760,1087,122,774,128,144
Greene County,1063,1298,932,111,751,116,122
Hale County,1065,1410,963,106,759,118,126
Henry County,1067,839,1058,122,785,128,143
Houston County,1069,782,1260,132,832,147,163
Jackson County,1071,1265,1840,208,1395,216,242
Jefferson County,1073,5971,3440,145,1555,373,407
Lamar County,1075,1217,1137,147,878,139,148
Lauderdale County,1077,1158,1620,202,1202,195,219
Lawrence County,1079,998,1399,189,1003,170,187
Lee County,1081,3162,1743,98,973,201,228
Limestone County,1083,1177,2214,235,1405,260,293
Lowndes County,1085,3007,1728,94,929,196,209
Macon County,1087,1752,1209,100,859,141,156
Madison County,1089,1146,2645,285,1659,305,356
Marengo County,1091,1089,797,99,703,97,104
Marion County,1093,990,1252,171,946,154,168
Marshall County,1095,1237,1701,184,1153,198,221
Mobile County,1097,4740,2475,89,1163,271,283
Monroe County,1099,1556,979,87,736,115,126
Montgomery County,1101,3248,1835,94,961,207,221
Morgan County,1103,1184,2839,282,1472,326,380
Perry County,1105,1763,1128,100,794,134,139
Pickens County,1107,1069,1031,136,826,127,138
Pike County,1109,1024,1059,111,799,125,139
Randolph County,1111,2008,1477,123,1017,173,203
Russell County,1113,3597,1998,96,1040,230,279
St. Clair County,1115,1797,2018,174,1213,229,255
Shelby County,1117,7520,3988,116,1535,430,471
Sumter County,1119,967,842,119,736,105,111
Talladega County,1121,1484,1681,160,1097,195,219
Tallapoosa County,1123,2215,1396,102,916,162,183
Tuscaloosa County,1125,5194,3038,137,1499,331,347
Walker County,1127,6102,3705,158,1556,400,413
Washington County,1129,1222,880,96,700,105,112
Wilcox County,1131,1402,941,93,735,111,115
Winston County,1133,1132,1182,153,924,142,161
Apache County,4001,362,539,208,562,71,97
