Percentage,Cost_per_MWh
100,60734
99,58388
98,56113
97,53906
96,51768
95,49696
94,47688
93,45744
92,43862
91,42041
90,40280
89,38576
88,36929
87,35337
86,33800
85,32315
84,30882
83,29499
82,28166
81,26880
80,25641
79,24447
78,23298
77,22191
76,21127
75,20104
74,19121
73,18176
72,17269
71,16399
70,15564
69,14763
68,13996
67,13262
66,12559
65,11887
64,11244
63,10630
62,10044
61,9485
60,8951
59,8443
58,7959
57,7498
56,7060
55,6644
54,6249
53,5874
52,5518
51,5181
50,4862
49,4560
48,4275
47,4005
46,3751
45,3511
44,3286
43,3073
42,2873
41,2686
40,2509
39,2344
38,2189
37,2044
36,1909
35,1782
34,1664
33,1553
32,1450
31,1354
30,1265
29,1182
28,1104
27,1033
26,966
25,904
24,846
23,793
22,743
21,697
20,654
19,615
18,578
17,543
16,511
15,482
14,454
13,428
12,404
11,381
10,361
9,341
8,323
7,306
6,290
5,276
4,263
3,251
2,240
1,230
0,222
