"State","Facility_Name","Facility_ID","Unit_ID","Associated_Stacks","Year","Program_Code","Primary_Rep_Info","EPA_Region","NERC_Region","County","County_Code","FIPS_Code","Source_Category","Latitude","Longitude","Owner_Operator","SO2_Phase","NOx_Phase","Unit_Type","Primary_Fuel_Type","Secondary_Fuel_Type","SO2_Controls","NOx_Controls","PM_Controls","Hg_Controls","Commercial_Operation_Date","Operating_Status","Max_Hourly_HI_Rate","Associated_Generators_Capacity","Facility_Unit.ID","Estimated_NameplateCapacity_MW","min_gen_MW","mean_gen_MW","max_gen_MW","avg_operating_time","non_zero_count","unique_day_hours","start_date","end_date","non_zero_count_CO2","mean_CO2_tons_MW","mean_NOx_lbs_MW","mean_SO2_lbs_MW","mean_Heat_Input_mmBtu","Total_Expected_Points","Time_Slots_Above_3","Reliability_Score_3","Reliability_Label"
"CT","Branford",540,"10",NA,2013,"CAIROS","1680",1,"NPCC","New Haven County","CT009","009","Electric Utility",41.2925,-72.7942,"Connecticut Jet Power, LLC (Owner)|Connecticut Jet Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,NA,NA,NA,"1969-07-22","Operating",250,"UN10 (21.8)","540_10",21.8,0,11.5508021390374,19,0.610106951871658,178,183,2013-05-03,2023-09-15,0,NA,14.905,NA,152.526737967914,1416,0,0,"Low"
"CT","Cos Cob",542,"10",NA,2013,"CAIROS","1680",1,"NPCC","Fairfield County","CT001","001","Electric Utility",41.0289,-73.5989,"Connecticut Jet Power, LLC (Owner)|Connecticut Jet Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,"Water Injection",NA,NA,"1969-09-19","Operating",250,"UN10 (21.3)","542_10",21.3,0,13.9354838709677,21,0.627096774193548,148,153,2013-05-09,2023-09-16,0,NA,13.5,NA,156.774193548387,1152,0,0,"Low"
"CT","Cos Cob",542,"11",NA,2013,"CAIROS","1680",1,"NPCC","Fairfield County","CT001","001","Electric Utility",41.0289,-73.5989,"Connecticut Jet Power, LLC (Owner)|Connecticut Jet Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,"Water Injection",NA,NA,"1969-09-19","Operating",250,"UN11 (21.3)","542_11",21.3,0,14.6201550387597,20,0.651085271317829,127,126,2013-05-10,2023-09-16,0,NA,13.3600212089077,NA,162.771317829457,888,0,0,"Low"
"CT","Cos Cob",542,"12",NA,2013,"CAIROS","1680",1,"NPCC","Fairfield County","CT001","001","Electric Utility",41.0289,-73.5989,"Connecticut Jet Power, LLC (Owner)|Connecticut Jet Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,"Water Injection",NA,NA,"1969-10-10","Operating",250,"UN12 (21.3)","542_12",21.3,0,14.4242424242424,22,0.658484848484848,130,131,2013-05-10,2023-09-17,0,NA,13.6953781512605,NA,164.621212121212,912,0,0,"Low"
"CT","Cos Cob",542,"13",NA,2013,"CAIROS","1680",1,"NPCC","Fairfield County","CT001","001","Electric Utility",41.0289,-73.5989,"Connecticut Jet Power, LLC (Owner)|Connecticut Jet Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,"Water Injection",NA,NA,"2008-06-16","Operating",308,"UN13 (20)","542_13",20,0,13.6887417218543,22,0.674105960264901,136,148,2013-05-09,2023-09-17,0,NA,18.2012578616352,NA,207.626490066225,1056,0,0,"Low"
"CT","Cos Cob",542,"14",NA,2013,"CAIROS","1680",1,"NPCC","Fairfield County","CT001","001","Electric Utility",41.0289,-73.5989,"Connecticut Jet Power, LLC (Owner)|Connecticut Jet Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,"Water Injection",NA,NA,"2008-06-19","Operating",308,"UN14 (20)","542_14",20,0,14.3,21,0.670875,159,159,2013-06-21,2023-09-06,0,NA,16.3363199300699,NA,206.630625,912,0,0,"Low"
"CT","Devon",544,"10",NA,2013,"CAIROS","605836",1,"NPCC","New Haven County","CT009","009","Electric Utility",41.2083,-73.1092,"Devon Power, LLC (Owner)|Devon Power, LLC (Operator)",NA,NA,"Combustion turbine","Other Oil",NA,NA,NA,NA,NA,"1985-01-01","Operating",230,"10 (16.3)","544_10",16.3,0,12.4532019704434,17,0.62,199,187,2013-07-03,2023-07-05,0,NA,13.7410996835443,NA,142.6,1296,0,0,"Low"
"CT","Devon",544,"11",NA,2013,"ARP, CAIROS, RGGI","605836",1,"NPCC","New Haven County","CT009","009","Electric Utility",41.2083,-73.1092,"Devon Power, LLC (Owner)|Devon Power, LLC (Operator)","Phase 2",NA,"Combustion turbine","Pipeline Natural Gas","Other Oil",NA,"Water Injection",NA,NA,"1996-07-01","Operating",415,"11 (43)","544_11",43,0,24.1001615508885,43,0.684733441033926,557,585,2013-01-17,2023-12-23,619,0.788451266925861,8.65767837511731,0.20353445502078,262.280003231018,3336,2,0.0599520383693046,"Low"
"CT","Devon",544,"12",NA,2013,"ARP, CAIROS, RGGI","605836",1,"NPCC","New Haven County","CT009","009","Electric Utility",41.2083,-73.1092,"Devon Power, LLC (Owner)|Devon Power, LLC (Operator)","Phase 2",NA,"Combustion turbine","Pipeline Natural Gas","Other Oil",NA,"Water Injection",NA,NA,"1996-07-01","Operating",415,"12 (43)","544_12",43,0,24.1788079470199,43,0.688576158940397,536,580,2013-01-28,2023-12-23,604,0.775150849082443,8.27179382360997,0.191558956450288,260.834011589404,3096,0,0,"Low"
"CT","Devon",544,"13",NA,2013,"ARP, CAIROS, RGGI","605836",1,"NPCC","New Haven County","CT009","009","Electric Utility",41.2083,-73.1092,"Devon Power, LLC (Owner)|Devon Power, LLC (Operator)","Phase 2",NA,"Combustion turbine","Pipeline Natural Gas","Other Oil",NA,"Water Injection",NA,NA,"1996-07-01","Operating",415,"13 (43)","544_13",43,0,23.974025974026,43,0.686801948051948,562,573,2013-01-28,2023-12-17,616,0.799909669555796,8.41366691495125,0.206212147887324,259.194185064935,3192,2,0.06265664160401,"Low"
