"State","Facility_Name","Facility_ID","Unit_ID","Associated_Stacks","Year","Program_Code","Primary_Rep_Info","EPA_Region","NERC_Region","County","County_Code","FIPS_Code","Source_Category","Latitude","Longitude","Owner_Operator","SO2_Phase","NOx_Phase","Unit_Type","Primary_Fuel_Type","Secondary_Fuel_Type","SO2_Controls","NOx_Controls","PM_Controls","Hg_Controls","Commercial_Operation_Date","Operating_Status","Max_Hourly_HI_Rate","Associated_Generators_Capacity","Facility_Unit.ID","Estimated_NameplateCapacity_MW","min_gen_MW","mean_gen_MW","max_gen_MW","avg_operating_time","non_zero_count","unique_day_hours","start_date","end_date","non_zero_count_CO2","mean_CO2_tons_MW","mean_NOx_lbs_MW","mean_SO2_lbs_MW","mean_Heat_Input_mmBtu","Total_Expected_Points","Time_Slots_Above_3","Reliability_Score_3","Reliability_Label"
"MA","Framingham Station",1586,"FJ-1",NA,2013,"CAIROS","604279",1,NA,"Middlesex County","MA017","017","Electric Utility",42.2672,-71.3983,"Exelon New England Holdings, LLC (Owner)|Exelon Framingham, LLC (Operator)",NA,NA,"Combustion turbine","Diesel Oil",NA,NA,NA,NA,NA,"1969-01-01","Operating",186,"GT1 (14.2)","1586_FJ-1",14.2,0,6.08227848101266,12,0.678006329113924,298,282,2013-06-24,2023-09-14,0,NA,11.4395421436004,NA,125.977215189873,1608,0,0,"Low"
"MA","Framingham Station",1586,"FJ-2",NA,2013,"CAIROS","604279",1,NA,"Middlesex County","MA017","017","Electric Utility",42.2672,-71.3983,"Exelon New England Holdings, LLC (Owner)|Exelon Framingham, LLC (Operator)",NA,NA,"Combustion turbine","Diesel Oil",NA,NA,NA,NA,NA,"1969-01-01","Operating",186,"GT2 (14.2)","1586_FJ-2",14.2,0,5.65957446808511,10,0.66781914893617,356,319,2013-05-01,2023-09-14,0,NA,11.1845394736842,NA,124.083244680851,1704,8,0.469483568075117,"Low"
"MA","Framingham Station",1586,"FJ-3",NA,2013,"CAIROS","604279",1,NA,"Middlesex County","MA017","017","Electric Utility",42.2672,-71.3983,"Exelon New England Holdings, LLC (Owner)|Exelon Framingham, LLC (Operator)",NA,NA,"Combustion turbine","Diesel Oil",NA,NA,NA,NA,NA,"1969-01-01","Operating",186,"GT3 (14.2)","1586_FJ-3",14.2,0,5.75764705882353,12,0.646658823529412,398,360,2013-05-02,2023-09-14,0,NA,11.86129955047,NA,120.152,2112,4,0.189393939393939,"Low"
"MA","Exelon L Street Generating Station",1587,"NBJ-1",NA,2013,"CAIROS","604279",1,NA,"Suffolk County","MA025","025","Electric Utility",42.3406,-71.035,"Exelon New England Holdings, LLC (Owner)|Exelon New Boston, LLC (Operator)",NA,NA,"Combustion turbine","Diesel Oil",NA,NA,NA,NA,NA,"1966-01-01","Operating",263,"LST1 (18.5)","1587_NBJ-1",18.5,0,7.29896907216495,17,0.627371134020619,180,189,2013-05-24,2016-09-09,0,NA,17.036511299435,NA,164.812371134021,1104,0,0,"Low"
"MA","Exelon L Street Generating Station",1587,"NBJ-1",NA,2016,"SIPNOX","607440 (Ended Aug 11, 2016)",1,NA,"Suffolk County","MA025","025","Electric Utility",42.3406,-71.035,"Exelon New England Holdings, LLC (Owner)|Exelon New Boston, LLC (Operator)",NA,NA,"Combustion turbine","Diesel Oil",NA,NA,NA,NA,NA,"1966-01-01","Operating (Retired 10/02/2016)",263,"LST1 (18.5)","1587_NBJ-1",18.5,0,7.29896907216495,17,0.627371134020619,180,189,2013-05-24,2016-09-09,0,NA,17.036511299435,NA,164.812371134021,1104,0,0,"Low"
"MA","Mystic",1588,"7",NA,2013,"ARP, CAIROS, RGGI","606408",1,"NPCC","Middlesex County","MA017","017","Electric Utility",42.3917,-71.0667,"Constellation Mystic Power LLC (Owner/Operator)|Constellation Mystic Power LLC (Owner/Operator)","Phase 2",NA,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",NA,NA,"Electrostatic Precipitator",NA,"1975-06-01","Operating",6272,"7 (617)","1588_7",617,0,155.845771705995,609,0.981374054420233,6705,5589,2013-01-22,2021-02-13,8857,0.879531915648912,1.84211493516749,5.91817358435616,1805.89833284408,6408,636,9.9250936329588,"Low"
"MA","Mystic",1588,"7",NA,2021,"ARP, MATS, RGGI, SIPNOX","606408",1,"NPCC","Middlesex County","MA017","017","Electric Utility",42.3917,-71.0667,"Exelon Generation Company LLC (Owner)|Exelon Generation Company LLC (Operator)","Phase 2",NA,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",NA,NA,"Electrostatic Precipitator",NA,"1975-06-01","Operating (Retired 05/31/2021)",6377,"7 (617)","1588_7",617,0,155.845771705995,609,0.981374054420233,6705,5589,2013-01-22,2021-02-13,8857,0.879531915648912,1.84211493516749,5.91817358435616,1805.89833284408,6408,636,9.9250936329588,"Low"
"MA","Mystic",1588,"81",NA,2013,"ARP, CAIROS, RGGI","606408",1,"NPCC","Middlesex County","MA017","017","Electric Utility",42.3917,-71.0667,"Constellation Mystic Power LLC (Owner/Operator)|Constellation Mystic Power LLC (Owner/Operator)","Phase 2",NA,"Combined cycle","Pipeline Natural Gas",NA,NA,"Selective Catalytic Reduction",NA,NA,"2002-09-11","Operating",2982,"GT81 (278.6), ST85 (315)","1588_81",593.6,0,303.538003165637,432,0.982532820210422,32008,8662,2013-01-02,2023-12-15,32221,0.423811153606976,0.0538567746095262,0.00427902861446553,2164.66403227709,8736,6165,70.5700549450549,"Medium"
"MA","Mystic",1588,"82",NA,2013,"ARP, CAIROS, RGGI","606408",1,"NPCC","Middlesex County","MA017","017","Electric Utility",42.3917,-71.0667,"Constellation Mystic Power LLC (Owner/Operator)|Constellation Mystic Power LLC (Owner/Operator)","Phase 2",NA,"Combined cycle","Pipeline Natural Gas",NA,NA,"Selective Catalytic Reduction",NA,NA,"2002-12-12","Operating",2982,"GT82 (278.6), ST85 (315)","1588_82",593.6,0,300.902487949463,431,0.983713062483159,33125,8623,2013-01-01,2023-12-15,33401,0.424606408632295,0.0579574096427979,0.0042870536863844,2149.8924411844,8736,6366,72.8708791208791,"Medium"
"MA","Mystic",1588,"93",NA,2013,"ARP, CAIROS, RGGI","606408",1,"NPCC","Middlesex County","MA017","017","Electric Utility",42.3917,-71.0667,"Constellation Mystic Power LLC (Owner/Operator)|Constellation Mystic Power LLC (Owner/Operator)","Phase 2",NA,"Combined cycle","Pipeline Natural Gas",NA,NA,"Selective Catalytic Reduction",NA,NA,"2003-03-23","Operating",2982,"ST96 (315), GT93 (278.6)","1588_93",593.6,0,289.972945269305,438,0.984161955643909,31897,8390,2013-01-03,2023-12-15,32194,0.429599108724875,0.0559228444577939,0.00433748556166219,2096.16913887681,8616,6114,70.9610027855153,"Medium"
