Similar_Facility_Unit_ID,Facility_Unit.ID,State,Facility_Name,Facility_ID,Unit_ID,Associated_Stacks,Year,Program_Code,Primary_Rep_Info,EPA_Region,NERC_Region,County,County_Code,FIPS_Code,Source_Category,Latitude,Longitude,Owner_Operator,SO2_Phase,NOx_Phase,Unit_Type,Primary_Fuel_Type,Secondary_Fuel_Type,SO2_Controls,NOx_Controls,PM_Controls,Hg_Controls,Commercial_Operation_Date,Operating_Status,Max_Hourly_HI_Rate,Associated_Generators_Capacity,Estimated_NameplateCapacity_MW,min_gen_MW,mean_gen_MW,max_gen_MW,avg_operating_time,non_zero_count,unique_day_hours,start_date,end_date,non_zero_count_CO2,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Total_Expected_Points,Time_Slots_Above_3,Reliability_Score_3,Reliability_Label,date_range,CF,mean_CO2_tons_MW_estimate,mean_NOx_lbs_MW_estimate,mean_SO2_lbs_MW_estimate,mean_HI_mmBtu_per_MW,Operation_Year,Age_of_Facility
,1001_1,IN,Cayuga,1001,1,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Vermillion County,IN165,165,Electric Utility,39.9239,-87.4272,Duke Energy Corporation (Owner/Operator)|Duke Energy Corporation (Owner/Operator),Table 1,Phase 1 Group 1,Tangentially-fired,Coal,Diesel Oil,Wet Limestone,Low NOx Burner Technology w/ Separated OFA,Wet Scrubber|Electrostatic Precipitator,,1970-10-04,Operating,5300,1 (531),531,0,394.365281308142,552,0.998462959566049,75557,8784,2013-01-01,2023-12-30,76303,0.980963060223072,2.76449278539735,0.937993562722063,3770.54278872409,8784,8760,99.7267759562842,High,4015,,,,,,1970,54
,1001_2,IN,Cayuga,1001,2,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Vermillion County,IN165,165,Electric Utility,39.9239,-87.4272,Duke Energy Corporation (Owner/Operator)|Duke Energy Corporation (Owner/Operator),Table 1,Phase 1 Group 1,Tangentially-fired,Coal,Diesel Oil,Wet Limestone,Low NOx Burner Technology w/ Separated OFA,Wet Scrubber|Electrostatic Precipitator,,1972-06-22,Operating,5600,2 (531),531,0,395.424267386901,564,0.998057123565159,71750,8784,2013-01-01,2023-12-31,74024,0.98014512590977,2.57412161984527,0.881595838444554,3777.51678446995,8784,8760,99.7267759562842,High,4016,,,,,,1972,52
,1001_4,IN,Cayuga,1001,4,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Vermillion County,IN165,165,Electric Utility,39.9239,-87.4272,Duke Energy Corporation (Owner/Operator)|Duke Energy Corporation (Owner/Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners,,,1993-06-29,Operating,1300,CT4 (121),121,0,63.6840877274848,120,0.810718618758749,2108,1770,2013-01-02,2023-12-13,2134,0.740118776332662,0.752118673749771,0.00810208463088478,780.258720018665,5064,42,0.829383886255924,Low,3997,,,,,,1993,31
,10025_3B,NY,"RED-Rochester, LLC-Eastman Business Park",10025,3B,,2018,,,2,,Monroe County,NY055,55,Industrial Boiler,43.1969,-77.6289,"RED-Rochester, LLC (Owner)|RED-Rochester, LLC (Operator)",,,Cyclone boiler,Coal,"Natural Gas, Residual Oil",,Combustion Modification/Fuel Reburning,Electrostatic Precipitator,,,Operating (Retired 03/17/2018),805,42TG (25.6),25.6,,,,,,,,,,,,,,,,,,,,,,,,,
,10025_4A,NY,"RED-Rochester, LLC-Eastman Business Park",10025,4A,,2018,,,2,,Monroe County,NY055,55,Industrial Boiler,43.1969,-77.6289,"RED-Rochester, LLC (Owner)|RED-Rochester, LLC (Operator)",,,Cyclone boiler,Coal,"Natural Gas, Residual Oil",,Combustion Modification/Fuel Reburning,Electrostatic Precipitator,,,Operating (Retired 03/09/2018),826,43TG (25.6),25.6,,,,,,,,,,,,,,,,,,,,,,,,,
,10029_3,MA,General Electric Aircraft,10029,3,,2020,,,1,,Essex County,MA009,9,Industrial Boiler,42.45,-70.9739,General Electric Aircraft (Owner)|General Electric Aircraft (Operator),,,Dry bottom wall-fired boiler,Pipeline Natural Gas,Residual Oil,,Low NOx Burner Technology w/ Overfire Air|Other,,,1968-01-01,Operating (Retired 03/28/2020),383,"GEN5 (10), GEN6 (10), GEN7 (12.5)",32.5,,,,,,,,,,,,,,,,,,,,,,,,1968,56
,10029_5,MA,General Electric Aircraft,10029,5,,2015,SIPNOX,605626,1,,Essex County,MA009,9,Industrial Turbine,42.45,-70.9739,General Electric Aircraft (Owner)|General Electric Aircraft (Operator),,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,1972-01-01,Operating (Retired 06/11/2015),270,"GEN7 (12.5), GEN8 (23), GEN5 (10), GEN6 (10)",55.5,,,,,,,,,,,,,,,,,,,,,,,,1972,52
,1002_1A,IN,Connersville Peaking Station,1002,1A,,2018,"CSNOX, CSOSG2, CSSO2G1","607682 (Ended Aug 07, 2018), 609197 (Started Aug 07, 2018)",5,,Fayette County,IN041,41,Electric Utility,39.6561,-85.1758,"Duke Energy Indiana, LLC (Owner)|Duke Energy Indiana, LLC (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1972-05-01,Operating (Retired 06/01/2018),582,1 (41.9),41.9,0,14.3529411764706,24,0.535882352941176,16,17,2013-02-05,2017-02-22,0,,26.0766393442623,10.8668032786885,311.9,168,0,0,Low,1478,,,,,,1972,52
,1002_1B,IN,Connersville Peaking Station,1002,1B,,2018,"CSNOX, CSOSG2, CSSO2G1","607682 (Ended Aug 07, 2018), 609197 (Started Aug 07, 2018)",5,,Fayette County,IN041,41,Electric Utility,39.6561,-85.1758,"Duke Energy Indiana, LLC (Owner)|Duke Energy Indiana, LLC (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1972-05-01,Operating (Retired 06/01/2018),582,1 (41.9),41.9,0,14,24,0.535882352941176,16,17,2013-02-05,2017-02-22,0,,26.7340336134454,11.140756302521,311.9,168,0,0,Low,1478,,,,,,1972,52
,1002_2A,IN,Connersville Peaking Station,1002,2A,,2018,"CSNOX, CSOSG2, CSSO2G1","607682 (Ended Aug 07, 2018), 609197 (Started Aug 07, 2018)",5,,Fayette County,IN041,41,Electric Utility,39.6561,-85.1758,"Duke Energy Indiana, LLC (Owner)|Duke Energy Indiana, LLC (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1972-05-01,Operating (Retired 06/01/2018),582,2 (41.9),41.9,0,9.5,20,0.519545454545455,19,22,2013-02-05,2017-02-23,0,,38.1947368421053,15.9167464114833,302.377272727273,216,0,0,Low,1479,,,,,,1972,52
,1002_2B,IN,Connersville Peaking Station,1002,2B,,2018,"CSNOX, CSOSG2, CSSO2G1","607682 (Ended Aug 07, 2018), 609197 (Started Aug 07, 2018)",5,,Fayette County,IN041,41,Electric Utility,39.6561,-85.1758,"Duke Energy Indiana, LLC (Owner)|Duke Energy Indiana, LLC (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1972-05-01,Operating (Retired 06/01/2018),582,2 (41.9),41.9,0,12.6818181818182,24,0.517272727272727,19,22,2013-02-05,2017-02-23,0,,28.4867383512545,11.8713261648746,301.054545454545,216,0,0,Low,1479,,,,,,1972,52
,10030_1,DE,Energy Center Dover LLC,10030,1,,2013,,2656,3,,Kent County,DE001,1,Cogeneration,39.1467,-75.5461,"NRG Energy, Inc (Owner)|NRG Energy, Inc (Operator)",,,Dry bottom wall-fired boiler,Coal,,,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,,1985-01-01,Operating (Retired 02/28/2013),400,COG1 (18),18,,,,,,,,,,,,,,,,,,,,,,,,1985,39
,10030_2,DE,Energy Center Dover LLC,10030,2,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI",2656,3,,Kent County,DE001,1,Electric Utility,39.1467,-75.5461,"NRG Energy, Inc (Owner)|NRG Energy, Inc (Operator)",Phase 2,,"Combined cycle (Started Apr 01, 2013), Combustion turbine (Ended Apr 01, 2013)",Pipeline Natural Gas,Diesel Oil,,"Selective Catalytic Reduction (Began Apr 01, 2013)|Water Injection",,,2001-06-01,Operating,655,"KD-1 (50), COG1 (18)",68,0,49.2563983965464,68,0.932140379278446,25650,7851,2013-05-21,2023-12-21,25943,0.49048861342131,0.0628660224366699,0.00495299818140273,406.536345937404,8688,3985,45.8678637200737,Low,3866,,,,,,2001,23
