Year,Nuclear,Hydropower,Biomass,Solar,Onshore Wind,Offshore Wind,SMR,New NG,Imports QC,Imports NBSO,Imports NYISO,Storage,Pathway,Old fossil
2024,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2025,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2026,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2027,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2028,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2029,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2030,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2031,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2032,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2033,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2034,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2035,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2036,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2037,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2038,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2039,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2040,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2041,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2042,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2043,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2044,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2045,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2046,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2047,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2048,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2049,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2050,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,A,23377.600000000002
2024,3350,900,400,9027,3233,974,0,0,2125.0,1050,3200.0,4199,B1,
2025,3350,900,400,10315,3563,1471,0,0,2125.0,1050,3200.0,4551,B1,23377.600000000002
2026,3350,900,400,11833,3903,2029,0,0,3325.0,1050,3200.0,4968,B1,23087.6
2027,3350,900,400,13563,4254,2648,0,0,3325.0,1050,3200.0,5445,B1,22550.5
2028,3350,900,400,15490,4615,3327,0,0,3325.0,1050,3200.0,5976,B1,22416.9
2029,3350,900,400,17596,4988,4067,0,0,3325.0,1050,3200.0,6556,B1,22002.0
2030,3350,900,400,19864,5371,4867,0,0,3325.0,1050,3200.0,7180,B1,21528.5
2031,3350,900,400,22277,5764,5728,0,0,4525.0,1050,4000.0,7841,B1,17249.399999999998
2032,3350,900,400,24819,6169,6650,0,0,4525.0,1050,4000.0,8536,B1,17249.399999999998
2033,3350,900,400,27473,6584,7633,0,0,4525.0,1050,4000.0,9258,B1,17249.399999999998
2034,3350,900,400,30221,7010,8676,0,0,4525.0,1050,4000.0,10003,B1,17249.399999999998
2035,3350,900,400,33047,7446,9780,0,0,4525.0,1050,4000.0,10764,B1,17249.399999999998
2036,3350,900,400,35934,7893,10944,0,0,4525.0,1050,4000.0,11537,B1,17249.399999999998
2037,3350,900,400,38866,8351,12169,0,0,4525.0,1050,4000.0,12316,B1,17249.399999999998
2038,3350,900,400,41824,8820,13455,0,0,4525.0,1050,4000.0,13096,B1,17229.4
2039,3350,900,400,44793,9299,14801,0,0,4525.0,1050,4000.0,13871,B1,17229.4
2040,3350,900,400,47756,9789,16209,0,0,4525.0,1050,4000.0,14637,B1,17229.4
2041,3350,900,400,50695,10290,17676,0,0,6225.000000000001,1050,4800.0,15387,B1,17210.8
2042,3350,900,400,53593,10801,19205,0,0,6225.000000000001,1050,4800.0,16117,B1,17210.8
2043,3350,900,400,56435,11324,20794,0,0,6225.000000000001,1050,4800.0,16821,B1,17210.8
2044,3350,900,400,59203,11856,22444,0,0,6225.000000000001,1050,4800.0,17493,B1,17210.8
2045,3350,900,400,61879,12400,24154,0,0,6225.000000000001,1050,4800.0,18129,B1,17210.8
2046,3350,900,400,64448,12954,25925,0,0,6225.000000000001,1050,4800.0,18723,B1,16587.8
2047,3350,900,400,66892,13519,27757,0,0,6225.000000000001,1050,4800.0,19270,B1,15730.2
2048,3350,900,400,69195,14095,29650,0,0,6225.000000000001,1050,4800.0,19764,B1,15653.199999999999
2049,3350,900,400,71339,14681,31603,0,0,6225.000000000001,1050,4800.0,20200,B1,15403.9
2050,3350,900,400,73308,15278,33617,0,0,6225.0,1050,4800.000000000001,20572,B1,15403.9
2024,3350,900,400,9027,3233,1185,0,0,2125.0,1050,3200.0,4199,B2,
2025,3350,900,400,10315,3563,1820,0,0,2125.0,1050,3200.0,4551,B2,23377.600000000002
2026,3350,900,400,11833,3903,2533,0,0,2125.0,1050,3200.0,4968,B2,23087.6
2027,3350,900,400,13563,4254,3322,0,0,2125.0,1050,3200.0,5445,B2,22550.5
2028,3350,900,400,15490,4615,4189,0,0,2125.0,1050,3200.0,5976,B2,22416.9
2029,3350,900,400,17596,4988,5133,0,0,2125.0,1050,3200.0,6556,B2,22002.0
2030,3350,900,400,19864,5371,6155,0,0,2125.0,1050,3200.0,7180,B2,21528.5
2031,3350,900,400,22277,5764,7253,0,0,2125.0,1050,4000.0,7841,B2,17249.399999999998
2032,3350,900,400,24819,6169,8428,0,0,2125.0,1050,4000.0,8536,B2,17249.399999999998
2033,3350,900,400,27473,6584,9681,0,0,2125.0,1050,4000.0,9258,B2,17249.399999999998
2034,3350,900,400,30221,7010,11011,0,0,2125.0,1050,4000.0,10003,B2,17249.399999999998
2035,3350,900,400,33047,7446,12418,0,0,2125.0,1050,4000.0,10764,B2,17249.399999999998
2036,3350,900,400,35934,7893,13902,0,0,2125.0,1050,4000.0,11537,B2,17249.399999999998
2037,3350,900,400,38866,8351,15463,0,0,2125.0,1050,4000.0,12316,B2,17249.399999999998
2038,3350,900,400,41824,8820,17101,0,0,2125.0,1050,4000.0,13096,B2,17229.4
2039,3350,900,400,44793,9299,18817,0,0,2125.0,1050,4000.0,13871,B2,17229.4
2040,3350,900,400,47756,9789,20609,0,0,2125.0,1050,4000.0,14637,B2,17229.4
2041,3350,900,400,50695,10290,22479,0,0,2125.0,1050,4800.0,15387,B2,17210.8
2042,3350,900,400,53593,10801,24426,0,0,2125.0,1050,4800.0,16117,B2,17210.8
2043,3350,900,400,56435,11324,26450,0,0,2125.0,1050,4800.0,16821,B2,17210.8
2044,3350,900,400,59203,11856,28551,0,0,2125.0,1050,4800.0,17493,B2,17210.8
2045,3350,900,400,61879,12400,30729,0,0,2125.0,1050,4800.0,18129,B2,17210.8
2046,3350,900,400,64448,12954,32985,0,0,2125.0,1050,4800.0,18723,B2,16587.8
2047,3350,900,400,66892,13519,35317,0,0,2125.0,1050,4800.0,19270,B2,15730.2
2048,3350,900,400,69195,14095,37727,0,0,2125.0,1050,4800.0,19764,B2,15653.199999999999
2049,3350,900,400,71339,14681,40214,0,0,2125.0,1050,4800.0,20200,B2,15403.9
2050,3350,900,400,73308,15278,42778,0,0,2125.0,1050,4800.000000000001,20572,B2,15403.9
2024,3350,900,400,9027,3233,878,0,0,2125.0,1050,3200.0,4199,B3,
2025,3350,900,400,10315,3563,1311,0,0,2125.0,1050,3200.0,4551,B3,23377.600000000002
2026,3350,900,400,11833,3903,1798,0,0,3325.0,1050,3200.0,4968,B3,23087.6
2027,3350,900,400,13563,4254,2337,0,0,3325.0,1050,3200.0,5445,B3,22550.5
2028,3350,900,400,15490,4615,2930,0,0,3325.0,1050,3200.0,5976,B3,22416.9
2029,3350,900,400,17596,4988,3576,0,0,3325.0,1050,3200.0,6556,B3,22002.0
2030,3350,900,400,19864,5371,4275,0,0,3325.0,1050,3200.0,7180,B3,21528.5
2031,3350,900,400,22277,5764,5027,0,0,4525.0,1050,4000.0,7841,B3,17249.399999999998
2032,3350,900,400,24819,6169,5832,0,0,4525.0,1050,4000.0,8536,B3,17249.399999999998
2033,3350,900,400,27473,6584,6690,0,0,4525.0,1050,4000.0,9258,B3,17249.399999999998
2034,3350,900,400,30221,7010,7601,0,0,4525.0,1050,4000.0,10003,B3,17249.399999999998
2035,3350,900,400,33047,7446,8566,0,0,4525.0,1050,4000.0,10764,B3,17249.399999999998
2036,3350,900,400,35934,7893,9583,0,0,5725.000000000001,1050,4000.0,11537,B3,17249.399999999998
2037,3350,900,400,38866,8351,10654,0,0,5725.000000000001,1050,4000.0,12316,B3,17249.399999999998
2038,3350,900,400,41824,8820,11777,0,0,5725.000000000001,1050,4000.0,13096,B3,17229.4
2039,3350,900,400,44793,9299,12954,0,0,5725.000000000001,1050,4000.0,13871,B3,17229.4
2040,3350,900,400,47756,9789,14184,0,0,5725.000000000001,1050,4000.0,14637,B3,17229.4
2041,3350,900,400,50695,10290,15467,0,0,6925.000000000001,1050,4800.0,15387,B3,17210.8
2042,3350,900,400,53593,10801,16803,0,0,6925.000000000001,1050,4800.0,16117,B3,17210.8
2043,3350,900,400,56435,11324,18192,0,0,6925.000000000001,1050,4800.0,16821,B3,17210.8
2044,3350,900,400,59203,11856,19634,0,0,6925.000000000001,1050,4800.0,17493,B3,17210.8
2045,3350,900,400,61879,12400,21129,0,0,6925.000000000001,1050,4800.0,18129,B3,17210.8
